Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,257.63255237435,..,..,..,..,..,..,..,..,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2836.15423834966,..,..,..,..,..,..,..,..,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Algeria,DZA,1920.44335568724,1606.37018556901,1258.044195234,1566.5547457031,1594.40667989183,1622.40839607385,1492.19099110946,1601.53101034757,1733.02657413933,1842.53901878367,1921.38909972318,1672.51713795883,2080.23599190643,2093.4184187348,2191.37772981374,2227.95938296878,2334.32423651352,2387.98120447477,2523.99753272377,2604.5997621284,2548.62030598904,2541.95362865588,2623.86156967019,2691.1385994386,2752.38349052614,2770.56999767275,2720.58689407904,2626.54149410803,2508.50461416272,2550.86833354973,2504.2090762178,2382.81135849834,2380.94172007148,2300.58797754716,2223.46199158989,2245.33163443108,2290.10483352767,2292.62065786502,2388.24531279482,2419.29441578816,2419.46207357684,2544.44191572767,2634.54232585513,2791.03278010117,2859.26031631505,2964.15259567914,2983.7174393521,3119.94385151403,3150.45199287068,3147.71001708514,..,..,..,..,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39990.3304085679,..,..,..,..,..,..,..,..,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,950.729049730135,1037.9071503728,1202.60801476094,1244.35095902907,1371.40049792164,1352.62895315205,1520.46927833437,1877.6681944805,1843.8581662803,2251.13675598003,2120.83860113928,2059.11181845048,2059.41398165568,2221.16766848948,2200.95781464483,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11570.6879652619,..,..,..,..,..,..,..,..,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Argentina,ARG,3830.75119139372,3975.99622860323,3873.693155636,3613.75243369745,3921.41604433856,4273.42691056573,4243.05149529369,4161.66934930395,4220.49437124458,4598.33939813052,4522.38187701618,4934.70562536961,4805.63854540122,4949.32821456185,5135.04801055585,5101.53437743219,4856.97156866162,5075.08700117942,4782.71427836114,5179.73966633673,5314.27763076252,4861.67342170906,4380.56577433948,4494.01173282575,4545.66380478036,4127.75596707113,4427.17581633526,4482.77028980064,4315.52870611987,3767.51335750544,3788.04536828054,4261.22597765536,4760.6399171161,5002.87182262953,5218.67015876024,4989.16120024031,5189.31976777548,5538.70843333645,5667.0581232253,5407.55838346141,5303.52113149907,5004.20394634136,4202.72792870472,4580.75639302367,5002.79389358806,5507.75563544172,5946.76571384556,6405.07211783606,6559.28326575937,6479.61052928031,7006.70487905916,7506.71654861755,7491.78982121615,7641.4555526084,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1096.4150451043,1019.02035421993,485.836376438712,510.543019035755,609.186931058185,664.171917618518,735.055259143471,792.620944755273,833.986262987783,865.078801894541,919.493108165816,1015.68394429121,1162.22728405538,1325.89636692628,1464.25022635197,1693.73679153436,1935.68232818766,2226.50633700982,2401.50769181658,2029.07651610049,2093.32039758517,2156.71722558502,2314.58817187941,2403.06867664751,2468.557531462,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Australia,AUS,13529.4368759369,13536.0276266197,13433.4770883724,13919.0205277312,14639.2280953964,15257.0712602468,15193.3681962634,15872.2937044567,16355.2758838568,17055.5541936152,17978.8329022239,18083.1874685337,18570.476041814,18855.0399583404,19057.7418812995,19181.9390819562,19443.7250372484,19783.73789613,19637.1928193443,20211.7728938677,20606.9373083335,21104.9762057743,21125.6895589169,20621.3955346325,21236.4016197587,22010.5943443137,22460.328207456,22677.9915227514,23583.9483041545,23882.5993436256,24185.4205339413,23644.2823428048,23487.3773754676,24473.0366745205,25298.3503566669,25673.755917422,26312.1523819121,27090.2283641332,28055.6654821116,29140.1207791017,29975.1306194071,30163.78300793,30969.3086640644,31504.6207671852,32414.8735890608,32731.9719118971,33139.8758804722,33959.8904987452,34637.8947560644,34705.6673345908,34711.329424194,34924.2203591214,35976.1363717452,36466.7960975641,36871.8554449254,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Austria,AUT,10786.3171099286,11320.9334327224,11549.7948922604,11950.8042653788,12598.5347101532,12952.5064385345,13589.9011850798,13879.7650166201,14402.6169706557,15270.0526537819,16718.6876754405,17511.0262894034,18463.4655355646,19250.7429397214,20032.9751863248,19997.4374203002,20916.8580604184,21956.827921459,21927.5973200918,23168.9354203012,23599.2102432425,23518.5981962797,24003.5044524985,24766.1806120225,24788.004772559,25414.3491511668,25882.0933011627,26207.9708097958,27166.1300975375,28180.3840694777,29224.6230505103,29787.1304961655,30036.6204009189,29966.448870418,30510.8902456531,31162.7133812463,32027.901656468,32583.4925763384,33635.6023990994,34654.402888051,35698.4889591928,35930.8419576215,36654.4146883746,36860.6548266951,37639.8408944564,38121.7960959467,39434.6127619508,40541.367212756,41415.9903728679,39444.7173084214,40450.608237358,41370.4729968376,41741.5249603871,41182.2745921951,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,775.799879608043,674.082633715314,666.795236419865,709.661797554887,772.897170323589,817.727273847881,860.530446214337,935.664246265287,1022.64232973403,1127.8107470015,1199.33816872847,1382.16726541222,1778.60155395685,2084.43617096202,2421.29889433952,2836.2964119057,3012.26942380611,2906.77256026739,2922.0533694266,3159.17790517119,3272.20582402098,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22425.8714923414,21519.9222704156,20273.7747261075,19542.2741628406,18989.5333557577,19220.0835080323,22694.6896272539,24936.2994091674,20476.2642828881,21856.9879457641,22873.4048663369,23410.0160222741,23578.5519417993,23722.9716295107,23076.7784996519,22868.4619872177,22852.8997904283,22898.2462215698,22767.7786616963,22241.4704602951,20766.5864727267,20535.0026443426,20348.5016375561,20433.6545540909,20016.9683654308,19721.3862691999,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17941.3815571164,..,..,..,..,..,..,..,..,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,262.129433584218,281.852767789679,264.644525303723,272.985778006612,272.243478484095,283.856884042227,289.622472528643,284.837393560703,301.724811851506,300.134088310438,306.983045667838,312.863565631703,311.687786050287,316.923611192011,321.314207408838,320.292922337817,320.840155737756,329.992911528383,333.969953720138,345.210738193155,354.702823180531,361.992107921728,372.159437393217,379.216038242079,388.870123063438,400.737498336724,411.782486792533,425.959104821952,438.285007161842,451.040679568342,464.520097265066,482.844068560999,507.385974405458,540.258598729987,575.788359294227,609.53152169346,634.682272932867,663.628199741454,696.61906669493,736.570274762457,768.607118637942,795.873364837068,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13563.2251024586,..,..,..,..,..,..,..,..,..,..
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2328.3545755563,2299.28600285454,2074.07841110431,1913.07644551048,1687.09564470475,1513.95516860397,1563.93385431157,1743.10348877553,1897.79544865451,1974.44775822107,2094.80503287958,2209.84049112869,2341.15413733936,2532.17045338311,2840.6754014936,3132.1095574259,3446.67508646948,3734.42188596658,4106.39305205593,4080.7929823506,4412.22625789775,4712.00620971101,4713.26002820047,4674.73136499077,4787.33659190736,..
