YEAR,COUNTRY,AGEGROUP,SEX,Display Value
2013,LBN,AGE100PLUS,MLE,0.5279
2013,VEN,AGE65-69,MLE,0.020594
2012,TUN,AGE15-19,MLE,0.000727
1990,MAR,AGE1-4,FMLE,0.004667
2000,SYR,AGE5-9,MLE,0.000455
1990,ARG,AGELT1,FMLE,0.021925
2013,BOL,AGE85-89,FMLE,0.168927
1990,LVA,AGE75-79,MLE,0.094966
2012,QAT,AGE80-84,FMLE,0.074304
1990,GTM,AGE25-29,MLE,0.005679
2012,BFA,AGE10-14,FMLE,0.002178
1990,LSO,AGE10-14,FMLE,0.002128
2012,TGO,AGE60-64,MLE,0.024162
1990,GNQ,AGE45-49,MLE,0.014112
2012,PNG,AGE15-19,MLE,0.00175
2013,TON,AGE100PLUS,FMLE,0.562557
2012,BIH,AGE30-34,FMLE,0.000406
2013,GBR,AGE75-79,FMLE,0.028773
2000,THA,AGE85-89,FMLE,0.114
2012,NRU,AGE100PLUS,MLE,0.447305
2000,KHM,AGE80-84,MLE,0.088105
2013,WSM,AGE15-19,FMLE,0.000316
1990,,AGE80-84,BTSX,0.11888
2000,TKM,AGE60-64,MLE,0.038
1990,BFA,AGE70-74,MLE,0.077718
2012,TLS,AGE70-74,FMLE,0.048079
2012,ITA,AGE85-89,MLE,0.116888
1990,SVK,AGE25-29,MLE,0.001484
2000,BRN,AGE30-34,MLE,0.001295
1990,KGZ,AGE50-54,MLE,0.01486
2000,ALB,AGE40-44,FMLE,0.002
1990,MDV,AGE85-89,MLE,0.297512
1990,GNB,AGE95-99,FMLE,0.525955
1990,SGP,AGE20-24,MLE,0.001074
2000,AUT,AGE55-59,MLE,0.009381
2012,MNE,AGE60-64,FMLE,0.00959
2000,,AGE35-39,FMLE,0.003516
2000,SGP,AGE80-84,FMLE,0.063232
2012,PRT,AGE35-39,MLE,0.001492
2013,,AGE20-24,BTSX,0.002961
2000,FSM,AGE1-4,FMLE,0.002937
1990,LAO,AGE55-59,MLE,0.023272
1990,MCO,AGE20-24,FMLE,0.000433
2000,CHN,AGE50-54,MLE,0.007
2000,SYR,AGE60-64,FMLE,0.011726
2012,GAB,AGE55-59,MLE,0.01344
2012,MUS,AGE55-59,FMLE,0.007514
2000,PER,AGELT1,MLE,0.034435
1990,MHL,AGE45-49,FMLE,0.007
1990,BRB,AGE45-49,FMLE,0.004269
2000,BDI,AGE55-59,MLE,0.024844
2013,SYC,AGE45-49,MLE,0.006789
2013,LSO,AGE75-79,MLE,0.096613
1990,BHS,AGE75-79,MLE,0.087311
2000,PLW,AGE5-9,MLE,0.001039
2000,ITA,AGE35-39,MLE,0.001337
2000,JOR,AGE20-24,FMLE,0.000784
2000,MAR,AGE50-54,FMLE,0.006473
2013,AFG,AGE10-14,FMLE,0.00136
1990,COM,AGE65-69,FMLE,0.037658
2000,LCA,AGE80-84,MLE,0.090569
2013,CHL,AGE60-64,MLE,0.011716
2000,UZB,AGE5-9,FMLE,0
2012,GEO,AGE85-89,FMLE,0.142708
2013,ERI,AGE95-99,FMLE,0.353542
2013,GBR,AGE20-24,MLE,0.000583
2000,SGP,AGE25-29,MLE,0.000611
1990,MRT,AGE80-84,MLE,0.183
1990,SSD,AGE15-19,MLE,0.005859
2013,ATG,AGE5-9,MLE,0.000229
2012,CAN,AGE60-64,FMLE,0.00593
2012,CRI,AGE30-34,MLE,0.00166
2000,GMB,AGE85-89,FMLE,0.243211
2012,TZA,AGE65-69,MLE,0.032626
2012,KAZ,AGE30-34,FMLE,0.001729
2000,SLE,AGE5-9,MLE,0.011477
1990,LBY,AGE55-59,MLE,0.014957
2012,PNG,AGE70-74,FMLE,0.056228
2000,FSM,AGE60-64,MLE,0.02329
1990,HUN,AGE45-49,MLE,0.011501
2013,AND,AGE100PLUS,FMLE,0.441526
2000,EGY,AGE55-59,MLE,0.017045
2013,HRV,AGE45-49,MLE,0.003824
2012,CHN,AGE95-99,FMLE,0.430721
2013,VUT,AGE10-14,FMLE,0.000324
2000,AUS,AGE80-84,FMLE,0.05361
1990,BTN,AGE55-59,MLE,0.022195
2013,MYS,AGE15-19,MLE,0.001067
1990,GRD,AGE20-24,MLE,0.001479
2012,TUR,AGE10-14,FMLE,0.000666
1990,TUV,AGE45-49,MLE,0.012229
1990,SEN,AGE55-59,MLE,0.018
2000,KEN,AGELT1,MLE,0.077597
2000,KEN,AGE1-4,MLE,0.011851
2000,IRL,AGE10-14,MLE,0.000139
2013,LSO,AGE15-19,FMLE,0.003117
2012,NER,AGE80-84,FMLE,0.178761
2012,MDA,AGE35-39,FMLE,0.001638
2000,LUX,AGE65-69,MLE,0.023634
2000,,AGE50-54,BTSX,0.007986
2013,TTO,AGE35-39,MLE,0.003501
1990,CZE,AGE15-19,FMLE,0.0004
2000,ATG,AGELT1,MLE,0.016445
2012,BLZ,AGE90-94,MLE,0.245224
1990,,AGE65-69,FMLE,0.017799
2013,COL,AGE5-9,FMLE,0.000218
2000,IND,AGE55-59,FMLE,0.01388
2012,MWI,AGE60-64,FMLE,0.018447
1990,BOL,AGE25-29,FMLE,0.003521
2012,BFA,AGE1-4,MLE,0.010084
1990,LBY,AGE100PLUS,MLE,0.6189
2013,CAF,AGE95-99,MLE,0.521054
1990,SEN,AGE30-34,FMLE,0.004
2000,CIV,AGE30-34,FMLE,0.01453
2012,SRB,AGE5-9,FMLE,0.000097
2013,LCA,AGE65-69,FMLE,0.016874
2013,PAN,AGE35-39,MLE,0.00275
2012,CZE,AGE60-64,FMLE,0.00765
1990,MDA,AGE25-29,FMLE,0.000716
2000,ECU,AGE70-74,FMLE,0.025
2012,PNG,AGE1-4,FMLE,0.003796
1990,PAN,AGE55-59,MLE,0.008393
1990,LKA,AGE20-24,FMLE,0.001699
2000,SOM,AGE1-4,MLE,0.019929
2013,,AGE5-9,MLE,0.001259
2000,SLE,AGE60-64,FMLE,0.049747
2000,VNM,AGELT1,MLE,0.029
2000,COL,AGE90-94,MLE,0.157035
2013,KWT,AGE35-39,FMLE,0.000507
2012,THA,AGE65-69,FMLE,0.015193
1990,BTN,AGELT1,FMLE,0.090265
2012,,AGELT1,BTSX,0.016347
1990,BLZ,AGE75-79,MLE,0.074
1990,MWI,AGE15-19,FMLE,0.003102
2013,GRC,AGE95-99,FMLE,0.331743
1990,PNG,AGE85-89,MLE,0.243129
2013,SLE,AGE70-74,FMLE,0.09817
2000,GIN,AGE25-29,MLE,0.006571
1990,MAR,AGE45-49,FMLE,0.0051
2013,YEM,AGE70-74,MLE,0.064262
1990,BLZ,AGE80-84,MLE,0.112714
2000,COL,AGE20-24,MLE,0.00529
2012,LSO,AGE80-84,MLE,0.123007
1990,ESP,AGE40-44,FMLE,0.001123
1990,CYP,AGE70-74,MLE,0.036447
1990,TUV,AGE55-59,FMLE,0.018125
2012,LTU,AGE5-9,FMLE,0.000198
2012,GNQ,AGE55-59,MLE,0.019313
2012,SLV,AGE10-14,MLE,0.000489
2013,,AGE75-79,FMLE,0.035104
2012,MHL,AGE10-14,FMLE,0.000294
1990,ROU,AGE50-54,FMLE,0.00533
2000,SOM,AGE55-59,FMLE,0.016922
1990,,AGE60-64,FMLE,0.009767
2012,VEN,AGE15-19,MLE,0.002482
2013,NZL,AGE40-44,MLE,0.001498
1990,JOR,AGE70-74,MLE,0.055
2000,LSO,AGE85-89,FMLE,0.167818
2013,ETH,AGE100PLUS,FMLE,0.566567
2000,HND,AGE50-54,MLE,0.008369
1990,PRY,AGE75-79,MLE,0.064734
2000,MWI,AGE80-84,MLE,0.181865
2000,ARG,AGE45-49,FMLE,0.002891
2013,NAM,AGE15-19,MLE,0.001415
2012,NAM,AGE10-14,MLE,0.001157
1990,BGD,AGE50-54,MLE,0.009284
1990,QAT,AGE85-89,MLE,0.145964
2012,GTM,AGE10-14,FMLE,0.000489
2000,IRN,AGE60-64,MLE,0.015517
2000,KWT,AGE25-29,FMLE,0.000327
2000,ETH,AGE55-59,FMLE,0.014755
2012,TLS,AGE15-19,MLE,0.001481
1990,,AGELT1,MLE,0.08677
2013,CAF,AGE35-39,FMLE,0.015686
2013,COD,AGE5-9,MLE,0.007659
2000,BLR,AGE55-59,MLE,0.028832
2013,VUT,AGE70-74,MLE,0.053091
2013,ITA,AGE100PLUS,FMLE,0.433558
2012,BEN,AGE65-69,MLE,0.0413
2000,SYC,AGE35-39,MLE,0.002849
1990,LSO,AGE70-74,MLE,0.062631
1990,MDV,AGE60-64,FMLE,0.043
2000,VEN,AGELT1,FMLE,0.015923
2013,SWZ,AGE95-99,FMLE,0.4206
2013,FJI,AGE65-69,MLE,0.043256
2000,LTU,AGE60-64,MLE,0.028034
2000,YEM,AGE25-29,MLE,0.003443
2000,IRN,AGE1-4,FMLE,0.002
2000,SSD,AGE40-44,FMLE,0.011
1990,ETH,AGE40-44,MLE,0.014067
2012,GRC,AGE35-39,MLE,0.001231
2000,,AGE20-24,MLE,0.005815
1990,RUS,AGE55-59,FMLE,0.009
2000,SLE,AGE50-54,MLE,0.02668
2013,BEL,AGE75-79,MLE,0.044933
2000,KNA,AGE75-79,MLE,0.067617
2013,IND,AGE65-69,FMLE,0.030552
2012,BRN,AGE90-94,FMLE,0.223085
2013,MLT,AGE40-44,MLE,0.001404
2000,NOR,AGE90-94,MLE,0.262284
2012,CPV,AGE95-99,MLE,0.465629
1990,MHL,AGE1-4,FMLE,0.003555
1990,MWI,AGE75-79,MLE,0.120683
2000,,AGELT1,BTSX,0.064459
2012,QAT,AGE35-39,FMLE,0.000315
1990,HND,AGE100PLUS,FMLE,0.394269
2012,SRB,AGE85-89,FMLE,0.163814
2013,MDV,AGE65-69,MLE,0.026524
