year,age,qx
1922-1924,0,0.07422
1922-1924,1-4,0.04231
1922-1924,5-9,0.0122
1922-1924,10-14,0.00862
1922-1924,15-19,0.01311
1922-1924,20-24,0.01678
1922-1924,25-29,0.01843
1922-1924,30-34,0.02083
1922-1924,35-39,0.02605
1922-1924,40-44,0.03208
1922-1924,45-49,0.04288
1922-1924,50-54,0.05971
1922-1924,55-59,0.08615
1922-1924,60-64,0.12916
1922-1924,65-69,0.1916
1922-1924,70-74,0.29172
1922-1924,75-79,0.41661
1922-1924,80-84,0.5571
1922-1924,85-89,0.70363
1922-1924,90-94,0.80821
1922-1924,95-99,0.90311
1922-1924,100-104,0.94996
1922-1924,105-109,0.97348
1922-1924,110+,1
1925-1929,0,0.07199
1925-1929,1-4,0.0378
1925-1929,5-9,0.01195
1925-1929,10-14,0.00813
1925-1929,15-19,0.01277
1925-1929,20-24,0.01579
1925-1929,25-29,0.01719
1925-1929,30-34,0.01912
1925-1929,35-39,0.02409
1925-1929,40-44,0.03132
1925-1929,45-49,0.04198
1925-1929,50-54,0.05867
1925-1929,55-59,0.08352
1925-1929,60-64,0.12473
1925-1929,65-69,0.18989
1925-1929,70-74,0.28974
1925-1929,75-79,0.42315
1925-1929,80-84,0.56078
1925-1929,85-89,0.71697
1925-1929,90-94,0.81746
1925-1929,95-99,0.9136
1925-1929,100-104,0.95658
1925-1929,105-109,0.97717
1925-1929,110+,1
1930-1934,0,0.06462
1930-1934,1-4,0.02871
1930-1934,5-9,0.01131
1930-1934,10-14,0.00742
1930-1934,15-19,0.01206
1930-1934,20-24,0.01515
1930-1934,25-29,0.01584
1930-1934,30-34,0.01758
1930-1934,35-39,0.02185
1930-1934,40-44,0.02815
1930-1934,45-49,0.03952
1930-1934,50-54,0.05539
1930-1934,55-59,0.07976
1930-1934,60-64,0.11898
1930-1934,65-69,0.18112
1930-1934,70-74,0.27898
1930-1934,75-79,0.40787
1930-1934,80-84,0.5486
1930-1934,85-89,0.70204
1930-1934,90-94,0.8111
1930-1934,95-99,0.90531
1930-1934,100-104,0.95215
1930-1934,105-109,0.97503
1930-1934,110+,1
1935-1939,0,0.0586
1935-1939,1-4,0.01998
1935-1939,5-9,0.00938
1935-1939,10-14,0.00608
1935-1939,15-19,0.00995
1935-1939,20-24,0.01334
1935-1939,25-29,0.01375
1935-1939,30-34,0.01492
1935-1939,35-39,0.01904
1935-1939,40-44,0.02495
1935-1939,45-49,0.03595
1935-1939,50-54,0.05339
1935-1939,55-59,0.07698
1935-1939,60-64,0.11797
1935-1939,65-69,0.17683
1935-1939,70-74,0.27287
1935-1939,75-79,0.40429
