country,iso_code,adultmort1960,adultmort1961,adultmort1962,adultmort1963,adultmort1964,adultmort1965,adultmort1966,adultmort1967,adultmort1968,adultmort1969,adultmort1970,adultmort1971,adultmort1972,adultmort1973,adultmort1974,adultmort1975,adultmort1976,adultmort1977,adultmort1978,adultmort1979,adultmort1980,adultmort1981,adultmort1982,adultmort1983,adultmort1984,adultmort1985,adultmort1986,adultmort1987,adultmort1988,adultmort1989,adultmort1990,adultmort1991,adultmort1992,adultmort1993,adultmort1994,adultmort1995,adultmort1996,adultmort1997,adultmort1998,adultmort1999,adultmort2000,adultmort2001,adultmort2002,adultmort2003,adultmort2004,adultmort2005,adultmort2006,adultmort2007,adultmort2008,adultmort2009,adultmort2010,adultmort2011,adultmort2012,adultmort2013
Afghanistan,AFG,604.597,598.907,593.218,587.751,582.284,576.817,571.35,565.884,560.334,554.785,549.236,543.687,538.138,531.889,525.64,519.392,513.143,506.894,499.247,491.599,483.951,476.304,468.656,459.361,450.065,440.77,431.474,422.179,413.481,404.784,396.086,387.388,378.69,373.408,368.125,362.842,357.559,352.277,348.11,343.943,339.776,335.61,331.443,326.827,322.21,317.594,312.978,308.362,304.469,300.576,296.684,292.791,288.899,285.084
Albania,ALB,160.4806,150.9428,141.405,143.0606,144.7162,146.3718,148.0274,149.683,152.0406,154.3982,156.7558,159.1134,161.471,158.0092,154.5474,151.0856,147.6238,144.162,143.4574,142.7528,142.0482,141.3436,140.639,139.5308,138.4226,137.3144,136.2062,135.098,137.9826,140.8672,143.7518,146.6364,149.521,147.646,145.771,143.896,142.021,140.146,134.8782,129.6104,124.3426,119.0748,113.807,111.7816,109.7562,107.7308,105.7054,103.68,101.7864,99.8928,97.9992,96.1056,94.212,92.326
Algeria,DZA,373.132,369.759,366.386,363.196,360.006,356.817,353.627,350.437,347.537,344.637,341.736,338.836,335.936,329.976,324.015,318.055,312.095,306.134,294.309,282.484,270.659,258.834,247.009,238.67,230.332,221.993,213.655,205.317,203.382,201.446,199.511,197.576,195.641,191.266,186.89,182.515,178.14,173.764,171.341,168.918,166.494,164.071,161.647,159.19,156.733,154.275,151.818,149.361,147.062,144.763,142.464,140.165,137.866,136.364
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,565.41,560.56,555.709,550.873,546.036,541.199,536.363,531.526,526.657,521.788,516.918,512.049,507.18,502.553,497.926,493.3,488.673,484.046,482.385,480.725,479.064,477.403,475.742,475.181,474.62,474.059,473.498,472.938,472.795,472.653,472.51,472.368,472.225,468.635,465.045,461.454,457.864,454.274,447.822,441.371,434.92,428.469,422.017,417.584,413.15,408.717,404.283,399.85,395.313,390.776,386.239,381.702,377.165,373.232
Antigua and Barbuda,ATG,275.552,272.245,268.938,266.171,263.405,260.639,257.872,255.106,252.479,249.853,247.226,244.599,241.972,239.481,236.99,234.498,232.007,229.516,227.155,224.793,222.432,220.071,217.71,215.471,213.232,210.993,208.753,206.514,204.394,202.274,200.154,198.034,195.914,193.91,191.905,189.9,187.895,185.891,183.993,182.095,180.197,178.299,176.401,174.606,172.811,171.016,169.222,167.427,165.5,163.573,161.646,159.719,157.793,156.056
Argentina,ARG,255.108,252.663,250.219,250.998,251.778,252.558,253.338,254.118,251.882,249.645,247.409,245.172,242.935,240.729,238.522,236.316,234.109,231.902,229.122,226.342,223.561,220.781,218,216.904,215.808,214.712,213.616,212.519,209.918,207.317,204.716,202.114,199.513,196.41,193.307,190.204,187.1,183.997,182.878,181.76,180.641,179.522,178.403,176.163,173.923,171.683,169.443,167.203,165.272,163.341,161.41,159.48,157.549,155.616
Armenia,ARM,225.671,219.648,213.626,208.4,203.175,197.949,192.724,187.498,184.138,180.778,177.418,174.058,170.698,172.452,174.205,175.958,177.712,179.465,179.372,179.28,179.188,179.095,179.003,185.435,191.868,198.301,204.734,211.167,218.861,226.556,234.251,241.945,249.64,243.642,237.644,231.646,225.649,219.651,213.162,206.673,200.185,193.696,187.207,183.434,179.66,175.887,172.113,168.34,169.284,170.227,171.171,172.114,173.058,171.387
Aruba,ABW,227.253,223.17,219.087,215.33,211.574,207.817,204.06,200.304,197.676,195.047,192.419,189.791,187.163,183.913,180.663,177.413,174.163,170.914,166.634,162.354,158.074,153.794,149.514,148.76,148.005,147.25,146.496,145.741,144.988,144.235,143.482,142.729,141.976,141.726,141.475,141.224,140.974,140.723,139.936,139.15,138.363,137.576,136.79,134.889,132.989,131.088,129.188,127.287,125.811,124.335,122.859,121.383,119.907,118.457
Australia,AUS,199.777,198.796,203.627,202.218,208.129,206.288,204.436,206.335,208.275,206.638,207.485,200.027,193.042,191.953,196.189,189.604,184.285,179.592,174.457,168.845,165.64,160.755,158.119,149.688,141.03,143.832,137.109,135.884,134.145,130.204,125.351,119.925,117.324,113.687,111.497,108.866,107.166,105.12,102.887,100.841,96.599,93.134,90.007,89.182,85.145,84.751,81.966,82.309,81.853,80.599,,,,
Austria,AUT,215.263,205.875,206.275,201.23,199.546,202.429,201.227,202.527,202.723,202.263,206.058,205.93,206.936,197.095,199.838,200.71,198.504,199.746,200.74,200.945,196.753,195.014,194.749,193.896,190.115,181.013,175.19,167.726,161.955,160.399,155.025,157.502,152.872,149.693,145.736,145.057,140.373,134.972,131.697,125.992,126.288,122.887,119.989,115.956,114.539,111.365,105.634,103.971,99.294,102.517,99.781,,,
