country,vaccine,,age1,age2
Algeria,Measles,9 months; 6 years;, 3/4,6    
Angola,Measles,9 months;, 3/4,0    
Benin,Measles,9 months;, 3/4,0    
Botswana,Measles,"9, 18 months;", 3/4,18/12
Burkina Faso,Measles,"9, 15 months;", 3/4,15/12
Burundi,Measles,"9, 18 months;", 3/4,18/12
Cabo Verde,Measles,9 months;, 3/4,0    
Cameroon,Measles,9 months;, 3/4,0    
Central African Republic (the),Measles,9 months;, 3/4,0    
Chad,Measles,9 months;, 3/4,0    
Comoros (the),Measles,9 months;, 3/4,0    
Congo (the),Measles,36 weeks;, 2/3,0    
Cªte d'Ivoire,Measles,9 months;, 3/4,0    
Democratic Republic of the Congo (the),Measles,9 months;, 3/4,0    
Equatorial Guinea,Measles,9 months;, 3/4,0    
Eritrea,Measles,"9, 18 months;", 3/4,18/12
Ethiopia,Measles,9 months;, 3/4,0    
Gabon,Measles,9 months;, 3/4,0    
Gambia (the),Measles,"9, 18 months;", 3/4,18/12
Ghana,Measles,18 months;, 3/4,18    
Guinea,Measles,9 months;, 3/4,0    
Guinea-Bissau,Measles,9 months;, 3/4,0    
Kenya,Measles,"9, 18 months;", 3/4,18/12
Lesotho,Measles,"9, 18 months;", 3/4,18/12
Liberia,Measles,9 months;, 3/4,0    
Madagascar,Measles,9 months;, 3/4,0    
Malawi,Measles,9 months;, 3/4,0    
Mali,Measles,9 months;, 3/4,0    
Mauritania,Measles,9 months;, 3/4,0    
Mozambique,Measles,9 months;, 3/4,0    
Namibia,Measles,9 months;, 3/4,0    
Niger (the),Measles,"9, 16 months;", 3/4,16/12
Nigeria,Measles,9 months;, 3/4,0    
Rwanda,Measles,15 months;, 3/4,15/12
Sao Tome and Principe,Measles,"9, 18 months;", 3/4,18/12
Sierra Leone,Measles,9 months; 15 months (from May 2016);, 3/4,15/12
South Africa,Measles,"9, 18 months;", 3/4,18/12
South Sudan,Measles,9 months;, 3/4,0    
Swaziland,Measles,"9, 18 months;", 3/4,18/12
Togo,Measles,9 months;, 3/4,0    
Uganda,Measles,9 months;, 3/4,0    
United Republic of Tanzania,Measles,"9, 18 months;", 3/4,18/12
Zambia,Measles,"9, 18 months;", 3/4,18/12
Zimbabwe,Measles,9 months;, 3/4,0    
Eastern Mediterranean,,,,
Afghanistan,Measles,"9, 18 months;", 3/4,18/12
Djibouti,Measles,"9, 15 months;", 3/4,15/12
Iran (Islamic Republic of),Measles,,100    ,
Iraq,Measles,9 months;, 3/4,0    
Jordan,Measles,9 months;, 3/4,0    
Lebanon,Measles,9 months;, 3/4,0    
Morocco,Measles,18 months;,18/12,0    
Pakistan,Measles,"9, 15 months;", 3/4,15/12
Saudi Arabia,Measles,9 months;, 3/4,0    
Somalia,Measles,9 months;, 3/4,0    
Sudan (the),Measles,"9, 18 months;", 3/4,18/12
Syrian Arab Republic (the),Measles,9 months;, 3/4,0    
Yemen,Measles,"9, 18 months;", 3/4,18/12
Europe,,, 3/4,0    
Kazakhstan,Measles,15-19 months;,1 1/2,0    
Russian Federation (the),Measles,"12 months; 6, 18-35 years;",1    ,6    
South-East Asia,,,,
Bangladesh,Measles,15 Months;,1 1/4,0    
Democratic People's Republic of Korea (the),Measles,"9, 15 months;", 3/4,15/12
India,Measles,"9, 16-24 months;", 3/4,24/12
Indonesia,Measles,"9, 24 months; 6-7 years;", 3/4,6    
Maldives,Measles,9 months;, 3/4,0    
Myanmar,Measles,"9, 18 months;", 3/4,18/12
Timor-Leste,Measles,9 months;, 3/4,0    
Western Pacific,,,,
Cambodia,Measles,18 months;,18/12,0    
Malaysia,Measles,6 months;, 1/2,0    
Papua New Guinea,Measles,"6, 9 months;", 1/2,0    
Philippines (the),Measles,9 months;, 3/4,0    
Vanuatu,Measles,1 year;,1    ,0    
Viet Nam,Measles,"9, 18 months;", 3/4,18/12
