year,code,percent_excls_breastfeed
1996,BRA,29.1
2007,BRA,39.8
2005,BDI,44.7
2000,BDI,61.8
2006,KHM,60
2000,KHM,11.4
1998,KHM,11
2008,KHM,65.9
2006,CMR,21.2
1998,CMR,12
2004,CMR,23.5
2007,CAN,14.4
2003,CAN,17
2005,CPV,59.6
2006,CAF,23.1
2004,TCD,2.1
2005,COL,46.8
2000,COM,21.3
2005,COG,19.1
1996,HRV,23.5
2006,CUB,26.4
1999,CIV,3.5
2000,CIV,10
1994,CIV,3
2006,CIV,4.3
2004,PRK,65.1
2007,COD,36.1
2001,COD,24.2
2006,DJI,1.3
2002,DOM,10.4
2007,DOM,7.8
1994,ECU,28.6
2004,ECU,39.6
2006,BIH,17.6
2004,BOL,53.6
2008,BOL,60.4
2008,BTN,10.4
1996,BEN,10.1
2006,BEN,43.1
2001,BEN,37.9
2006,BLZ,10.2
2005,BLR,9
2000,BGD,46.1
2006,BGD,37.4
1994,BGD,45.9
2005,BGD,58.4
2004,BGD,36.2
2007,BGD,42.9
1997,BGD,45.1
2006,AZE,11.8
2005,ARM,32.5
2000,ARM,31.8
2001,AGO,11.1
2006,DZA,6.9
2009,ALB,38.6
2000,ALB,6.5
2005,ALB,2.3
1999,ECU,34.8
2008,SLV,31.4
1998,SLV,15.2
1993,SLV,14.9
2003,SLV,24
2002,ERI,52
2000,ETH,54.2
2005,ETH,49
1993,FJI,52.1
2001,GAB,5.2
2000,GMB,25.3
2006,GMB,40.8
2005,GEO,10.9
1999,GHA,31
1994,GHA,5.7
2003,GHA,53.4
2008,GHA,62.8
2006,GHA,54.4
1999,GTM,38.8
1995,GTM,46.1
2002,GTM,50.6
2005,GIN,27
2008,GIN,48.1
2000,GNB,37.5
2008,GNB,27.9
2006,GNB,16.1
2000,GUY,10.6
2007,GUY,21.4
2000,HTI,23.6
2006,HTI,40.6
2006,HND,29.7
2006,IND,46.4
1999,IND,46.5
1993,IND,43.1
1997,IDN,42.5
1994,IDN,41.5
2003,IDN,39.5
1991,IDN,44.5
2008,IDN,32.4
2006,IRQ,25.1
2005,JAM,15.2
2002,JPN,21
2002,JOR,26.7
2007,JOR,21.8
2006,KAZ,16.8
1993,KEN,11.5
1998,KEN,12.5
2009,KEN,31.9
2003,KEN,12.7
2000,KEN,11.8
1987,KWT,38.3
2006,KGZ,31.5
2006,LAO,26.4
2005,LSO,36.4
2007,LBR,29.1
1997,MDG,47.6
2009,MDG,50.7
2000,MDG,41.3
2004,MDG,67.2
1992,MDG,34.9
1995,MWI,9.4
2005,MWI,53.3
2006,MWI,56.7
1992,MWI,2.1
2000,MWI,44.1
2001,MDV,10.4
1996,MLI,8.3
2006,MLI,37.8
2001,MLI,25.1
2007,MHL,27.3
2007,MRT,11.4
2001,MRT,20.4
2008,MRT,19
1999,MEX,20.3
2005,MNG,57.2
2004,MAR,31
1997,MOZ,30.2
2008,MOZ,36.8
2003,MOZ,30
2000,MMR,11
2000,NAM,18.6
2007,NAM,23.9
2007,NRU,67.2
2006,NPL,53
1996,NPL,74
2001,NPL,68.3
2001,NIC,31.1
2007,NIC,30.6
1998,NER,0.8
1992,NER,1
2009,NER,9.9
2000,NER,1.2
2006,NER,13.5
2008,NER,4.4
2007,NGA,11.7
1999,NGA,15.4
2003,NGA,17.2
1990,NGA,1
2008,NGA,13.1
2007,PAK,37.1
1991,PAK,22.8
2004,PRY,21.9
1990,PRY,5.1
2006,PER,62.8
2000,PER,67.2
2009,PER,69.9
1992,PER,32.9
1996,PER,52.7
2004,PER,63.9
2005,PER,62.8
2008,PER,66.6
1993,PHL,25.1
1998,PHL,37
2008,PHL,34
2003,PHL,33.5
2005,MDA,45.5
2004,ROU,15.8
2005,RWA,88.4
2006,STP,60.4
2005,SEN,34.1
2006,SRB,15.1
2005,SLE,7.9
2008,SLE,11.2
2007,SLB,73.7
2006,SOM,9.1
2009,SOM,5.3
2000,LKA,52.6
2007,LKA,75.8
2002,TLS,44
2003,TLS,30.7
1996,VUT,10
2007,VUT,40.1
2000,VNM,22.5
1997,VNM,16.7
2002,VNM,15.4
2006,MNE,19.3
2003,BFA,18.8
1999,BFA,5.5
1993,BFA,2
2006,BFA,6.8
2007,DOM,9.4
2005,EGY,38.3
2000,EGY,57
2003,EGY,30.3
1998,EGY,36.3
1996,EGY,56.1
1993,EGY,45.4
2008,EGY,53.2
1998,ZAF,7
2004,ZAF,8.3
2006,SDN,33.7
1993,SDN,74.6
2000,SDN,15.6
2006,SUR,2.2
2000,SUR,9.2
2000,SWZ,22.7
2007,SWZ,32.3
2006,SYR,28.7
2005,TJK,25.4
2005,MKD,16.2
1998,TGO,10.3
2000,TGO,17.9
2008,TGO,48.2
2006,TGO,28.4
2006,TTO,12.8
2006,TUN,6.2
1998,TUR,7
2008,TUR,41.6
1993,TUR,10.4
2004,TUR,20.8
2000,TKM,12.1
2007,TUV,34.7
2001,UGA,63.2
2006,UGA,60.1
1995,UGA,56.7
2007,UKR,18.2
1999,TZA,31.8
1992,TZA,22.6
1996,TZA,28.9
2005,TZA,41.3
2008,USA,13.6
2007,USA,12.1
2006,USA,10.3
2007,URY,57.1
2002,UZB,18.9
2006,UZB,26.4
2006,VNM,16.9
2003,YEM,11.5
1997,YEM,17.8
1995,ZMB,12
1992,ZMB,9.7
2002,ZMB,40.1
1997,ZMB,19.3
2007,ZMB,60.9
2006,ZWE,22.2
1999,ZWE,31.5
