GHO,PUBLISHSTATE,YEAR,REGION,WORLDBANKINCOMEGROUP,COUNTRY,AGEGROUP,SEX,prob_death
LIFE_0000000029,PUBLISHED,2013,EMR,WB_UMI,LBN,AGE100PLUS,MLE,0.5279
LIFE_0000000029,PUBLISHED,2013,AMR,WB_UMI,VEN,AGE65-69,MLE,0.020594
LIFE_0000000029,PUBLISHED,2012,EMR,WB_UMI,TUN,AGE15-19,MLE,0.000727
LIFE_0000000029,PUBLISHED,1990,EMR,WB_LMI,MAR,AGE1-4,FMLE,0.004667
LIFE_0000000029,PUBLISHED,2000,EMR,WB_LMI,SYR,AGE5-9,MLE,0.000455
LIFE_0000000029,PUBLISHED,1990,AMR,WB_UMI,ARG,AGELT1,FMLE,0.021925
LIFE_0000000029,PUBLISHED,2013,AMR,WB_LMI,BOL,AGE85-89,FMLE,0.168927
LIFE_0000000029,PUBLISHED,1990,EUR,WB_HI,LVA,AGE75-79,MLE,0.094966
LIFE_0000000029,PUBLISHED,2012,EMR,WB_HI,QAT,AGE80-84,FMLE,0.074304
LIFE_0000000029,PUBLISHED,1990,AMR,WB_LMI,GTM,AGE25-29,MLE,0.005679
LIFE_0000000029,PUBLISHED,2012,AFR,WB_LI,BFA,AGE10-14,FMLE,0.002178
LIFE_0000000029,PUBLISHED,1990,AFR,WB_LMI,LSO,AGE10-14,FMLE,0.002128
LIFE_0000000029,PUBLISHED,2012,AFR,WB_LI,TGO,AGE60-64,MLE,0.024162
LIFE_0000000029,PUBLISHED,1990,AFR,WB_HI,GNQ,AGE45-49,MLE,0.014112
LIFE_0000000029,PUBLISHED,2012,WPR,WB_LMI,PNG,AGE15-19,MLE,0.00175
LIFE_0000000029,PUBLISHED,2013,WPR,WB_UMI,TON,AGE100PLUS,FMLE,0.562557
LIFE_0000000029,PUBLISHED,2012,EUR,WB_UMI,BIH,AGE30-34,FMLE,0.000406
LIFE_0000000029,PUBLISHED,2013,EUR,WB_HI,GBR,AGE75-79,FMLE,0.028773
LIFE_0000000029,PUBLISHED,2000,SEAR,WB_LMI,THA,AGE85-89,FMLE,0.114
LIFE_0000000029,PUBLISHED,2012,WPR,WB_UMI,NRU,AGE100PLUS,MLE,0.447305
LIFE_0000000029,PUBLISHED,2000,WPR,WB_LI,KHM,AGE80-84,MLE,0.088105
LIFE_0000000029,PUBLISHED,2013,WPR,WB_LMI,WSM,AGE15-19,FMLE,0.000316
LIFE_0000000029,PUBLISHED,1990,,WB_UMI,,AGE80-84,BTSX,0.11888
LIFE_0000000029,PUBLISHED,2000,EUR,WB_LMI,TKM,AGE60-64,MLE,0.038
LIFE_0000000029,PUBLISHED,1990,AFR,WB_LI,BFA,AGE70-74,MLE,0.077718
LIFE_0000000029,PUBLISHED,2012,SEAR,WB_LMI,TLS,AGE70-74,FMLE,0.048079
LIFE_0000000029,PUBLISHED,2012,EUR,WB_HI,ITA,AGE85-89,MLE,0.116888
LIFE_0000000029,PUBLISHED,1990,EUR,WB_HI,SVK,AGE25-29,MLE,0.001484
LIFE_0000000029,PUBLISHED,2000,WPR,WB_HI,BRN,AGE30-34,MLE,0.001295
LIFE_0000000029,PUBLISHED,1990,EUR,WB_LMI,KGZ,AGE50-54,MLE,0.01486
LIFE_0000000029,PUBLISHED,2000,EUR,WB_LMI,ALB,AGE40-44,FMLE,0.002
LIFE_0000000029,PUBLISHED,1990,SEAR,WB_UMI,MDV,AGE85-89,MLE,0.297512
LIFE_0000000029,PUBLISHED,1990,AFR,WB_LI,GNB,AGE95-99,FMLE,0.525955
LIFE_0000000029,PUBLISHED,1990,WPR,WB_HI,SGP,AGE20-24,MLE,0.001074
LIFE_0000000029,PUBLISHED,2000,EUR,WB_HI,AUT,AGE55-59,MLE,0.009381
LIFE_0000000029,PUBLISHED,2012,EUR,WB_UMI,MNE,AGE60-64,FMLE,0.00959
LIFE_0000000029,PUBLISHED,2000,,WB_LMI,,AGE35-39,FMLE,0.003516
LIFE_0000000029,PUBLISHED,2000,WPR,WB_HI,SGP,AGE80-84,FMLE,0.063232
LIFE_0000000029,PUBLISHED,2012,EUR,WB_HI,PRT,AGE35-39,MLE,0.001492
LIFE_0000000029,PUBLISHED,2013,,WB_LI,,AGE20-24,BTSX,0.002961
LIFE_0000000029,PUBLISHED,2000,WPR,WB_LMI,FSM,AGE1-4,FMLE,0.002937
LIFE_0000000029,PUBLISHED,1990,WPR,WB_LMI,LAO,AGE55-59,MLE,0.023272
LIFE_0000000029,PUBLISHED,1990,EUR,WB_HI,MCO,AGE20-24,FMLE,0.000433
LIFE_0000000029,PUBLISHED,2000,WPR,WB_LMI,CHN,AGE50-54,MLE,0.007
LIFE_0000000029,PUBLISHED,2000,EMR,WB_LMI,SYR,AGE60-64,FMLE,0.011726
LIFE_0000000029,PUBLISHED,2012,AFR,WB_UMI,GAB,AGE55-59,MLE,0.01344
LIFE_0000000029,PUBLISHED,2012,AFR,WB_UMI,MUS,AGE55-59,FMLE,0.007514
LIFE_0000000029,PUBLISHED,2000,AMR,WB_UMI,PER,AGELT1,MLE,0.034435
LIFE_0000000029,PUBLISHED,1990,WPR,WB_LMI,MHL,AGE45-49,FMLE,0.007
LIFE_0000000029,PUBLISHED,1990,AMR,WB_HI,BRB,AGE45-49,FMLE,0.004269
LIFE_0000000029,PUBLISHED,2000,AFR,WB_LI,BDI,AGE55-59,MLE,0.024844
LIFE_0000000029,PUBLISHED,2013,AFR,WB_UMI,SYC,AGE45-49,MLE,0.006789
LIFE_0000000029,PUBLISHED,2013,AFR,WB_LMI,LSO,AGE75-79,MLE,0.096613
LIFE_0000000029,PUBLISHED,1990,AMR,WB_HI,BHS,AGE75-79,MLE,0.087311
LIFE_0000000029,PUBLISHED,2000,WPR,WB_UMI,PLW,AGE5-9,MLE,0.001039
LIFE_0000000029,PUBLISHED,2000,EUR,WB_HI,ITA,AGE35-39,MLE,0.001337
