"GHO","GBDCHILDCAUSES","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","MGHEREG","Display Value","Numeric","Low","High","Comments"
"MORT_200","CH6","PUBLISHED","2010","AMR","BOL","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2010","","","DAYS0-27","BTSX","UNICEF_EAPRO","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2000","EMR","SOM","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2005","WPR","LAO","YEARS0-4","BTSX","","1426","1426.25700","","",""
"MORT_100","CH6","PUBLISHED","2006","AFR","NER","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2013","SEAR","MDV","MONTHS1-59","BTSX","","0","0.03008","","",""
"MORT_100","CH6","PUBLISHED","2013","EUR","RUS","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2006","AFR","MOZ","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2010","AFR","ZMB","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2006","EUR","SMR","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2001","","","MONTHS1-59","BTSX","WBINC_UMINC","1.5","1.54379","","",""
"MORT_300","CH6","PUBLISHED","2013","AFR","TGO","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2009","WPR","NZL","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2001","EUR","HRV","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2013","EUR","BLR","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2010","EUR","SMR","DAYS0-27","BTSX","","","","","",""
"MORT_300","CH6","PUBLISHED","2009","EMR","LBN","MONTHS1-59","BTSX","","0.9","0.87214","","",""
"MORT_200","CH6","PUBLISHED","2012","AFR","ZWE","YEARS0-4","BTSX","","1.1","1.09105","","",""
"MORT_200","CH6","PUBLISHED","2006","EUR","POL","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2005","AMR","HND","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2000","WPR","TON","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2012","EMR","IRQ","MONTHS1-59","BTSX","","0.4","0.42889","","",""
"MORT_200","CH6","PUBLISHED","2005","AFR","COD","MONTHS1-59","BTSX","","16.4","16.43681","","",""
"MORT_200","CH6","PUBLISHED","2003","WPR","JPN","YEARS0-4","BTSX","","0","0.00411","","",""
"MORT_100","CH6","PUBLISHED","2011","AFR","COD","YEARS0-4","BTSX","","31815","31814.84000","","",""
"MORT_200","CH6","PUBLISHED","2004","EUR","TJK","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2001","AFR","ERI","YEARS0-4","BTSX","","7.5","7.54228","","",""
"MORT_300","CH6","PUBLISHED","2004","EMR","AFG","MONTHS1-59","BTSX","","0.9","0.85103","","",""
"MORT_300","CH6","PUBLISHED","2012","AFR","SLE","YEARS0-4","BTSX","","6.3","6.29332","","",""
"MORT_100","CH6","PUBLISHED","2003","EUR","SWE","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2011","AMR","DMA","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2005","AFR","ERI","MONTHS1-59","BTSX","","1.4","1.38264","","",""
"MORT_200","CH6","PUBLISHED","2003","AMR","VEN","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2000","WPR","VNM","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2003","EUR","SRB","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2001","EUR","FRA","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2002","WPR","MHL","YEARS0-4","BTSX","","0","0.32553","","",""
"MORT_300","CH6","PUBLISHED","2011","AFR","GIN","YEARS0-4","BTSX","","1.1","1.11494","","",""
"MORT_200","CH6","PUBLISHED","2003","","","YEARS0-4","BTSX","REG6_AFR","8.6","8.62057","","",""
"MORT_300","CH6","PUBLISHED","2006","EMR","MAR","MONTHS1-59","BTSX","","0.1","0.11902","","",""
"MORT_300","CH6","PUBLISHED","2012","EUR","HRV","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2008","AFR","GHA","MONTHS1-59","BTSX","","320","319.92860","","",""
"MORT_200","CH6","PUBLISHED","2001","AMR","GTM","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2013","EUR","HRV","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2013","AMR","USA","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2003","","","DAYS0-27","BTSX","MDG_OCE","0.0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2009","SEAR","MDV","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2001","","","MONTHS1-59","BTSX","REG7_AFR","283269","283269.10000","","",""
"MORT_200","CH6","PUBLISHED","2004","AFR","CAF","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2002","EUR","AUT","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2001","EMR","AFG","YEARS0-4","BTSX","","13.4","13.42661","","",""
"MORT_200","CH6","PUBLISHED","2002","WPR","COK","MONTHS1-59","BTSX","","0","0.01495","","",""
"MORT_200","CH6","PUBLISHED","2002","WPR","PNG","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2003","","","DAYS0-27","BTSX","MDG_NAF","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2004","","","DAYS0-27","BTSX","UNICEF_MENA","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2000","EUR","MDA","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2001","","","YEARS0-4","BTSX","UNICEF_EAPRO","1.2","1.21298","","",""
"MORT_300","CH6","PUBLISHED","2006","AFR","RWA","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2009","EUR","ITA","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2006","AMR","TTO","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2012","EUR","PRT","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2013","AFR","MOZ","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2001","AMR","CUB","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2008","EUR","KAZ","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2004","WPR","VNM","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2006","EUR","ISL","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2007","EUR","TJK","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2005","","","DAYS0-27","BTSX","REG6_AFR","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2003","EUR","GBR","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2007","WPR","WSM","YEARS0-4","BTSX","","1","1.02054","","",""
"MORT_300","CH6","PUBLISHED","2002","AMR","HTI","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2008","EUR","DNK","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2007","AFR","MWI","MONTHS1-59","BTSX","","0.5","0.52532","","",""
"MORT_200","CH6","PUBLISHED","2000","","","MONTHS1-59","BTSX","UNICEF_ESARO","6.1","6.13869","","",""
"MORT_300","CH6","PUBLISHED","2012","","","DAYS0-27","BTSX","REG7_AHIGH","0.0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2012","AFR","BEN","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2009","EUR","FRA","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2009","AFR","SSD","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2012","EMR","KWT","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2001","AFR","GMB","MONTHS1-59","BTSX","","3.4","3.44465","","",""
"MORT_200","CH6","PUBLISHED","2005","","","YEARS0-4","BTSX","REG7_AFR","5.4","5.44360","","",""
"MORT_200","CH6","PUBLISHED","2006","EUR","MLT","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2001","WPR","MNG","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2004","","","MONTHS1-59","BTSX","MDG_LAC","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2004","AFR","GHA","YEARS0-4","BTSX","","236","236.07200","","",""
"MORT_100","CH6","PUBLISHED","2010","WPR","CHN","YEARS0-4","BTSX","","1207","1206.56400","","",""
"MORT_300","CH6","PUBLISHED","2002","","","MONTHS1-59","BTSX","UNICEF_WCARO","8.4","8.42489","","",""
"MORT_100","CH6","PUBLISHED","2013","EUR","CHE","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2005","AFR","TGO","YEARS0-4","BTSX","","0.2","0.18543","","",""
"MORT_200","CH6","PUBLISHED","2008","WPR","VNM","MONTHS1-59","BTSX","","0.2","0.24228","","",""
"MORT_100","CH6","PUBLISHED","2011","","","MONTHS1-59","BTSX","WORLD","161615","161615.10000","","",""
"MORT_200","CH6","PUBLISHED","2007","AMR","BRA","MONTHS1-59","BTSX","","0","0.00000","","",""
