income_group,year,to27days_poop,to4years_poop,to59months_poop
low,2013,0.7,15.2,9.8
low,2012,0.7,15.6,10.2
low,2011,0.8,15.7,10.3
low,2010,0.8,16.2,10.7
low,2009,0.8,16.6,11
low,2008,0.9,16.6,11.1
low,2007,0.9,16.8,11.4
low,2006,1,16.6,11.4
low,2005,1.1,16.6,11.5
low,2004,1.1,16.7,11.8
low,2003,1.1,17.5,12.3
low,2002,1.2,18.1,12.9
low,2001,1.2,18.4,13.2
low,2000,1.2,19,13.6
lowmid,2013,0.7,17.5,9.7
lowmid,2012,0.7,17.7,9.9
lowmid,2011,0.7,17.8,10.1
lowmid,2010,0.7,18.1,10.4
lowmid,2009,0.7,18.3,10.5
lowmid,2008,0.8,18.5,10.7
lowmid,2007,0.8,18.9,11
lowmid,2006,0.8,19.2,11.3
lowmid,2005,0.9,19.5,11.7
lowmid,2004,1,19.9,12
lowmid,2003,1,19.7,12.1
lowmid,2002,1.1,20.7,12.7
lowmid,2001,1.1,20.7,12.9
lowmid,2000,1.1,21.2,13.3
upmid,2013,0.9,11.5,6.2
upmid,2012,0.9,11.6,6.3
upmid,2011,0.9,11.8,6.4
upmid,2010,0.9,11.9,6.6
upmid,2009,0.9,12,6.7
upmid,2008,1,12.5,6.9
upmid,2007,1,12.8,7.2
upmid,2006,1,12.9,7.2
upmid,2005,1,13.3,7.5
upmid,2004,1,13.4,7.6
upmid,2003,1.1,13.8,7.8
upmid,2002,1.1,14.1,8
upmid,2001,1.1,14.3,8.2
upmid,2000,1.1,14.7,8.4
high,2013,0,2.9,1.3
high,2012,0,2.9,1.3
high,2011,0,2.9,1.3
high,2010,0,3,1.3
high,2009,0,3.1,1.4
high,2008,0,3,1.4
high,2007,0,3.1,1.4
high,2006,0,3.1,1.4
high,2005,0,3.2,1.4
high,2004,0,3.3,1.5
high,2003,0,3.4,1.5
high,2002,0,3.6,1.6
high,2001,0,3.8,1.7
high,2000,0,4,1.8
