income_group,year,to27days_pertussis,to4years_pertussis,to59months_pertussis
low,2013,0.2,1.9,1.3
low,2012,0.1,1.8,1.2
low,2011,0.1,1.7,1.1
low,2010,0.1,1.7,1.1
low,2009,0.1,1.6,1.1
low,2008,0.1,1.6,1.1
low,2007,0.1,1.5,1
low,2006,0.1,1.4,1
low,2005,0.1,1.3,0.9
low,2004,0.1,1.2,0.9
low,2003,0.1,1.2,0.9
low,2002,0.1,1.1,0.8
low,2001,0.1,1.1,0.8
low,2000,0.1,1.1,0.8
lowmid,2013,0.1,1.7,1
lowmid,2012,0.1,1.6,0.9
lowmid,2011,0.1,1.5,0.9
lowmid,2010,0.1,1.4,0.8
lowmid,2009,0.1,1.4,0.8
lowmid,2008,0.1,1.3,0.8
lowmid,2007,0.1,1.3,0.8
lowmid,2006,0.1,1.2,0.7
lowmid,2005,0.1,1.2,0.7
lowmid,2004,0.1,1.1,0.7
lowmid,2003,0.1,1.1,0.7
lowmid,2002,0.1,1.1,0.7
lowmid,2001,0.1,1,0.6
lowmid,2000,0.1,0.9,0.6
upmid,2013,0.1,1.2,0.6
upmid,2012,0.1,1.2,0.6
upmid,2011,0.1,1.1,0.6
upmid,2010,0.1,1,0.6
upmid,2009,0,1,0.5
upmid,2008,0,0.9,0.5
upmid,2007,0,0.9,0.5
upmid,2006,0,0.8,0.5
upmid,2005,0,0.8,0.4
upmid,2004,0,0.8,0.4
upmid,2003,0,0.7,0.4
upmid,2002,0,0.6,0.4
upmid,2001,0,0.6,0.3
upmid,2000,0,0.6,0.3
high,2013,0,0.9,0.4
high,2012,0,0.9,0.4
high,2011,0,0.8,0.4
high,2010,0,0.8,0.4
high,2009,0,0.7,0.4
high,2008,0,0.7,0.4
high,2007,0,0.7,0.3
high,2006,0,0.6,0.3
high,2005,0,0.7,0.3
high,2004,0,0.6,0.3
high,2003,0,0.6,0.3
high,2002,0,0.6,0.3
high,2001,0,0.6,0.3
high,2000,0,0.5,0.3
