income_group,year,to27days_tetanus,to4years_tetanus,to59months_tetanus
low,2013,2,0,0.8
low,2012,2.1,0,0.8
low,2011,2.1,0,0.8
low,2010,2.1,0,0.7
low,2009,2.1,0,0.7
low,2008,2.4,0,0.8
low,2007,2.6,0,0.9
low,2006,2.8,0,0.9
low,2005,3,0,1
low,2004,3.3,0,1
low,2003,3.8,0,1.2
low,2002,4.1,0,1.3
low,2001,4.7,0,1.5
low,2000,5.1,0,1.6
lowmid,2013,2,0,0.9
lowmid,2012,2.1,0,1
lowmid,2011,2.2,0,1
lowmid,2010,2.1,0,1
lowmid,2009,2.3,0,1
lowmid,2008,2.5,0,1.1
lowmid,2007,2.9,0,1.3
lowmid,2006,2.9,0,1.3
lowmid,2005,2.9,0,1.2
lowmid,2004,3.2,0,1.3
lowmid,2003,3.4,0,1.4
lowmid,2002,3.6,0,1.5
lowmid,2001,3.9,0,1.6
lowmid,2000,4.4,0,1.7
upmid,2013,0.7,0,0.4
upmid,2012,0.7,0,0.4
upmid,2011,0.7,0,0.4
upmid,2010,0.7,0,0.4
upmid,2009,0.7,0,0.3
upmid,2008,0.8,0,0.4
upmid,2007,0.8,0,0.4
upmid,2006,0.8,0,0.4
upmid,2005,0.9,0,0.4
upmid,2004,0.8,0,0.4
upmid,2003,1,0,0.5
upmid,2002,0.9,0,0.4
upmid,2001,1,0,0.5
upmid,2000,1.1,0,0.5
high,2013,0,0,0
high,2012,0,0,0
high,2011,0,0,0
high,2010,0,0,0
high,2009,0,0,0
high,2008,0,0,0
high,2007,0,0,0
high,2006,0.1,0,0
high,2005,0.1,0,0
high,2004,0,0,0
high,2003,0.1,0,0
high,2002,0.1,0,0
high,2001,0.1,0,0
high,2000,0.1,0,0
