income_group,year,0to27days_measles,1to59months_measles,0to4years_measles
low,2013,0,3.5,2.2
low,2012,0,3.6,2.2
low,2011,0,5.4,3.5
low,2010,0,2.8,1.8
low,2009,0,3.6,2.3
low,2008,0,2.4,1.5
low,2007,0,2.2,1.5
low,2006,0,4.5,3
low,2005,0,6,4.1
low,2004,0,8.3,5.7
low,2003,0,7.5,5.1
low,2002,0,7.5,5.2
low,2001,0,8.6,6
low,2000,0,8.8,6.2
lowmid,2013,0,3,1.6
lowmid,2012,0,2.7,1.5
lowmid,2011,0,4.2,2.3
lowmid,2010,0,4.1,2.3
lowmid,2009,0,4.2,2.3
lowmid,2008,0,3.8,2.1
lowmid,2007,0,3.7,2.1
lowmid,2006,0,5.5,3.1
lowmid,2005,0,6.9,4
lowmid,2004,0,6.4,3.7
lowmid,2003,0,8.6,5.1
lowmid,2002,0,6.6,3.9
lowmid,2001,0,9.4,5.7
lowmid,2000,0,9.4,5.7
upmid,2013,0,0.8,0.4
upmid,2012,0,0.7,0.4
upmid,2011,0,0.7,0.4
upmid,2010,0,1.2,0.6
upmid,2009,0,1.1,0.6
upmid,2008,0,0.8,0.4
upmid,2007,0,0.7,0.4
upmid,2006,0,0.7,0.4
upmid,2005,0,0.7,0.4
upmid,2004,0,0.8,0.4
upmid,2003,0,1.4,0.7
upmid,2002,0,1.7,0.9
upmid,2001,0,1.5,0.8
upmid,2000,0,1.1,0.6
high,2013,0,0,0
high,2012,0,0.2,0.1
high,2011,0,0.1,0
high,2010,0,0,0
high,2009,0,0.2,0.1
high,2008,0,0.2,0.1
high,2007,0,0.2,0.1
high,2006,0,0.1,0
high,2005,0,0.3,0.1
high,2004,0,0.2,0.1
high,2003,0,0.2,0.1
high,2002,0,0.2,0.1
high,2001,0,0.2,0.1
high,2000,0,0.3,0.1
