<<<<<<< HEAD
First Stage Estimates, Measles					
	(1)	(2)	(3)	(4)	(5)
VARIABLES	F2.mortality	F3.mortality	F4.mortality	F2.mortality	F3.mortality
					
0b.low#c.unicefmcv1	-0.0171	-0.0113	-0.00627	-0.135*	-0.112
	[0.0845]	[0.0816]	[0.0767]	[0.0701]	[0.0682]
1.low#c.unicefmcv1	-1.078***	-1.020***	-0.932***	-0.963***	-0.914***
	[0.140]	[0.131]	[0.124]	[0.104]	[0.0978]
loghealthcare	-4.114**	-3.452**	-2.731*		
	[1.825]	[1.732]	[1.645]		
loggni				3.573	4.957
				[3.483]	[3.540]
					
R-squared	0.546	0.535	0.522	0.573	0.562
Number of pan_id	186	186	186	185	185
Robust standard errors in brackets					
*** p<0.01, ** p<0.05, * p<0.1					
=======
		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
		OLS	OLS	First Stage	First Stage	Reduced Form	Reduced Form	IV	IV	Reduced Form
VARIABLES	LABELS	5-year Lag	10-year Lag	5-year Lag	10-year Lag	5-year Lag	10-year Lag	5-year Lag	10-year Lag	7-year Lag
										
L5.mortality	Under 5 Mortality = L,	0.116***							-0.00473	
		(0.0396)							(0.194)	
L10.mortality	Under 5 Mortality = L1,		0.0707							
			(0.0449)							
L5.diff_mcv1coverage	diff_mcv1coverage = L,			-0.101***		-0.0238				
				(0.0351)		(0.0281)				
L10.diff_mcv1coverage	diff_mcv1coverage = L1,				-0.0784**		0.000701			0.000701
					(0.0313)		(0.0287)			(0.0287)
L.mortality	Under 5 Mortality = L,							0.154		
								(0.205)		
										
R-squared		0.705	0.700	0.754	0.775	0.716	0.682			0.682
Number of pan_id		66	66	70	69	65	65	65	65	65
Country FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Controls		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
>>>>>>> ec43410... first commit in a while. usually make this message informative
