"","AGEGROUP","COUNTRY","value"
"1","AGE65-69","VEN",0.979406
"2","AGE15-19","TUN",0.999273
"3","AGE1-4","MAR",0.995333
"4","AGE5-9","SYR",0.999545
"5","AGELT1","ARG",0.978075
"6","AGE85-89","BOL",0.831073
"7","AGE75-79","LVA",0.905034
"8","AGE80-84","QAT",0.925696
"9","AGE10-14","BFA",0.997822
"10","AGE10-14","LSO",0.997872
"11","AGE60-64","TGO",0.975838
"12","AGE45-49","GNQ",0.985888
"13","AGE15-19","PNG",0.99825
"14","AGE30-34","BIH",0.999594
"15","AGE75-79","GBR",0.971227
"16","AGE85-89","THA",0.886
"17","AGE80-84","KHM",0.911895
"18","AGE15-19","WSM",0.999684
"19","AGE60-64","TKM",0.962
"20","AGE70-74","BFA",0.922282
"21","AGE70-74","TLS",0.951921
"22","AGE85-89","ITA",0.883112
"23","AGE30-34","BRN",0.998705
"24","AGE50-54","KGZ",0.98514
"25","AGE40-44","ALB",0.998
"26","AGE85-89","MDV",0.702488
"27","AGE95-99","GNB",0.474045
"28","AGE20-24","SGP",0.998926
"29","AGE55-59","AUT",0.990619
"30","AGE60-64","MNE",0.99041
"31","AGE80-84","SGP",0.936768
"32","AGE35-39","PRT",0.998508
"33","AGE1-4","FSM",0.997063
"34","AGE55-59","LAO",0.976728
"35","AGE20-24","MCO",0.999567
"36","AGE50-54","CHN",0.993
"37","AGE60-64","SYR",0.988274
"38","AGE55-59","GAB",0.98656
"39","AGE55-59","MUS",0.992486
"40","AGELT1","PER",0.965565
"41","AGE45-49","MHL",0.993
"42","AGE45-49","BRB",0.995731
"43","AGE55-59","BDI",0.975156
"44","AGE45-49","SYC",0.993211
"45","AGE75-79","LSO",0.903387
"46","AGE75-79","BHS",0.912689
"47","AGE5-9","PLW",0.998961
"48","AGE35-39","ITA",0.998663
"49","AGE20-24","JOR",0.999216
"50","AGE50-54","MAR",0.993527
"51","AGE1-4","AFG",0.988119
"52","AGE65-69","COM",0.962342
"53","AGE80-84","LCA",0.909431
"54","AGE60-64","CHL",0.988284
"55","AGE5-9","UZB",1
"56","AGE85-89","GEO",0.857292
"57","AGE95-99","ERI",0.646458
"58","AGE20-24","GBR",0.999417
"59","AGE80-84","MRT",0.817
"60","AGE15-19","SSD",0.994141
"61","AGE5-9","ATG",0.999771
"62","AGE60-64","CAN",0.99407
"63","AGE30-34","CRI",0.99834
"64","AGE85-89","GMB",0.756789
"65","AGE65-69","TZA",0.967374
"66","AGE30-34","KAZ",0.998271
"67","AGE5-9","SLE",0.988523
"68","AGE55-59","LBY",0.985043
"69","AGE70-74","PNG",0.943772
"70","AGE60-64","FSM",0.97671
"71","AGE45-49","HUN",0.988499
"72","AGE55-59","EGY",0.982955
"73","AGE45-49","HRV",0.996176
"74","AGE95-99","CHN",0.569279
"75","AGE10-14","VUT",0.999676
"76","AGE80-84","AUS",0.94639
"77","AGE55-59","BTN",0.977805
"78","AGE15-19","MYS",0.998933
"79","AGE20-24","GRD",0.998521
"80","AGE10-14","TUR",0.999334
"81","AGE45-49","TUV",0.987771
"82","AGE55-59","SEN",0.982
"83","AGE55-59","KEN",0.978648
"84","AGE10-14","IRL",0.999861
"85","AGE15-19","LSO",0.996883
"86","AGE80-84","NER",0.821239
"87","AGE35-39","MDA",0.998362
"88","AGE65-69","LUX",0.976366
"89","AGE35-39","TTO",0.996499
"90","AGE15-19","CZE",0.9996
"91","AGELT1","ATG",0.983555
"92","AGE90-94","BLZ",0.754776
"93","AGE5-9","COL",0.999782
"94","AGE55-59","IND",0.98612
"95","AGE60-64","MWI",0.981553
"96","AGE1-4","BFA",0.989916
"97","AGE95-99","CAF",0.478946
"98","AGE30-34","SEN",0.996
"99","AGE30-34","CIV",0.98547
"100","AGE5-9","SRB",0.999903
"101","AGE65-69","LCA",0.983126
"102","AGE35-39","PAN",0.99725
"103","AGE60-64","CZE",0.99235
"104","AGE70-74","ECU",0.975
"105","AGE1-4","PNG",0.996204
"106","AGE55-59","PAN",0.991607
"107","AGE20-24","LKA",0.998301
"108","AGE1-4","SOM",0.980071
"109","AGE60-64","SLE",0.950253
"110","AGELT1","VNM",0.971
"111","AGE90-94","COL",0.842965
"112","AGE35-39","KWT",0.999493
"113","AGE65-69","THA",0.984807
"114","AGELT1","BTN",0.909735
"115","AGE75-79","BLZ",0.926
"116","AGE15-19","MWI",0.996898
"117","AGE95-99","GRC",0.668257
"118","AGE85-89","PNG",0.756871
