country,liberties1972,liberties1973,liberties1974,liberties1975,liberties1976,liberties1977,liberties1978,liberties1979,liberties1980,liberties1981,liberties1982,liberties1983,Status,liberties1984,liberties1985,liberties1986,liberties1987,liberties1988,liberties1990,liberties1991,liberties1992,liberties1993,liberties1994,liberties1995,liberties1996,liberties1997,liberties1998,liberties1999,liberties2000,liberties2001,liberties2002,liberties2003,liberties2004,liberties2005,liberties2006,liberties2007,liberties2008,liberties2009,liberties2010,liberties2011,liberties2012,liberties2013,liberties2014,liberties2015
Afghanistan,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,6,6,6,6,6,6,6,6
Albania,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,3,4,4,4,4,4,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Algeria,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,6,6,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Andorra,3,4,4,4,4,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,,,,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6
Antigua and Barbuda,,,,,,,,,,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Argentina,3,2,4,4,5,6,5,5,5,5,3,2,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
Armenia,,,,,,,,,,,,,,,,,,,,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Australia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
Bahamas,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bahrain,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6
Bangladesh,4,4,4,5,4,4,4,3,4,5,5,5,5,5,5,5,5,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Barbados,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,,,,,,,,,,,,,,,,,,,,4,3,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Belgium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belize,,,,,,,,,,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Benin,5,5,6,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,4,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bhutan,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4
Bolivia,4,4,5,5,4,4,3,3,5,4,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
Botswana,4,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brazil,5,5,4,5,5,5,4,3,3,3,3,3,3,2,2,2,3,2,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
Brunei,5,5,5,5,5,,,,,,,6,6,5,5,5,6,6,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bulgaria,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,3,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Burkina Faso,4,4,4,4,5,4,3,3,5,5,5,5,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
Burundi,7,7,7,6,6,6,7,7,6,6,6,6,7,6,6,6,6,6,6,6,5,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6
