country,iso_code,healthcare1995,healthcare1996,healthcare1997,healthcare1998,healthcare1999,healthcare2000,healthcare2001,healthcare2002,healthcare2003,healthcare2004,healthcare2005,healthcare2006,healthcare2007,healthcare2008,healthcare2009,healthcare2010,healthcare2011,healthcare2012,healthcare2013
Afghanistan,AFG,,,,,,,,15.80370424,19.85694356,21.51116885,23.31430901,25.16211067,33.16569259,38.28061081,38.49537496,47.87693003,53.58555953,57.70713719,54.96414784
Albania,ALB,69.00303792,67.02745627,49.14586021,57.15239156,71.30405143,69.84439276,74.81051753,88.36823776,109.2460057,147.6954281,159.6879846,169.1486637,207.5402917,239.8562954,221.0061804,200.4417924,234.0568553,220.428729,239.5770924
Algeria,DZA,53.11526684,52.67530198,57.07010098,56.19350342,53.40403427,60.26739268,65.35038111,64.9985864,74.04668259,90.38006581,98.30820876,113.7845331,146.9650317,201.1258079,195.2102089,209.8349111,270.7688554,318.9757142,313.5202115
American Samoa,ASM,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1364.673364,1477.911825,1475.56499,1882.973266,1422.926685,1318.127838,1264.342384,1438.787337,1809.524055,2092.631712,2259.836608,2569.392747,3019.280185,3114.592887,2870.095347,3185.533817,3386.772292,3413.940555,2947.964163
Angola,AGO,20.32175598,18.05826968,27.37973011,23.08175434,18.716962,22.23033354,36.16068064,33.4846072,44.6218778,63.38667409,70.95815417,110.8641336,115.4560619,176.7233673,174.3292481,143.7824605,177.6002269,190.4623683,267.2242988
Antigua and Barbuda,ATG,355.6510531,359.1391921,375.8499339,388.8800676,403.164374,419.5088172,442.9079634,435.0508608,456.4927672,468.3894867,538.0132428,590.2586115,662.434632,747.1646384,685.1045642,733.8083642,723.5946034,726.9285249,665.260099
Argentina,ARG,615.8028058,619.5363578,686.4308092,707.0404491,726.7585886,709.8623551,676.228653,225.4645474,280.4203586,327.2996757,394.8376406,453.7044059,547.9923033,685.8287279,725.7401641,754.1795655,869.8775858,994.2932556,1074.066944
Armenia,ARM,25.62249443,29.14083557,30.12181086,34.98812191,33.89211786,38.82927307,41.12761409,41.99431803,51.5155733,65.49781976,86.10079034,98.19963503,133.9813006,149.2596644,132.4258576,143.0644236,127.1714954,150.3955574,158.6215569
Aruba,ABW,,,,,,,,,,,,,,,,,,,
Australia,AUS,1570.879251,1767.982166,1765.145063,1588.684065,1745.362059,1713.589691,1635.61242,1851.922486,2329.51592,2876.43408,3139.675933,3331.121518,3959.185465,4282.25234,4148.251829,5196.543557,6209.207191,6392.934786,6109.822819
Austria,AUT,2877.99883,2813.202721,2560.594728,2668.649255,2701.779037,2406.131552,2412.373956,2605.546058,3230.171559,3732.65002,3874.566752,4022.624417,4646.896885,5229.916762,5142.456895,5033.422336,5400.538267,5205.971913,5427.260142
Azerbaijan,AZE,18.01915735,24.77843538,27.26668815,30.26793414,30.49569874,30.29752578,31.17018839,33.62020977,57.04929995,81.26678363,121.8908206,149.6812913,192.2360543,241.3139233,288.350589,310.3253829,359.2337827,401.7512583,436.0227778
"Bahamas, The",BHS,838.7787895,879.8708395,959.9191201,1031.480447,1072.995686,1106.767554,1106.777116,1183.314371,1236.955285,1325.699007,1394.281089,1645.35046,1720.859503,1728.916375,1639.550022,1626.234632,1651.993416,1618.109764,1620.67683
Bahrain,BHR,502.113492,497.7459278,541.1751129,489.1089961,495.5716457,475.8990542,487.5509481,509.9845794,536.4471715,539.467326,573.0196999,598.7858286,647.6678594,726.6575596,728.5424675,747.3295196,765.6186311,919.5047244,1067.202693
Bangladesh,BGD,11.1189743,11.24924942,8.45283814,8.54611826,8.86107608,9.05065324,9.57052419,10.27460596,10.80218157,11.92708522,12.41791943,13.50581614,15.2556323,17.62900088,19.8729368,23.21265948,25.49747146,25.67120185,31.63443186
Barbados,BRB,450.5348356,465.6004153,494.7733612,531.3204205,570.1581399,601.8750702,634.7560157,677.3842534,702.3279582,736.5520637,764.9748046,825.6869795,927.8803147,995.5097579,1024.948617,978.0542928,1005.497999,1009.138328,1007.215496
Belarus,BLR,69.70769399,89.02799276,91.83219436,89.94658924,74.55472169,74.74479373,81.9901852,95.49013656,119.4529894,156.8507723,215.3363532,243.5170055,304.0566715,377.9434258,312.6139775,322.5782119,294.2727646,339.0334044,462.8784385
