underonemort,year,code,onetofourmort,fivetoninemort,tentofourteenmort
1,NA,2012,AFG,0.0290469992905855,NA,NA
2,NA,1990,AGO,0.101000003516674,0.0610000006854534,0.0309999994933605
3,0.130011007189751,2000,AGO,NA,NA,NA
4,0.0399999991059303,1990,ALB,NA,NA,NA
5,0.0398049987852573,1990,ALB,NA,NA,NA
6,NA,2000,ALB,0.00369499996304512,NA,NA
7,NA,2013,ALB,NA,NA,0.00208000000566244
8,0.0160850007086992,1990,ARE,NA,NA,NA
9,NA,2000,ARE,0.0017130000051111,NA,0.0020000000949949
10,NA,1990,ARG,0.00349200004711747,NA,NA
11,NA,2012,ARG,0.00164000003132969,NA,NA
12,0.0160470008850098,1990,ATG,NA,NA,NA
13,NA,2000,ATG,0.00126199994701892,NA,0.00197899993509054
14,NA,2013,ATG,NA,NA,0.000990999978967011
15,0.0056980000808835,2000,AUS,NA,NA,NA
16,NA,2012,AUS,0.000813000020571053,NA,NA
17,0.00889100041240454,1990,AUT,NA,NA,NA
18,0.00369199994020164,2012,AUT,NA,0.000433999986853451,NA
19,0.0629979968070984,2000,AZE,NA,0.00367000000551343,0.0020000000949949
20,NA,2012,AZE,0.00538699980825186,NA,NA
21,NA,2000,BDI,0.0633940026164055,NA,NA
22,0.0738999992609024,2012,BDI,NA,NA,NA
23,NA,2013,BDI,0.0385930016636848,NA,NA
24,0.00950700044631958,1990,BEL,NA,NA,NA
25,NA,2000,BEL,NA,NA,0.00087699998402968
26,NA,2013,BEL,NA,NA,0.000618999998550862
27,0.0992109999060631,2000,BEN,NA,NA,NA
28,NA,2012,BEN,0.0455470010638237,NA,NA
29,NA,2000,BFA,0.0993190035223961,NA,NA
30,NA,2013,BFA,NA,NA,0.0092179998755455
31,0.106100000441074,1990,BGD,NA,NA,NA
32,0.0357000008225441,2012,BGD,NA,0.00486399978399277,NA
33,NA,2013,BGD,0.00750199984759092,NA,NA
34,0.00440499978139997,2012,BLR,NA,NA,NA
35,NA,2013,BLR,NA,NA,0.00117099995259196
36,0.0362000018358231,2012,BOL,NA,NA,NA
37,0.0324999988079071,2000,BRA,NA,0.00210799998603761,NA
38,NA,2012,BRA,0.00158399995416403,NA,NA
39,0.0169949997216463,1990,BRB,NA,NA,NA
40,NA,2000,BRB,0.00151500001084059,NA,0.000814999977592379
41,NA,2013,BRB,NA,NA,0.00162300001829863
42,0.010240999981761,1990,BRN,NA,NA,NA
43,NA,2000,BRN,0.00222899997606874,NA,NA
44,NA,1990,BTN,0.0431439988315105,NA,NA
45,0.0647170022130013,2000,BTN,NA,NA,NA
46,NA,2012,BTN,0.00991499982774258,NA,0.00610599992796779
47,NA,1990,BWA,NA,NA,0.00604300014674664
48,0.116403996944427,2000,CAF,NA,NA,NA
49,NA,1990,CAN,NA,NA,0.00140900001861155
50,0.00510999979451299,2000,CHE,NA,0.000707999977748841,NA
51,NA,2012,CHE,0.000717999995686114,NA,NA
52,0.0179999992251396,1990,CHL,NA,0.0020000000949949,NA
53,NA,1990,CHN,NA,NA,0.00339900003746152
54,NA,2012,CHN,NA,NA,0.0015140000032261
55,NA,2000,CIV,0.0535020008683205,NA,NA
56,0.0829999968409538,2012,CIV,NA,NA,NA
57,NA,2013,CIV,0.0340659990906715,NA,NA
58,NA,1990,CMR,0.0557590015232563,NA,NA
59,0.100098997354507,2000,CMR,NA,NA,NA
60,NA,2012,CMR,0.0365649983286858,NA,0.013871000148356
61,NA,2000,COD,0.0680830031633377,NA,NA
62,NA,2013,COD,NA,NA,0.0194140002131462
63,NA,1990,COG,NA,NA,0.0125949997454882
64,0.0168999992311001,2012,COL,NA,NA,NA
65,NA,2013,COL,0.00275500002317131,NA,NA
66,0.0613280013203621,2013,COM,NA,NA,NA
67,0.0210069995373487,2012,CPV,NA,NA,NA
68,NA,2013,CPV,0.0035109999589622,NA,NA
