year,country,AGEGROUP,SEX,Display Value
2013,SRB,AGE25-29,FMLE,0.001848
2000,,AGE65-69,BTSX,0.094309
2012,,AGE35-39,BTSX,0.028835
2000,BEN,AGE15-19,FMLE,0.016363
2013,GNQ,AGE65-69,MLE,0.178564
2000,DZA,AGE50-54,FMLE,0.03055
2012,SWE,AGE60-64,MLE,0.041029
2013,SGP,AGE40-44,MLE,0.004935
2012,COG,AGE20-24,MLE,0.021488
1990,GIN,AGE35-39,MLE,0.037695
2012,MYS,AGE35-39,FMLE,0.005137
2012,,AGE50-54,MLE,0.043658
2013,PAK,AGE30-34,MLE,0.011175
1990,TON,AGE45-49,MLE,0.062
2013,KGZ,AGE1-4,MLE,0.003215
2012,HND,AGE60-64,MLE,0.072217
1990,RUS,AGE1-4,MLE,0.005
2013,LBY,AGE5-9,MLE,0.001534
2012,NLD,AGE25-29,MLE,0.002333
2000,THA,AGE75-79,FMLE,0.233831
2000,LAO,AGE30-34,FMLE,0.018
2000,CYP,AGE80-84,MLE,0.472535
2012,KNA,AGE85-89,MLE,0.660648
1990,KHM,AGE100PLUS,FMLE,1
2013,,AGE95-99,FMLE,0.812554
2000,MEX,AGE100PLUS,MLE,1
2013,FIN,AGE15-19,MLE,0.002462
2013,RWA,AGELT1,FMLE,0.033699
2013,LVA,AGE95-99,MLE,0.825246
2012,,AGE65-69,FMLE,0.131096
2000,GAB,AGE20-24,MLE,0.019255
2013,RWA,AGE65-69,FMLE,0.115143
2013,DMA,AGE1-4,FMLE,0.001677
2013,CMR,AGE5-9,MLE,0.023256
2000,BRN,AGE45-49,MLE,0.010823
2012,,AGE10-14,FMLE,0.004403
2013,GRD,AGE85-89,MLE,0.644202
1990,KWT,AGE50-54,MLE,0.026634
2013,ARM,AGE5-9,FMLE,0.001056
2000,,AGE85-89,MLE,0.614435
2000,MWI,AGE25-29,FMLE,0.072354
2012,SLE,AGE80-84,FMLE,0.728301
2000,TKM,AGE75-79,MLE,0.394104
2000,GRC,AGE55-59,FMLE,0.015967
1990,AGO,AGE60-64,MLE,0.178993
2000,JAM,AGE15-19,FMLE,0.003363
1990,RUS,AGE15-19,MLE,0.008079
2012,BLR,AGELT1,MLE,0.004405
1990,BWA,AGE30-34,FMLE,0.019888
2012,OMN,AGE90-94,MLE,0.681058
2012,TZA,AGE20-24,FMLE,0.016426
1990,,AGE20-24,FMLE,0.009478
2012,OMN,AGE20-24,MLE,0.006285
2000,MNE,AGE70-74,FMLE,0.155291
1990,COL,AGE100PLUS,MLE,1
1990,KEN,AGE5-9,FMLE,0.017091
1990,PRT,AGELT1,MLE,0.012792
2013,LAO,AGE60-64,FMLE,0.080702
1990,YEM,AGE90-94,FMLE,0.808987
2013,SGP,AGE95-99,FMLE,0.676801
2000,CRI,AGE95-99,FMLE,0.700548
2013,ECU,AGE80-84,MLE,0.381573
2000,MNE,AGE85-89,MLE,0.392812
2000,THA,AGE20-24,MLE,0.012897
2000,ERI,AGE1-4,MLE,0.036639
2013,,AGE55-59,BTSX,0.045355
2012,MWI,AGE20-24,MLE,0.013973
