country,vaccine,age1,age2
Algeria,Measles, 3/4,6    
Angola,Measles, 3/4,0    
Benin,Measles, 3/4,0    
Botswana,Measles, 3/4,18/12
Burkina Faso,Measles, 3/4,15/12
Burundi,Measles, 3/4,18/12
Cabo Verde,Measles, 3/4,0    
Cameroon,Measles, 3/4,0    
Central African Republic (the),Measles, 3/4,0    
Chad,Measles, 3/4,0    
Comoros (the),Measles, 3/4,0    
Congo (the),Measles, 2/3,0    
Cªte d'Ivoire,Measles, 3/4,0    
Democratic Republic of the Congo (the),Measles, 3/4,0    
Equatorial Guinea,Measles, 3/4,0    
Eritrea,Measles, 3/4,18/12
Ethiopia,Measles, 3/4,0    
Gabon,Measles, 3/4,0    
Gambia (the),Measles, 3/4,18/12
Ghana,Measles, 3/4,18    
Guinea,Measles, 3/4,0    
Guinea-Bissau,Measles, 3/4,0    
Kenya,Measles, 3/4,18/12
Lesotho,Measles, 3/4,18/12
Liberia,Measles, 3/4,0    
Madagascar,Measles, 3/4,0    
Malawi,Measles, 3/4,0    
Mali,Measles, 3/4,0    
Mauritania,Measles, 3/4,0    
Mozambique,Measles, 3/4,0    
Namibia,Measles, 3/4,0    
Niger (the),Measles, 3/4,16/12
Nigeria,Measles, 3/4,0    
Rwanda,Measles, 3/4,15/12
Sao Tome and Principe,Measles, 3/4,18/12
Sierra Leone,Measles, 3/4,15/12
South Africa,Measles, 3/4,18/12
South Sudan,Measles, 3/4,0    
Swaziland,Measles, 3/4,18/12
Togo,Measles, 3/4,0    
Uganda,Measles, 3/4,0    
United Republic of Tanzania,Measles, 3/4,18/12
Zambia,Measles, 3/4,18/12
Zimbabwe,Measles, 3/4,0    
Eastern Mediterranean,,,
Afghanistan,Measles, 3/4,18/12
Djibouti,Measles, 3/4,15/12
Iran (Islamic Republic of),Measles,100    ,
Iraq,Measles, 3/4,0    
Jordan,Measles, 3/4,0    
Lebanon,Measles, 3/4,0    
Morocco,Measles,18/12,0    
Pakistan,Measles, 3/4,15/12
Saudi Arabia,Measles, 3/4,0    
Somalia,Measles, 3/4,0    
Sudan (the),Measles, 3/4,18/12
Syrian Arab Republic (the),Measles, 3/4,0    
Yemen,Measles, 3/4,18/12
Europe,, 3/4,0    
Kazakhstan,Measles,1 1/2,0    
Russian Federation (the),Measles,1    ,6    
South-East Asia,,,
Bangladesh,Measles,1 1/4,0    
Democratic People's Republic of Korea (the),Measles, 3/4,15/12
India,Measles, 3/4,24/12
Indonesia,Measles, 3/4,6    
Maldives,Measles, 3/4,0    
Myanmar,Measles, 3/4,18/12
Timor-Leste,Measles, 3/4,0    
Western Pacific,,,
Cambodia,Measles,18/12,0    
Malaysia,Measles, 1/2,0    
Papua New Guinea,Measles, 1/2,0    
Philippines (the),Measles, 3/4,0    
Vanuatu,Measles,1    ,0    
Viet Nam,Measles, 3/4,18/12
