GHO,GBDCHILDCAUSES,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH6,PUBLISHED,2004,EMR,AFG,MONTHS1-59,BTSX,,0.9,0.85103,,,
MORT_300,CH6,PUBLISHED,2009,EMR,AFG,MONTHS1-59,BTSX,,5.8,5.78525,,,
MORT_300,CH6,PUBLISHED,2003,EMR,AFG,MONTHS1-59,BTSX,,0.6,0.55378,,,
MORT_300,CH6,PUBLISHED,2012,EMR,AFG,MONTHS1-59,BTSX,,5,5.04964,,,
MORT_300,CH6,PUBLISHED,2008,EMR,AFG,MONTHS1-59,BTSX,,2.9,2.91339,,,
MORT_300,CH6,PUBLISHED,2010,EMR,AFG,MONTHS1-59,BTSX,,4.4,4.36098,,,
MORT_300,CH6,PUBLISHED,2000,EMR,AFG,MONTHS1-59,BTSX,,11.7,11.68467,,,
MORT_300,CH6,PUBLISHED,2002,EMR,AFG,MONTHS1-59,BTSX,,7.7,7.71906,,,
MORT_300,CH6,PUBLISHED,2013,EMR,AFG,MONTHS1-59,BTSX,,6.2,6.2153,,,
MORT_300,CH6,PUBLISHED,2007,EMR,AFG,MONTHS1-59,BTSX,,2.2,2.18412,,,
MORT_300,CH6,PUBLISHED,2011,EMR,AFG,MONTHS1-59,BTSX,,6.6,6.61233,,,
MORT_300,CH6,PUBLISHED,2001,EMR,AFG,MONTHS1-59,BTSX,,14.4,14.37016,,,
MORT_300,CH6,PUBLISHED,2006,EMR,AFG,MONTHS1-59,BTSX,,4.4,4.40097,,,
MORT_300,CH6,PUBLISHED,2005,EMR,AFG,MONTHS1-59,BTSX,,3,2.95776,,,
MORT_300,CH6,PUBLISHED,2008,AFR,AGO,MONTHS1-59,BTSX,,0.3,0.27231,,,
MORT_300,CH6,PUBLISHED,2001,AFR,AGO,MONTHS1-59,BTSX,,3.5,3.46095,,,
MORT_300,CH6,PUBLISHED,2000,AFR,AGO,MONTHS1-59,BTSX,,1,1.02592,,,
MORT_300,CH6,PUBLISHED,2002,AFR,AGO,MONTHS1-59,BTSX,,4.4,4.3609,,,
MORT_300,CH6,PUBLISHED,2010,AFR,AGO,MONTHS1-59,BTSX,,0.3,0.28694,,,
MORT_300,CH6,PUBLISHED,2012,AFR,AGO,MONTHS1-59,BTSX,,1.1,1.11475,,,
MORT_300,CH6,PUBLISHED,2005,AFR,AGO,MONTHS1-59,BTSX,,0.3,0.25157,,,
MORT_300,CH6,PUBLISHED,2007,AFR,AGO,MONTHS1-59,BTSX,,0.3,0.27628,,,
