GHO,GBDCHILDCAUSES,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH6,PUBLISHED,2004,EMR,AFG,MONTHS1-59,BTSX,,0.9,0.85103,,,
MORT_300,CH6,PUBLISHED,2000,EMR,AFG,YEARS0-4,BTSX,,7.8,7.8362,,,
MORT_300,CH6,PUBLISHED,2007,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,EMR,AFG,YEARS0-4,BTSX,,0.6,0.55172,,,
MORT_300,CH6,PUBLISHED,2001,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,EMR,AFG,MONTHS1-59,BTSX,,5.8,5.78525,,,
MORT_300,CH6,PUBLISHED,2005,EMR,AFG,YEARS0-4,BTSX,,1.9,1.92493,,,
MORT_300,CH6,PUBLISHED,2012,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,EMR,AFG,YEARS0-4,BTSX,,3.2,3.19834,,,
MORT_300,CH6,PUBLISHED,2011,EMR,AFG,YEARS0-4,BTSX,,4.2,4.24488,,,
MORT_300,CH6,PUBLISHED,2003,EMR,AFG,MONTHS1-59,BTSX,,0.6,0.55378,,,
MORT_300,CH6,PUBLISHED,2012,EMR,AFG,MONTHS1-59,BTSX,,5,5.04964,,,
MORT_300,CH6,PUBLISHED,2002,EMR,AFG,YEARS0-4,BTSX,,5.1,5.1416,,,
MORT_300,CH6,PUBLISHED,2009,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EMR,AFG,MONTHS1-59,BTSX,,2.9,2.91339,,,
MORT_300,CH6,PUBLISHED,2002,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EMR,AFG,YEARS0-4,BTSX,,2.9,2.87182,,,
MORT_300,CH6,PUBLISHED,2010,EMR,AFG,MONTHS1-59,BTSX,,4.4,4.36098,,,
MORT_300,CH6,PUBLISHED,2000,EMR,AFG,MONTHS1-59,BTSX,,11.7,11.68467,,,
MORT_300,CH6,PUBLISHED,2004,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,EMR,AFG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EMR,AFG,YEARS0-4,BTSX,,3.9,3.93194,,,
MORT_300,CH6,PUBLISHED,2002,EMR,AFG,MONTHS1-59,BTSX,,7.7,7.71906,,,
