country,iso_code,mortality1960,mortality1961,mortality1962,mortality1963,mortality1964,mortality1965,mortality1966,mortality1967,mortality1968,mortality1969,mortality1970,mortality1974,mortality1975,mortality1976,mortality1977,mortality1978,mortality1979,mortality1980
Afghanistan,AFG,,356.5,350.6,345,339.7,334.1,328.7,323.3,318.1,313,307.8,284.9,279.4,273.6,267.8,261.6,255.5,249.1
Albania,ALB,,,,,,,,,,,,,,,,91.1,84.7,78.6
Algeria,DZA,246.3,246.1,246.2,246.8,247.4,248.2,248.7,248.4,247.4,245.3,241.7,214.2,205,195.2,184.9,173.8,161.8,148.1
American Samoa,ASM,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,234.1
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,
Argentina,ARG,,,,,,,,,,73.2,72.4,66.6,63.8,60.2,55.9,51.4,47,43.1
Armenia,ARM,,,,,,,,,,,,,,88.1,84.6,81.2,78,74.9
Aruba,ABW,,,,,,,,,,,,,,,,,,
Australia,AUS,24.9,24.3,23.7,23.2,22.7,22.4,22.1,22,21.9,21.7,21.4,18.4,17.3,16.2,15.3,14.4,13.6,13
Austria,AUT,42.8,40.3,37.9,35.9,34.2,32.8,31.5,30.5,29.8,29.4,29.1,25.1,23.1,21.1,19.4,18.1,17.1,16.3
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,,,,,,,,,29.4,30,30.6,32.2,32.2,31.9,31.5,31,30.5,29.9
Bahrain,BHR,200,183.1,167.2,152.6,138.9,126.3,114.7,104,94.1,85,76.8,51.8,47.4,43.6,40.2,37.2,34.6,32.3
Bangladesh,BGD,264.3,257.5,251.3,245.6,240.4,236,232.3,229.4,227.1,225.4,224.1,219.1,217.1,214.5,211.2,207.4,203.3,198.9
Barbados,BRB,83.6,78,73.2,68.7,64.7,61.3,58.2,55.5,53,50.5,48.1,38.9,36.7,34.6,32.6,30.6,28.9,27.2
Belarus,BLR,,,,,,,,,,,,,,,,,,23.3
Belgium,BEL,33.9,32.4,31.1,30,28.9,27.9,27,26.2,25.5,24.8,23.9,19.6,18.6,17.6,16.7,15.9,15.2,14.5
Belize,BLZ,,,,,,,,109.9,105.5,101.3,97.3,83,79.9,77,74.2,71.4,68.9,66.4
Benin,BEN,314,309.2,303.9,298.2,292.5,286.9,281.4,276.9,272.8,269,265.5,248.3,242.7,237,231.3,226.1,221.5,217.4
Bermuda,BMU,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,278.6,271.5,242.4,235.5,228.4,221.3,214.1,206.9,199.8
Bolivia,BOL,287.1,281.4,276.1,270.8,265.4,260.1,254.5,248.8,243,237.1,231.3,206.4,200.1,193.9,187.9,182.1,176.6,171.6
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,
Botswana,BWA,169.6,164.1,158.9,153.7,148.8,144,139.5,134.9,130.3,125.7,121,101.2,96.1,91.1,86.2,81.6,77.1,72.9
Brazil,BRA,171.9,167.2,162.7,158.4,154.5,150.7,147.2,143.9,140.5,137,133.5,118.9,115.3,111.7,107.9,104,99.7,95.3
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,,,,46.7,45.7,44.9,44.4,43.9,42.7,40.8,38.8,34.9,34.3,33.5,32.5,31.3,30,28.7
Burkina Faso,BFA,347.6,343.1,338.7,334.5,331,328,325.2,322.9,321.4,320.1,319.1,299.2,288.5,277,265.7,255.8,247.8,241.2
Burundi,BDI,,,,,241.6,243,244.5,245.8,246.7,247.3,247.6,246.9,246.5,245,242,236.9,230.2,221.8
Cabo Verde,CPV,,,,,,,,,,179.2,164.5,118,109.4,102.2,96.1,91.3,87.7,85.3
Cambodia,KHM,,,,,,,,,,,,,310,285.6,261.9,235.9,207.8,181.4
Cameroon,CMR,281.6,275.7,271.1,267.2,262.8,257.3,250.4,242,232.3,222.5,213,192,191.1,190.9,190.4,188.7,185.8,181.6
Canada,CAN,32.6,31.6,30.5,29.4,28.2,27.1,26,25,23.9,23,22,18,17,16,15.1,14.2,13.3,12.5
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,283.7,278.1,272.6,266.5,260.4,253.9,247.1,240.7,234.2,228.2,222.5,203.3,199.3,195.7,192.3,189,186.1,183.5
Chad,TCD,,,,,,,,,,,,249.5,248.1,246.7,245.3,243.7,242,240.1
Channel Islands,CHI,,,,,,,,,,,,,,,,,,
Chile,CHL,157.3,148.5,142.3,135.8,126.8,115.9,104.5,94.1,86.2,81.7,79.6,70.6,64.7,57.1,48.8,41.7,36.8,33.2
China,CHN,,,,,,,,,,119.1,113.3,90.9,85.2,79.8,74.6,70,65.9,62.4
Colombia,COL,127.3,124.6,122,119.4,116.7,114,111.1,108,104.6,101.1,97.6,82.8,78.7,74.3,69.9,65.5,61.3,57.4
Comoros,COM,,,,,,,,,,,227.1,207.7,202.7,197.7,192.3,186.8,181.1,175.3
"Congo, Dem. Rep.",ZAR,,,,,,,,,,251.7,248.1,234.2,230.3,226.4,222.7,219,215.4,212
"Congo, Rep.",COG,184.4,180.2,176,172.3,168.3,163.9,159.4,155,150.9,147,143.1,129.3,126.3,123.3,120.5,117.7,114.7,111.9
Costa Rica,CRI,,,,,,88.8,85,82.3,80.4,78.8,76.4,51.8,46.3,40.3,34,28.9,25.6,23.8
Cote d'Ivoire,CIV,311.2,303.4,295.7,288.6,281.4,274.6,267.9,261.2,254.8,248.1,241.4,210,201.1,192.5,184.5,177.4,171.4,166.6
Croatia,HRV,,,,,,,,,,,,,,,,,,
Cuba,CUB,,,,47,45.9,45,44.6,44.6,44.9,45,43.6,30.7,29.4,27.2,24.5,22.3,20.9,20.2
Curacao,CUW,,,,,,,,,,,,,,,,,,
Cyprus,CYP,,,,,,,,,,,,,,,,,22.5,20.8
Czech Republic,CZE,,,,,,,,,,,,,,,,,,
Denmark,DNK,25,24.5,23.8,23,22.1,21.1,20.1,19.1,18.1,17.4,16.6,13.1,12.3,11.6,11.1,10.6,10.3,10
Djibouti,DJI,,,,,,,,,,,,,,174.3,169.4,164.7,160.1,155.8
Dominica,DMA,139,127.2,116.5,107.2,98.9,91.8,85.5,79.9,74.7,69.5,63.9,39.7,34.5,30.1,26.5,23.6,21.4,19.8
Dominican Republic,DOM,147.8,145.9,143.7,141.3,138.6,135.8,132.9,130.1,127.3,124.5,121.6,108.2,104.5,100.9,97.4,94,90.7,87.5
Ecuador,ECU,179.2,174.1,169.2,164.3,159.9,155.6,151.8,148.2,144.9,141.4,138,121.3,116.6,111.8,107.2,102.6,98.3,93.9
"Egypt, Arab Rep.",EGY,312.8,302.9,293.1,283.5,274.8,266.9,260.3,254.8,250.2,246.4,242.9,222.9,214.7,205.7,196.2,186.6,177,167.6
El Salvador,SLV,186.9,183.3,179.6,176,172.7,169.5,166.4,163.5,160.7,158,155.1,141.7,137.4,132.7,127.8,122.4,116.7,110.7
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,
Eritrea,ERI,,,,,,,,,,,,213.1,208.8,204.7,200.8,197.1,193.9,191
Estonia,EST,,,,,,,,,,,,,,,,,,27.1
Ethiopia,ETH,,,,,,,242,241.5,241,241.2,241.1,241,241.5,242.1,242.7,243,242.8,241.6
Faeroe Islands,FRO,,,,,,,,,,,,,,,,,,
Fiji,FJI,71.8,68.7,66,63.8,61.7,60,58.5,57.3,56.4,55.8,55.3,53.6,52.8,51.6,50,48.2,46.1,44
Finland,FIN,26.8,25.2,23.8,22.5,21.3,20.2,19.3,18.4,17.6,16.9,16.1,13.1,12.2,11.4,10.6,9.9,9.2,8.7
France,FRA,28.5,27,25.7,24.5,23.4,22.3,21.4,20.6,19.9,19.1,18.2,15.4,15,14.5,13.9,13.3,12.8,12.4
French Polynesia,PYF,,,,,,,,,,,,,,,,,,
Gabon,GAB,,,,,,,,,,,,,,,,125.9,121.6,117.3
"Gambia, The",GMB,362.4,356.3,350.3,344.1,338.3,332.4,326.5,320.5,314.6,308.8,302.6,276.9,270.4,263.9,257.5,251.2,244.9,238.5
Georgia,GEO,,,,,,,,,,,,,68.6,66.3,64.3,62.3,60.2,58.3
Germany,DEU,,,,,,,,,27.2,26.4,25.7,22,20.8,19.5,18.3,17.1,16,15
Ghana,GHA,210.9,208.6,206.7,205,203.8,203.1,202.9,202.7,202.8,202.5,201.9,191,185.9,180.7,175.8,171.6,168.4,166.2
Greece,GRC,55.8,54.4,52.8,51,49.3,47.8,46.3,44.6,42.4,40,37.6,32.4,31.4,30.1,28.5,26.9,25.1,23.5
Greenland,GRL,,,,,,,,,,,,,,,,,,
Grenada,GRD,,,,,,,,,,,,,,,,,,
Guam,GUM,,,,,,,,,,,,,,,,,,
Guatemala,GTM,218.5,214.1,209.9,205.7,201.5,197.1,192.8,188.3,183.8,179,174.1,154,149,144.1,139.2,134.4,129.6,124.8
Guinea,GIN,,351.3,349,346.8,344.3,341.9,339,336.2,333.3,330.2,327.2,313.9,310.1,305.9,301.4,296.7,291.9,286.9
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,
Guyana,GUY,93.3,89.2,85.7,82.8,80.4,78.5,77,75.9,74.9,74.3,73.9,73,72.7,72.4,72,71.5,71,70.4
Haiti,HTI,291.4,286.6,281.9,277.3,273,268.5,263.9,259.2,254.6,249.9,245.1,224,218.4,213,207.5,202.2,196.9,191.9
Honduras,HND,210.2,203.4,196.8,190.3,184.2,177.8,171.6,165.6,159.6,153.7,147.9,125.7,120.5,115.3,110.3,105.3,100.4,95.7
"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,
Hungary,HUN,58.9,56.1,54.4,52.7,50.8,48.9,47.4,46.2,45,43.7,42.7,41.2,39.2,35.9,32.3,29.4,27.5,26.2
Iceland,ISL,21.4,21.1,20.7,20.2,19.7,19.1,18.5,17.8,17.1,16.5,15.8,13.4,12.8,12.2,11.5,10.9,10.3,9.8
India,IND,247.7,243.7,240,236.3,232.9,229.6,226.3,223.1,219.8,216.6,213.3,197.9,193.4,188.6,183.4,178.2,172.8,167.6
Indonesia,IDN,222.4,216.5,210.7,205.1,199.5,193.9,188.2,182.5,176.8,171.1,165.6,145.3,140.8,136.5,132.4,128.5,124.8,121.1
"Iran, Islamic Rep.",IRN,,,,,,,,,,,,162,153.7,145.2,136.4,127.4,118.5,109.9
Iraq,IRQ,195.7,184.5,174.2,164.6,155.8,147.7,140.1,133.2,126.7,120.6,115,95.2,90.8,86.8,83,79.5,76.3,73.3
Ireland,IRL,35.3,33.9,32.5,31.3,30.1,28.6,27,25.5,24.1,23,22.2,20.6,20,19.1,18,16.8,15.5,14.3
Isle of Man,IMY,,,,,,,,,,,,,,,,,,
Israel,ISR,,,,,,,,,,,,29.2,26.2,23.8,21.8,20.2,19,18
Italy,ITA,52,49.8,47.6,45.4,43.1,41.1,39.3,37.8,36.4,35.1,33.6,25.3,23.1,21.1,19.5,18.1,17,16.1
Jamaica,JAM,84.4,80.8,77.5,74.5,71.8,69.2,66.8,64.5,62.3,60,57.8,49.3,47.6,46,44.5,43.1,41.9,40.7
Japan,JPN,39.7,36.2,32.8,29.7,27,24.6,22.6,21,19.6,18.5,17.5,14.1,13.3,12.5,11.8,11.1,10.5,9.9
Jordan,JOR,156.4,147.3,138.8,131,123.8,117.1,110.9,105.1,99.7,94.7,90.1,74.1,70.6,67.3,64.2,61.3,58.5,55.9
Kazakhstan,KAZ,,,,,,,,,,,,79.3,77.8,76.4,75,73.6,72,70.2
Kenya,KEN,199.2,190.6,183.1,176.7,171.2,166.6,162.6,159,155.5,152,148.3,133.1,129,124.8,120.5,116.3,112.4,108.7
