iso_code,country,vaxspending1998,vaxspending1999,vaxspending2000,vaxspending2001,vaxspending2002,vaxspending2003,vaxspending2004,vaxspending2005,vaxspending2006,vaxspending2007,vaxspending2008,vaxspending2009,vaxspending2010,vaxspending2011,vaxspending2012,vaxspending2013,vaxspending2014
AFG,Afghanistan,0%,0%,0%,0%,0%,0%,0%,0%,,,,3%,2%,3%,5%,6%,5%
ALB,Albania,40%,10%,40%,50%,70%,75%,70%,75%,100%,100%,100%,100%,100%,100%,100%,100%,100%
DZA,Algeria,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
AND,Andorra,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
AGO,Angola,0%,0%,0%,13%,13%,14%,43%,50%,67%,18%,59%,100%,29%,34%,100%,55%,64%
ATG,Antigua and Barbuda,100%,100%,100%,100%,100%,100%,100%,100%,100%,,100%,100%,,,100%,,
ARG,Argentina,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,100%,100%,100%,59%,75%
ARM,Armenia,7%,7%,10%,5%,10%,10%,15%,15%,30%,33%,49%,60%,75%,85%,65%,,
AUS,Australia,100%,100%,100%,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,100%,100%,100%
AUT,Austria,0%,0%,100%,100%,100%,100%,100%,100%,88%,88%,83%,83%,,,,,
AZE,Azerbaijan,0%,0%,40%,50%,50%,60%,62%,68%,70%,72%,74%,100%,78%,78%,88%,87%,43%
BHS,Bahamas,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
BHR,Bahrain,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
BGD,Bangladesh,100%,100%,100%,100%,86%,90%,100%,16%,63%,60%,85%,30%,29%,30%,37%,30%,56%
BRB,Barbados,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,,,100%
BLR,Belarus,78%,94%,100%,100%,98%,100%,100%,100%,100%,100%,75%,75%,,,47%,65%,21%
BEL,Belgium,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,
BLZ,Belize,100%,100%,100%,100%,100%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
