GHO,GBDCHILDCAUSES,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_100,CH4,PUBLISHED,2013,EMR,AFG,YEARS0-4,BTSX,,1214,1214.386,,,
MORT_300,CH4,PUBLISHED,2009,EMR,AFG,MONTHS1-59,BTSX,,1.7,1.69287,,,
MORT_200,CH4,PUBLISHED,2010,EMR,AFG,YEARS0-4,BTSX,,1.2,1.23129,,,
MORT_100,CH4,PUBLISHED,2011,EMR,AFG,DAYS0-27,BTSX,,56,56,,,
MORT_200,CH4,PUBLISHED,2003,EMR,AFG,DAYS0-27,BTSX,,0.1,0.059,,,
MORT_200,CH4,PUBLISHED,2004,EMR,AFG,DAYS0-27,BTSX,,0.1,0.05659,,,
MORT_300,CH4,PUBLISHED,2007,EMR,AFG,DAYS0-27,BTSX,,0.1,0.13387,,,
MORT_100,CH4,PUBLISHED,2003,EMR,AFG,YEARS0-4,BTSX,,1547,1547.069,,,
MORT_100,CH4,PUBLISHED,2007,EMR,AFG,MONTHS1-59,BTSX,,1335,1335.483,,,
MORT_100,CH4,PUBLISHED,2005,EMR,AFG,DAYS0-27,BTSX,,59,59,,,
MORT_200,CH4,PUBLISHED,2011,EMR,AFG,YEARS0-4,BTSX,,1.2,1.21887,,,
MORT_100,CH4,PUBLISHED,2004,EMR,AFG,DAYS0-27,BTSX,,61,61,,,
MORT_200,CH4,PUBLISHED,2009,EMR,AFG,YEARS0-4,BTSX,,1.3,1.25384,,,
MORT_300,CH4,PUBLISHED,2001,EMR,AFG,DAYS0-27,BTSX,,0.1,0.13935,,,
MORT_200,CH4,PUBLISHED,2002,EMR,AFG,DAYS0-27,BTSX,,0.1,0.05981,,,
MORT_300,CH4,PUBLISHED,2005,EMR,AFG,YEARS0-4,BTSX,,1.1,1.13703,,,
MORT_300,CH4,PUBLISHED,2003,EMR,AFG,MONTHS1-59,BTSX,,1.8,1.77818,,,
MORT_100,CH4,PUBLISHED,2008,EMR,AFG,YEARS0-4,BTSX,,1367,1366.752,,,
MORT_200,CH4,PUBLISHED,2006,EMR,AFG,DAYS0-27,BTSX,,0.1,0.05419,,,
MORT_300,CH4,PUBLISHED,2013,EMR,AFG,DAYS0-27,BTSX,,0.1,0.14375,,,
MORT_300,CH4,PUBLISHED,2011,EMR,AFG,YEARS0-4,BTSX,,1.2,1.16373,,,
MORT_200,CH4,PUBLISHED,2008,EMR,AFG,YEARS0-4,BTSX,,1.3,1.25382,,,
MORT_100,CH4,PUBLISHED,2009,EMR,AFG,YEARS0-4,BTSX,,1360,1360.06,,,
MORT_100,CH4,PUBLISHED,2010,EMR,AFG,DAYS0-27,BTSX,,57,57,,,
MORT_200,CH4,PUBLISHED,2005,EMR,AFG,DAYS0-27,BTSX,,0.1,0.0545,,,
MORT_300,CH4,PUBLISHED,2012,EMR,AFG,DAYS0-27,BTSX,,0.1,0.14141,,,
MORT_300,CH4,PUBLISHED,2000,EMR,AFG,DAYS0-27,BTSX,,0.1,0.14182,,,
MORT_200,CH4,PUBLISHED,2012,EMR,AFG,YEARS0-4,BTSX,,1.2,1.20116,,,
MORT_300,CH4,PUBLISHED,2008,EMR,AFG,MONTHS1-59,BTSX,,1.7,1.6969,,,
MORT_200,CH4,PUBLISHED,2001,EMR,AFG,MONTHS1-59,BTSX,,1.4,1.43319,,,
MORT_100,CH4,PUBLISHED,2009,EMR,AFG,DAYS0-27,BTSX,,58,58,,,
MORT_200,CH4,PUBLISHED,2007,EMR,AFG,DAYS0-27,BTSX,,0.1,0.05315,,,
MORT_300,CH4,PUBLISHED,2011,EMR,AFG,DAYS0-27,BTSX,,0.1,0.14132,,,
MORT_200,CH4,PUBLISHED,2002,EMR,AFG,MONTHS1-59,BTSX,,1.4,1.41166,,,
MORT_200,CH4,PUBLISHED,2008,EMR,AFG,DAYS0-27,BTSX,,0.1,0.05321,,,
MORT_200,CH4,PUBLISHED,2010,EMR,AFG,DAYS0-27,BTSX,,0.1,0.05302,,,
MORT_300,CH4,PUBLISHED,2009,EMR,AFG,YEARS0-4,BTSX,,1.1,1.14498,,,
MORT_100,CH4,PUBLISHED,2006,EMR,AFG,MONTHS1-59,BTSX,,1373,1372.681,,,
MORT_100,CH4,PUBLISHED,2007,EMR,AFG,YEARS0-4,BTSX,,1393,1393.483,,,
MORT_100,CH4,PUBLISHED,2002,EMR,AFG,YEARS0-4,BTSX,,1550,1549.855,,,
MORT_300,CH4,PUBLISHED,2004,EMR,AFG,DAYS0-27,BTSX,,0.1,0.13603,,,
MORT_100,CH4,PUBLISHED,2002,EMR,AFG,DAYS0-27,BTSX,,63,63,,,
MORT_100,CH4,PUBLISHED,2012,EMR,AFG,MONTHS1-59,BTSX,,1189,1189.031,,,
MORT_100,CH4,PUBLISHED,2013,EMR,AFG,DAYS0-27,BTSX,,53,52.86626,,,
MORT_100,CH4,PUBLISHED,2005,EMR,AFG,MONTHS1-59,BTSX,,1386,1386.188,,,
MORT_100,CH4,PUBLISHED,2003,EMR,AFG,DAYS0-27,BTSX,,63,63,,,
MORT_300,CH4,PUBLISHED,2003,EMR,AFG,YEARS0-4,BTSX,,1.2,1.20274,,,
MORT_200,CH4,PUBLISHED,2012,EMR,AFG,DAYS0-27,BTSX,,0.1,0.05218,,,
MORT_100,CH4,PUBLISHED,2000,EMR,AFG,YEARS0-4,BTSX,,1568,1567.523,,,
MORT_300,CH4,PUBLISHED,2002,EMR,AFG,YEARS0-4,BTSX,,1.1,1.14266,,,
MORT_200,CH4,PUBLISHED,2013,EMR,AFG,DAYS0-27,BTSX,,0.1,0.05218,,,
MORT_100,CH4,PUBLISHED,2010,EMR,AFG,MONTHS1-59,BTSX,,1267,1266.841,,,
MORT_300,CH4,PUBLISHED,2012,EMR,AFG,MONTHS1-59,BTSX,,1.8,1.80236,,,
MORT_200,CH4,PUBLISHED,2007,EMR,AFG,MONTHS1-59,BTSX,,1.2,1.22374,,,
MORT_300,CH4,PUBLISHED,2008,EMR,AFG,YEARS0-4,BTSX,,1.1,1.14136,,,
MORT_100,CH4,PUBLISHED,2011,EMR,AFG,YEARS0-4,BTSX,,1288,1287.969,,,
MORT_100,CH4,PUBLISHED,2009,EMR,AFG,MONTHS1-59,BTSX,,1302,1302.06,,,
MORT_300,CH4,PUBLISHED,2005,EMR,AFG,MONTHS1-59,BTSX,,1.7,1.67579,,,
MORT_200,CH4,PUBLISHED,2000,EMR,AFG,YEARS0-4,BTSX,,1.5,1.53526,,,
MORT_300,CH4,PUBLISHED,2001,EMR,AFG,YEARS0-4,BTSX,,1.1,1.0902,,,
MORT_100,CH4,PUBLISHED,2002,EMR,AFG,MONTHS1-59,BTSX,,1487,1486.855,,,
MORT_200,CH4,PUBLISHED,2010,EMR,AFG,MONTHS1-59,BTSX,,1.2,1.17828,,,
MORT_200,CH4,PUBLISHED,2012,EMR,AFG,MONTHS1-59,BTSX,,1.1,1.14898,,,
MORT_200,CH4,PUBLISHED,2006,EMR,AFG,YEARS0-4,BTSX,,1.3,1.31494,,,
MORT_200,CH4,PUBLISHED,2007,EMR,AFG,YEARS0-4,BTSX,,1.3,1.27689,,,
MORT_300,CH4,PUBLISHED,2004,EMR,AFG,MONTHS1-59,BTSX,,1.7,1.74237,,,
MORT_300,CH4,PUBLISHED,2012,EMR,AFG,YEARS0-4,BTSX,,1.2,1.19342,,,
MORT_100,CH4,PUBLISHED,2012,EMR,AFG,YEARS0-4,BTSX,,1243,1243.031,,,
MORT_200,CH4,PUBLISHED,2009,EMR,AFG,MONTHS1-59,BTSX,,1.2,1.20037,,,
MORT_300,CH4,PUBLISHED,2009,EMR,AFG,DAYS0-27,BTSX,,0.1,0.13852,,,
MORT_300,CH4,PUBLISHED,2011,EMR,AFG,MONTHS1-59,BTSX,,1.7,1.73395,,,
