year,region,code,AGEGROUP,SEX,Display Value,Numeric
2007,EMR,AFG,DAYS0-27,BTSX,0.1,0.13387
2001,EMR,AFG,DAYS0-27,BTSX,0.1,0.13935
2013,EMR,AFG,DAYS0-27,BTSX,0.1,0.14375
2012,EMR,AFG,DAYS0-27,BTSX,0.1,0.14141
2000,EMR,AFG,DAYS0-27,BTSX,0.1,0.14182
2011,EMR,AFG,DAYS0-27,BTSX,0.1,0.14132
2004,EMR,AFG,DAYS0-27,BTSX,0.1,0.13603
2009,EMR,AFG,DAYS0-27,BTSX,0.1,0.13852
2003,EMR,AFG,DAYS0-27,BTSX,0.1,0.13948
2005,EMR,AFG,DAYS0-27,BTSX,0.1,0.13293
2008,EMR,AFG,DAYS0-27,BTSX,0.1,0.13608
2006,EMR,AFG,DAYS0-27,BTSX,0.1,0.13446
2002,EMR,AFG,DAYS0-27,BTSX,0.1,0.1391
2010,EMR,AFG,DAYS0-27,BTSX,0.1,0.13915
2005,AFR,AGO,DAYS0-27,BTSX,0.1,0.10941
2009,AFR,AGO,DAYS0-27,BTSX,0.1,0.10074
2010,AFR,AGO,DAYS0-27,BTSX,0.1,0.09364
2004,AFR,AGO,DAYS0-27,BTSX,0.1,0.10748
2002,AFR,AGO,DAYS0-27,BTSX,0.1,0.10602
2001,AFR,AGO,DAYS0-27,BTSX,0.1,0.10931
2006,AFR,AGO,DAYS0-27,BTSX,0.1,0.10968
2003,AFR,AGO,DAYS0-27,BTSX,0.1,0.10796
2008,AFR,AGO,DAYS0-27,BTSX,0.1,0.09475
2011,AFR,AGO,DAYS0-27,BTSX,0.1,0.09876
2007,AFR,AGO,DAYS0-27,BTSX,0.1,0.09601
2013,AFR,AGO,DAYS0-27,BTSX,0.1,0.09902
2012,AFR,AGO,DAYS0-27,BTSX,0.1,0.09735
2000,AFR,AGO,DAYS0-27,BTSX,0.1,0.11481
2004,EUR,ALB,DAYS0-27,BTSX,0,0
2010,EUR,ALB,DAYS0-27,BTSX,0,0
2003,EUR,ALB,DAYS0-27,BTSX,0,0
2009,EUR,ALB,DAYS0-27,BTSX,0,0
2000,EUR,ALB,DAYS0-27,BTSX,0,0
2001,EUR,ALB,DAYS0-27,BTSX,0,0
2005,EUR,ALB,DAYS0-27,BTSX,0,0
2013,EUR,ALB,DAYS0-27,BTSX,0,0
2007,EUR,ALB,DAYS0-27,BTSX,0,0
2008,EUR,ALB,DAYS0-27,BTSX,0,0
2011,EUR,ALB,DAYS0-27,BTSX,0,0
2002,EUR,ALB,DAYS0-27,BTSX,0,0
2006,EUR,ALB,DAYS0-27,BTSX,0,0
2012,EUR,ALB,DAYS0-27,BTSX,0,0
2008,EUR,AND,DAYS0-27,BTSX,0,0
2001,EUR,AND,DAYS0-27,BTSX,0,0
2007,EUR,AND,DAYS0-27,BTSX,0,0
2002,EUR,AND,DAYS0-27,BTSX,0,0
2012,EUR,AND,DAYS0-27,BTSX,0,0
2013,EUR,AND,DAYS0-27,BTSX,0,0
2004,EUR,AND,DAYS0-27,BTSX,0,0
2006,EUR,AND,DAYS0-27,BTSX,0,0
2000,EUR,AND,DAYS0-27,BTSX,0,0
2009,EUR,AND,DAYS0-27,BTSX,0,0
2005,EUR,AND,DAYS0-27,BTSX,0,0
2011,EUR,AND,DAYS0-27,BTSX,0,0
2010,EUR,AND,DAYS0-27,BTSX,0,0
2003,EUR,AND,DAYS0-27,BTSX,0,0
2013,EMR,ARE,DAYS0-27,BTSX,0,0
2006,EMR,ARE,DAYS0-27,BTSX,0,0
2012,EMR,ARE,DAYS0-27,BTSX,0,0
2000,EMR,ARE,DAYS0-27,BTSX,0,0
2010,EMR,ARE,DAYS0-27,BTSX,0.1,0.14728
2005,EMR,ARE,DAYS0-27,BTSX,0,0
2003,EMR,ARE,DAYS0-27,BTSX,0,0
2009,EMR,ARE,DAYS0-27,BTSX,0.2,0.15385
2008,EMR,ARE,DAYS0-27,BTSX,0.2,0.17182
2002,EMR,ARE,DAYS0-27,BTSX,0,0
2007,EMR,ARE,DAYS0-27,BTSX,0,0
2004,EMR,ARE,DAYS0-27,BTSX,0,0
2011,EMR,ARE,DAYS0-27,BTSX,0.1,0.13947
2001,EMR,ARE,DAYS0-27,BTSX,0,0
2011,AMR,ARG,DAYS0-27,BTSX,0,0.00578
2005,AMR,ARG,DAYS0-27,BTSX,0,0
2003,AMR,ARG,DAYS0-27,BTSX,0,0.01372
2004,AMR,ARG,DAYS0-27,BTSX,0,0
2009,AMR,ARG,DAYS0-27,BTSX,0,0
2013,AMR,ARG,DAYS0-27,BTSX,0,0.00577
2000,AMR,ARG,DAYS0-27,BTSX,0,0
2008,AMR,ARG,DAYS0-27,BTSX,0,0.01648
2007,AMR,ARG,DAYS0-27,BTSX,0,0
2001,AMR,ARG,DAYS0-27,BTSX,0,0
2012,AMR,ARG,DAYS0-27,BTSX,0,0.00577
2002,AMR,ARG,DAYS0-27,BTSX,0,0.01283
2010,AMR,ARG,DAYS0-27,BTSX,0,0
2006,AMR,ARG,DAYS0-27,BTSX,0,0
2003,EUR,ARM,DAYS0-27,BTSX,0,0
2009,EUR,ARM,DAYS0-27,BTSX,0,0
2001,EUR,ARM,DAYS0-27,BTSX,0,0
2002,EUR,ARM,DAYS0-27,BTSX,0,0
2012,EUR,ARM,DAYS0-27,BTSX,0,0
2005,EUR,ARM,DAYS0-27,BTSX,0,0
2011,EUR,ARM,DAYS0-27,BTSX,0,0
2006,EUR,ARM,DAYS0-27,BTSX,0,0
2004,EUR,ARM,DAYS0-27,BTSX,0,0
2013,EUR,ARM,DAYS0-27,BTSX,0,0
2008,EUR,ARM,DAYS0-27,BTSX,0,0
2007,EUR,ARM,DAYS0-27,BTSX,0,0
2000,EUR,ARM,DAYS0-27,BTSX,0,0
2010,EUR,ARM,DAYS0-27,BTSX,0,0
2007,AMR,ATG,DAYS0-27,BTSX,0,0
2001,AMR,ATG,DAYS0-27,BTSX,0,0
2013,AMR,ATG,DAYS0-27,BTSX,0,0
2000,AMR,ATG,DAYS0-27,BTSX,0,0
2006,AMR,ATG,DAYS0-27,BTSX,0,0
2011,AMR,ATG,DAYS0-27,BTSX,0,0
2010,AMR,ATG,DAYS0-27,BTSX,0,0
2003,AMR,ATG,DAYS0-27,BTSX,0,0
2004,AMR,ATG,DAYS0-27,BTSX,0,0
2009,AMR,ATG,DAYS0-27,BTSX,0,0
2008,AMR,ATG,DAYS0-27,BTSX,0,0
2002,AMR,ATG,DAYS0-27,BTSX,0,0
2012,AMR,ATG,DAYS0-27,BTSX,0,0
2005,AMR,ATG,DAYS0-27,BTSX,0,0
2000,WPR,AUS,DAYS0-27,BTSX,0,0
2011,WPR,AUS,DAYS0-27,BTSX,0.1,0.12534
2005,WPR,AUS,DAYS0-27,BTSX,0,0.01991
2006,WPR,AUS,DAYS0-27,BTSX,0,0
2004,WPR,AUS,DAYS0-27,BTSX,0,0
2009,WPR,AUS,DAYS0-27,BTSX,0,0
2010,WPR,AUS,DAYS0-27,BTSX,0.1,0.12071
2008,WPR,AUS,DAYS0-27,BTSX,0,0
2012,WPR,AUS,DAYS0-27,BTSX,0.1,0.07748
2001,WPR,AUS,DAYS0-27,BTSX,0.1,0.11451
2003,WPR,AUS,DAYS0-27,BTSX,0,0
2002,WPR,AUS,DAYS0-27,BTSX,0.1,0.12183
2007,WPR,AUS,DAYS0-27,BTSX,0,0
2013,WPR,AUS,DAYS0-27,BTSX,0.1,0.07748
2010,EUR,AUT,DAYS0-27,BTSX,0,0
2004,EUR,AUT,DAYS0-27,BTSX,0,0
2009,EUR,AUT,DAYS0-27,BTSX,0,0
2003,EUR,AUT,DAYS0-27,BTSX,0,0
2008,EUR,AUT,DAYS0-27,BTSX,0,0
2002,EUR,AUT,DAYS0-27,BTSX,0,0
2006,EUR,AUT,DAYS0-27,BTSX,0,0
2005,EUR,AUT,DAYS0-27,BTSX,0,0
2000,EUR,AUT,DAYS0-27,BTSX,0,0
2001,EUR,AUT,DAYS0-27,BTSX,0,0
2007,EUR,AUT,DAYS0-27,BTSX,0,0
2012,EUR,AUT,DAYS0-27,BTSX,0,0
2013,EUR,AUT,DAYS0-27,BTSX,0,0
2011,EUR,AUT,DAYS0-27,BTSX,0,0
2008,EUR,AZE,DAYS0-27,BTSX,0.1,0.06961
2002,EUR,AZE,DAYS0-27,BTSX,0,0.03319
2007,EUR,AZE,DAYS0-27,BTSX,0.1,0.07015
2011,EUR,AZE,DAYS0-27,BTSX,0.1,0.07047
2004,EUR,AZE,DAYS0-27,BTSX,0,0.03509
2005,EUR,AZE,DAYS0-27,BTSX,0,0.03534
2003,EUR,AZE,DAYS0-27,BTSX,0,0.03433
2013,EUR,AZE,DAYS0-27,BTSX,0.1,0.07352
2000,EUR,AZE,DAYS0-27,BTSX,0,0.02906
2009,EUR,AZE,DAYS0-27,BTSX,0.1,0.06959
2001,EUR,AZE,DAYS0-27,BTSX,0,0.03138
2012,EUR,AZE,DAYS0-27,BTSX,0.1,0.07128
2006,EUR,AZE,DAYS0-27,BTSX,0,0.03544
2010,EUR,AZE,DAYS0-27,BTSX,0.1,0.06991
2013,AFR,BDI,DAYS0-27,BTSX,0.2,0.15802
2001,AFR,BDI,DAYS0-27,BTSX,0.1,0.12338
2006,AFR,BDI,DAYS0-27,BTSX,0.1,0.13252
2012,AFR,BDI,DAYS0-27,BTSX,0.2,0.15439
2000,AFR,BDI,DAYS0-27,BTSX,0.1,0.11383
2005,AFR,BDI,DAYS0-27,BTSX,0.1,0.12612
2009,AFR,BDI,DAYS0-27,BTSX,0.1,0.14059
2002,AFR,BDI,DAYS0-27,BTSX,0.1,0.12287
2008,AFR,BDI,DAYS0-27,BTSX,0.1,0.14315
2004,AFR,BDI,DAYS0-27,BTSX,0.1,0.12841
2003,AFR,BDI,DAYS0-27,BTSX,0.1,0.12158
2011,AFR,BDI,DAYS0-27,BTSX,0.1,0.14654
2010,AFR,BDI,DAYS0-27,BTSX,0.1,0.14688
2007,AFR,BDI,DAYS0-27,BTSX,0.1,0.12953
2011,EUR,BEL,DAYS0-27,BTSX,0,0
2010,EUR,BEL,DAYS0-27,BTSX,0,0
2004,EUR,BEL,DAYS0-27,BTSX,0,0
2005,EUR,BEL,DAYS0-27,BTSX,0.3,0.32467
2002,EUR,BEL,DAYS0-27,BTSX,0.1,0.08048
2003,EUR,BEL,DAYS0-27,BTSX,0,0
2007,EUR,BEL,DAYS0-27,BTSX,0,0
2008,EUR,BEL,DAYS0-27,BTSX,0,0
2013,EUR,BEL,DAYS0-27,BTSX,0,0
2006,EUR,BEL,DAYS0-27,BTSX,0.3,0.31963
2000,EUR,BEL,DAYS0-27,BTSX,0,0
2009,EUR,BEL,DAYS0-27,BTSX,0,0
2012,EUR,BEL,DAYS0-27,BTSX,0,0
2001,EUR,BEL,DAYS0-27,BTSX,0,0
2009,AFR,BEN,DAYS0-27,BTSX,0.2,0.16769
2003,AFR,BEN,DAYS0-27,BTSX,0.1,0.14953
2008,AFR,BEN,DAYS0-27,BTSX,0.2,0.16613
2007,AFR,BEN,DAYS0-27,BTSX,0.2,0.16479
2002,AFR,BEN,DAYS0-27,BTSX,0.1,0.14015
2012,AFR,BEN,DAYS0-27,BTSX,0.2,0.18324
2000,AFR,BEN,DAYS0-27,BTSX,0.1,0.13234
2013,AFR,BEN,DAYS0-27,BTSX,0.2,0.18733
2005,AFR,BEN,DAYS0-27,BTSX,0.2,0.16065
2011,AFR,BEN,DAYS0-27,BTSX,0.2,0.17115
2004,AFR,BEN,DAYS0-27,BTSX,0.1,0.14988
2001,AFR,BEN,DAYS0-27,BTSX,0.1,0.14091
2006,AFR,BEN,DAYS0-27,BTSX,0.2,0.16274
2010,AFR,BEN,DAYS0-27,BTSX,0.2,0.16937
2006,AFR,BFA,DAYS0-27,BTSX,0.1,0.14253
2005,AFR,BFA,DAYS0-27,BTSX,0.1,0.14093
2001,AFR,BFA,DAYS0-27,BTSX,0.1,0.13866
2013,AFR,BFA,DAYS0-27,BTSX,0.2,0.18137
2011,AFR,BFA,DAYS0-27,BTSX,0.2,0.16819
2010,AFR,BFA,DAYS0-27,BTSX,0.2,0.16431
2009,AFR,BFA,DAYS0-27,BTSX,0.2,0.15613
2002,AFR,BFA,DAYS0-27,BTSX,0.1,0.13717
2008,AFR,BFA,DAYS0-27,BTSX,0.1,0.1476
2000,AFR,BFA,DAYS0-27,BTSX,0.1,0.14084
2007,AFR,BFA,DAYS0-27,BTSX,0.1,0.1447
2003,AFR,BFA,DAYS0-27,BTSX,0.1,0.13124
2012,AFR,BFA,DAYS0-27,BTSX,0.2,0.17613
2004,AFR,BFA,DAYS0-27,BTSX,0.1,0.13583
2000,SEAR,BGD,DAYS0-27,BTSX,0,0.02329
2012,SEAR,BGD,DAYS0-27,BTSX,0,0.03567
2006,SEAR,BGD,DAYS0-27,BTSX,0,0.0274
2011,SEAR,BGD,DAYS0-27,BTSX,0,0.0345
2004,SEAR,BGD,DAYS0-27,BTSX,0,0.02522
2010,SEAR,BGD,DAYS0-27,BTSX,0,0.03308
2009,SEAR,BGD,DAYS0-27,BTSX,0,0.03129
2007,SEAR,BGD,DAYS0-27,BTSX,0,0.02838
2013,SEAR,BGD,DAYS0-27,BTSX,0,0.03714
2003,SEAR,BGD,DAYS0-27,BTSX,0,0.0256
2002,SEAR,BGD,DAYS0-27,BTSX,0,0.02521
2005,SEAR,BGD,DAYS0-27,BTSX,0,0.02668
2001,SEAR,BGD,DAYS0-27,BTSX,0,0.02424
2008,SEAR,BGD,DAYS0-27,BTSX,0,0.03039
2004,EUR,BGR,DAYS0-27,BTSX,0,0
2010,EUR,BGR,DAYS0-27,BTSX,0,0
2009,EUR,BGR,DAYS0-27,BTSX,0,0
2002,EUR,BGR,DAYS0-27,BTSX,0,0
2001,EUR,BGR,DAYS0-27,BTSX,0,0
2008,EUR,BGR,DAYS0-27,BTSX,0,0
2012,EUR,BGR,DAYS0-27,BTSX,0,0
2007,EUR,BGR,DAYS0-27,BTSX,0,0
2005,EUR,BGR,DAYS0-27,BTSX,0,0
2013,EUR,BGR,DAYS0-27,BTSX,0,0
2000,EUR,BGR,DAYS0-27,BTSX,0,0
2003,EUR,BGR,DAYS0-27,BTSX,0,0
2006,EUR,BGR,DAYS0-27,BTSX,0,0
2011,EUR,BGR,DAYS0-27,BTSX,0,0
2007,EMR,BHR,DAYS0-27,BTSX,0,0
2006,EMR,BHR,DAYS0-27,BTSX,0,0
2002,EMR,BHR,DAYS0-27,BTSX,0,0
2008,EMR,BHR,DAYS0-27,BTSX,0,0
2001,EMR,BHR,DAYS0-27,BTSX,0,0
2013,EMR,BHR,DAYS0-27,BTSX,0,0
2010,EMR,BHR,DAYS0-27,BTSX,0,0
2003,EMR,BHR,DAYS0-27,BTSX,0,0
2009,EMR,BHR,DAYS0-27,BTSX,0,0
2011,EMR,BHR,DAYS0-27,BTSX,0,0
2000,EMR,BHR,DAYS0-27,BTSX,0,0
2005,EMR,BHR,DAYS0-27,BTSX,0,0
2004,EMR,BHR,DAYS0-27,BTSX,0,0
2012,EMR,BHR,DAYS0-27,BTSX,0,0
2001,AMR,BHS,DAYS0-27,BTSX,0,0
2007,AMR,BHS,DAYS0-27,BTSX,0,0
2012,AMR,BHS,DAYS0-27,BTSX,0,0
2013,AMR,BHS,DAYS0-27,BTSX,0,0
2000,AMR,BHS,DAYS0-27,BTSX,0,0
2004,AMR,BHS,DAYS0-27,BTSX,0,0
2011,AMR,BHS,DAYS0-27,BTSX,0,0
2010,AMR,BHS,DAYS0-27,BTSX,0,0
2009,AMR,BHS,DAYS0-27,BTSX,0,0
2002,AMR,BHS,DAYS0-27,BTSX,0,0
2008,AMR,BHS,DAYS0-27,BTSX,0,0
2005,AMR,BHS,DAYS0-27,BTSX,0,0
2006,AMR,BHS,DAYS0-27,BTSX,0,0
2003,AMR,BHS,DAYS0-27,BTSX,0,0
2011,EUR,BIH,DAYS0-27,BTSX,0,0
2005,EUR,BIH,DAYS0-27,BTSX,0,0
2009,EUR,BIH,DAYS0-27,BTSX,0,0
2002,EUR,BIH,DAYS0-27,BTSX,0,0
2004,EUR,BIH,DAYS0-27,BTSX,0,0
2010,EUR,BIH,DAYS0-27,BTSX,0,0
2001,EUR,BIH,DAYS0-27,BTSX,0,0
2006,EUR,BIH,DAYS0-27,BTSX,0,0
2012,EUR,BIH,DAYS0-27,BTSX,0,0
2003,EUR,BIH,DAYS0-27,BTSX,0,0
2013,EUR,BIH,DAYS0-27,BTSX,0,0
2007,EUR,BIH,DAYS0-27,BTSX,0,0
2008,EUR,BIH,DAYS0-27,BTSX,0,0
2000,EUR,BIH,DAYS0-27,BTSX,0,0
2003,EUR,BLR,DAYS0-27,BTSX,0.2,0.20619
2009,EUR,BLR,DAYS0-27,BTSX,0.3,0.29412
2007,EUR,BLR,DAYS0-27,BTSX,0,0
2013,EUR,BLR,DAYS0-27,BTSX,0,0
2002,EUR,BLR,DAYS0-27,BTSX,0,0
2000,EUR,BLR,DAYS0-27,BTSX,0,0
2010,EUR,BLR,DAYS0-27,BTSX,0.3,0.3125
2004,EUR,BLR,DAYS0-27,BTSX,0,0
2006,EUR,BLR,DAYS0-27,BTSX,0,0
2011,EUR,BLR,DAYS0-27,BTSX,0.4,0.35336
2008,EUR,BLR,DAYS0-27,BTSX,0.3,0.27473
2001,EUR,BLR,DAYS0-27,BTSX,0,0
2012,EUR,BLR,DAYS0-27,BTSX,0,0
2005,EUR,BLR,DAYS0-27,BTSX,0,0
2008,AMR,BLZ,DAYS0-27,BTSX,0,0
2001,AMR,BLZ,DAYS0-27,BTSX,0,0
2012,AMR,BLZ,DAYS0-27,BTSX,0,0
2006,AMR,BLZ,DAYS0-27,BTSX,0,0
2004,AMR,BLZ,DAYS0-27,BTSX,0,0
2009,AMR,BLZ,DAYS0-27,BTSX,0,0
2000,AMR,BLZ,DAYS0-27,BTSX,0,0
2011,AMR,BLZ,DAYS0-27,BTSX,0,0
2005,AMR,BLZ,DAYS0-27,BTSX,0,0
2013,AMR,BLZ,DAYS0-27,BTSX,0,0
2010,AMR,BLZ,DAYS0-27,BTSX,0,0
2002,AMR,BLZ,DAYS0-27,BTSX,0,0
2007,AMR,BLZ,DAYS0-27,BTSX,0,0
2003,AMR,BLZ,DAYS0-27,BTSX,0,0
2000,AMR,BOL,DAYS0-27,BTSX,0.2,0.17857
2013,AMR,BOL,DAYS0-27,BTSX,0.3,0.29686
2006,AMR,BOL,DAYS0-27,BTSX,0.2,0.22731
2011,AMR,BOL,DAYS0-27,BTSX,0.3,0.26439
2005,AMR,BOL,DAYS0-27,BTSX,0.2,0.21642
2009,AMR,BOL,DAYS0-27,BTSX,0.2,0.24947
2002,AMR,BOL,DAYS0-27,BTSX,0.2,0.18651
2010,AMR,BOL,DAYS0-27,BTSX,0.3,0.2584
2003,AMR,BOL,DAYS0-27,BTSX,0.2,0.19009
2004,AMR,BOL,DAYS0-27,BTSX,0.2,0.20921
2012,AMR,BOL,DAYS0-27,BTSX,0.3,0.28884
2001,AMR,BOL,DAYS0-27,BTSX,0.2,0.18284
2007,AMR,BOL,DAYS0-27,BTSX,0.2,0.24038
2008,AMR,BOL,DAYS0-27,BTSX,0.2,0.23628
2004,AMR,BRA,DAYS0-27,BTSX,0,0
2003,AMR,BRA,DAYS0-27,BTSX,0,0
2008,AMR,BRA,DAYS0-27,BTSX,0,0.01003
2013,AMR,BRA,DAYS0-27,BTSX,0,0.00308
2000,AMR,BRA,DAYS0-27,BTSX,0,0.00255
2011,AMR,BRA,DAYS0-27,BTSX,0,0.00308
2005,AMR,BRA,DAYS0-27,BTSX,0,0
2007,AMR,BRA,DAYS0-27,BTSX,0,0
