country,ISO_code,under14pop1960,under14pop1961,under14pop1962,under14pop1963,under14pop1964,under14pop1965,under14pop1966,under14pop1967,under14pop1968,under14pop1969,under14pop1970,under14pop1971,under14pop1972,under14pop1973,under14pop1974,under14pop1975,under14pop1976,under14pop1977,under14pop1978,under14pop1979,under14pop1980,under14pop1981,under14pop1982,under14pop1983,under14pop1984,under14pop1985,under14pop1986,under14pop1987,under14pop1988,under14pop1989,under14pop1990,under14pop1991,under14pop1992,under14pop1993,under14pop1994,under14pop1995,under14pop1996,under14pop1997,under14pop1998,under14pop1999,under14pop2000,under14pop2001,under14pop2002,under14pop2003,under14pop2004,under14pop2005,under14pop2006,under14pop2007,under14pop2008,under14pop2009,under14pop2010,under14pop2011,under14pop2012,under14pop2013,under14pop2014
Afghanistan,AFG,42.17060915,42.47375189,42.64216849,42.73414988,42.82172903,42.93592642,43.26048659,43.55502189,43.82029267,44.04370336,44.22183351,44.55560987,44.80795938,44.99441631,45.1232194,45.18543897,45.44620013,45.67761235,45.86659439,45.9739873,45.95006953,46.22032461,46.45926846,46.67751166,46.92922818,47.2965732,47.46036546,47.52411639,47.57058161,47.71220305,48.06516971,48.02945007,47.98056546,47.96050369,47.92608579,47.79718876,47.98887986,48.1865108,48.34388174,48.45983543,48.56363891,48.50606103,48.3474557,48.13166959,47.88143329,47.59249897,47.69633351,47.78680697,47.82522849,47.76667769,47.58934443,47.10041772,46.44924313,45.68525707,44.87099615
Albania,ALB,40.15490931,40.54075536,40.89960838,41.21180676,41.43239625,41.53201925,41.64215165,41.60014409,41.43655872,41.19772896,40.90994057,40.54127082,40.17903651,39.79004327,39.32876737,38.78466127,38.29604543,37.71030185,37.08038393,36.48108168,35.94882228,35.46198647,35.03671572,34.65968015,34.31091229,33.98737157,33.71009499,33.47688298,33.26483298,33.02226816,32.69588198,32.81237502,32.85486419,32.81281205,32.73001566,32.65484866,32.12797789,31.66419346,31.23721759,30.78683378,30.26331173,29.63679378,28.92288205,28.1148652,27.23205224,26.29110251,25.25435624,24.2331648,23.22307823,22.2681019,21.42512293,20.6090069,19.92809304,19.38229399,18.9304268
Algeria,DZA,44.53909305,45.03869798,45.67372606,46.32240118,46.81544925,47.08441538,47.34941163,47.35672987,47.19962329,47.01205852,46.85917894,46.84397061,46.84972682,46.85646326,46.82207848,46.7303262,46.73598431,46.66763217,46.54917045,46.41206719,46.27201972,46.18342254,46.04329155,45.86124891,45.63614351,45.36290762,45.08922402,44.75310927,44.3532119,43.88318305,43.33773638,42.76691096,42.12663728,41.40997094,40.6025947,39.69632892,38.75121171,37.69808514,36.56785075,35.41359251,34.27237754,33.06769289,31.94571857,30.9008959,29.93504478,29.07303972,28.39940991,27.88155416,27.51387138,27.28624739,27.19130804,27.3950509,27.61989653,27.8895861,28.20590947
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,44.31307396,44.74176618,45.17497102,45.56037506,45.80467624,45.87360853,46.17333678,46.27186315,46.22821539,46.13170947,46.04007733,46.21043876,46.30723231,46.35643457,46.37259381,46.36810371,46.58966056,46.73812076,46.8342089,46.8980679,46.94691273,47.2064086,47.373611,47.4726452,47.51324469,47.48811442,47.68457755,47.80875646,47.86042623,47.8505113,47.80151098,47.93748316,47.97630106,47.94724101,47.87147202,47.75471518,47.86849545,47.91533291,47.9080063,47.86802587,47.82085206,47.95948876,48.03349486,48.06628206,48.0712324,48.05057148,48.17787611,48.24802372,48.26597547,48.23325692,48.15258789,48.18002637,48.12799132,48.01257683,47.85031685
Antigua and Barbuda,ATG,42.74245167,42.54823746,42.42865515,42.3389346,42.21196581,42.01632776,41.65707521,41.30995774,40.94909459,40.56168069,40.12758341,39.7705689,39.33040696,38.83510857,38.30456631,37.72832946,36.96655298,36.12064423,35.21728031,34.31462872,33.44760387,32.35555556,31.5373459,30.89408164,30.27833032,29.66658554,29.24541444,28.82931132,28.6593751,28.9557345,29.69663684,29.46548741,29.45896522,29.52919776,29.52667168,29.41959648,29.09388569,28.92900653,28.93970838,29.07378914,29.21903977,29.05966672,28.83168812,28.61045189,28.44905651,28.32798401,27.98471252,27.58628861,27.15055653,26.69293163,26.23319157,25.79748616,25.36797314,24.95082514,24.55445545
Argentina,ARG,30.72561693,30.66028148,30.56906337,30.44950604,30.2988404,30.11871309,29.97569923,29.80335817,29.61717099,29.4416011,29.29426787,29.20284792,29.13928729,29.10594165,29.10887537,29.15467176,29.32407045,29.56835459,29.85275687,30.11810206,30.32658031,30.62401961,30.7485217,30.77261353,30.79507583,30.85555159,30.75967386,30.78418052,30.83790277,30.79638238,30.61321294,30.46972458,30.18075481,29.80688115,29.44341812,29.1340335,28.86759602,28.62538098,28.4063376,28.19526789,27.9848267,27.73409202,27.52815078,27.34183645,27.14305367,26.91889086,26.74432837,26.51950394,26.27373776,26.05136529,25.8719558,25.69837882,25.57046614,25.46574259,25.3464272
Armenia,ARM,38.43400114,39.51729853,40.41210287,41.08925357,41.52566749,41.70231102,41.65628615,41.29156692,40.68177405,39.95017037,39.17728978,38.07761962,37.12571838,36.25043614,35.33565034,34.34070037,33.51198874,32.58369719,31.67027301,30.92551183,30.40669858,30.09846196,29.99771053,30.03647183,30.1061751,30.15018506,30.2140049,30.27687736,30.34569181,30.3976041,30.37076533,30.34395509,30.23893049,30.05021556,29.7934949,29.48923313,28.90432262,28.23914188,27.49526335,26.689885,25.860522,24.90153711,24.02550628,23.23683812,22.53007453,21.90269251,21.523829,21.16982032,20.86722516,20.64951782,20.51495936,19.94640133,19.43791489,19.01308472,18.66368124
Aruba,ABW,43.84777155,43.3606927,42.9285384,42.48902058,41.95409353,41.28835425,40.68997782,39.90594153,39.01173247,38.13432327,37.3165157,36.08970692,35.01144547,33.98960806,32.86575795,31.57695161,30.87524138,29.90922042,28.73257246,27.54176531,26.51590788,25.82759589,25.31298905,25.00321523,24.7855358,24.52878086,24.86590895,24.9777634,24.8522357,24.64281033,24.54946257,24.0904941,23.80889573,23.68892935,23.59713168,23.42205513,23.5639161,23.58538041,23.4898483,23.34951238,23.17902661,22.91859539,22.62434865,22.27799825,21.88430455,21.47334326,21.22185857,21.07135095,20.98636301,20.91484578,20.80966958,20.43439021,19.95351245,19.39448703,18.83585812
Australia,AUS,30.18209291,30.2536153,30.15953278,29.96324144,29.76038226,29.60151956,29.46054058,29.34761325,29.27031993,29.18515138,29.03803713,28.77158905,28.5021039,28.21378685,27.87368674,27.46182628,27.17062223,26.702495,26.15352162,25.65198965,25.25762454,24.73375823,24.40244756,24.17463505,23.91452705,23.56746163,23.35228347,23.00209663,22.59800716,22.25905208,22.03054255,21.82516866,21.72763094,21.69047336,21.63422208,21.52310347,21.43360152,21.29896925,21.13725485,20.98135838,20.84089438,20.61933697,20.40244671,20.18993927,19.98219707,19.79041724,19.56978249,19.38405743,19.24256451,19.12514486,19.00765709,18.98132188,18.89149385,18.78329462,18.7116203
Austria,AUT,22.22085408,22.44919328,22.64496663,22.84975948,23.09953785,23.39424842,23.67732051,23.98429518,24.2773358,24.48918502,24.57842116,24.53180911,24.36219741,24.08087986,23.7207106,23.30357684,22.77933031,22.24532385,21.69065094,21.11243289,20.52670506,19.98174829,19.46163353,18.97616638,18.52978318,18.12326114,17.84273829,17.52757847,17.23080953,17.02259348,16.94010215,16.96303988,17.13633245,17.39584173,17.61990771,17.72969533,17.70850976,17.54905894,17.29392113,17.03907641,16.84188966,16.61989655,16.46655242,16.34853238,16.19894971,15.98676018,15.7771231,15.50924013,15.21422703,14.94505321,14.7286709,14.56736992,14.44501593,14.35558448,14.27924145
Azerbaijan,AZE,38.58088314,40.19480761,41.54852794,42.6660228,43.57879484,44.27903302,44.74914967,44.96870717,44.94785575,44.70681474,44.27147867,43.55913598,42.79780597,41.97784559,41.07398645,40.07691881,38.95798102,37.77474991,36.58315544,35.4727528,34.50375487,33.89247297,33.4035282,33.0443983,32.81424759,32.70915495,32.98108989,33.29665249,33.62511097,33.93036769,34.18895551,34.25716319,34.29069162,34.2681187,34.15953454,33.93566896,33.60129348,33.1445965,32.56024681,31.86218882,31.07320977,30.063236,29.04140147,28.01500226,26.99548705,26.01128664,25.14241001,24.31706838,23.6004931,23.06882432,22.7374212,22.28891168,22.1098551,22.0799356,22.0364351
"Bahamas, The",BHS,42.38993481,42.43058693,42.5683209,42.79790467,43.0600537,43.28128012,43.05771911,42.75754061,42.46197101,42.25814307,42.15498713,41.42476721,41.07644902,40.92975332,40.72999562,40.35747186,39.94245872,39.19073854,38.28128489,37.49405449,36.95813159,36.17388721,35.80161162,35.64402602,35.41579716,34.98534199,34.72851814,34.153276,33.42448379,32.8109428,32.43452005,31.96383231,31.8141681,31.81789685,31.71041997,31.36879754,31.20560129,30.78322322,30.21265006,29.69016119,29.30669272,28.48768548,27.76983537,27.09203596,26.37541507,25.59841819,25.16103287,24.67400419,24.05970389,23.32234061,22.53498878,22.2087693,21.79098145,21.39206703,21.0988529
Bahrain,BHR,41.27605369,42.52578547,43.6036671,44.70816858,45.8823465,46.9602024,46.41415774,45.92233554,45.51014416,45.12299667,44.70910644,43.89197855,42.75092775,41.50254315,40.3801078,39.49288677,38.16828317,37.06551993,36.15611216,35.34094257,34.55857428,34.11533578,33.84298484,33.69328056,33.6127871,33.55355546,33.57124896,33.43051355,33.24062033,33.01796203,32.699458,32.44299073,31.99916595,31.43373431,30.82194151,30.25845706,30.16823171,30.02054082,30.04494753,30.3056308,30.70352625,29.58110098,28.63137869,27.89080811,27.29591616,26.76669581,24.80920655,23.13446357,21.74287514,20.60940495,19.70437296,20.09894228,20.46855937,20.85114645,21.21078176
