iso_code,year,year,preprimaryenroll
MNE,2011,2011,36.17333
MNE,2012,2012,44.79539
MNE,2015,2015,55.22828
GNB,2000,2000,2.6163
GNB,2010,2010,4.27061
EGY,1999,1999,9.31854
EGY,2000,2000,10.2663
EGY,2001,2001,11.93369
EGY,2002,2002,12.17778
EGY,2003,2003,13.25528
EGY,2005,2005,16.43447
EGY,2006,2006,17.56229
EGY,2007,2007,17.09274
EGY,2009,2009,20.84797
EGY,2011,2011,21.76541
EGY,2012,2012,20.94665
CMR,2007,2007,12.86585
CMR,2008,2008,15.58123
CMR,2009,2009,16.49882
CMR,2010,2010,17.87852
CMR,2011,2011,18.47971
CMR,2012,2012,21.04511
CMR,2014,2014,24.63273
PRI,2010,2010,78.2548
PRI,2011,2011,82.65473
PRI,2012,2012,70.6493
PRI,2013,2013,61.31866
KWT,1999,1999,68.51106
KWT,2000,2000,71.27401
KWT,2001,2001,71.8088
KWT,2002,2002,70.5521
KWT,2003,2003,66.8077
KWT,2004,2004,63.25024
KWT,2005,2005,58.38366
KWT,2006,2006,60.62851
KWT,2007,2007,64.89039
KWT,2008,2008,68.50456
KWT,2010,2010,68.94303
KWT,2011,2011,67.41508
BEL,1999,1999,95.49745
BEL,2000,2000,95.1769
BEL,2001,2001,96.82847
BEL,2002,2002,98.47096
BEL,2003,2003,99.65153
BEL,2004,2004,99.60828
BEL,2005,2005,99.5414
BEL,2006,2006,99.65293
BEL,2007,2007,99.40357
BEL,2008,2008,98.96874
BEL,2009,2009,99.01417
BEL,2010,2010,99.27644
BEL,2011,2011,99.29133
BEL,2012,2012,99.53506
BEL,2013,2013,99.72063
URY,2005,2005,70.54784
URY,2006,2006,78.93107
URY,2007,2007,71.70086
URY,2008,2008,74.78301
URY,2009,2009,77.96892
URY,2010,2010,77.5311
PRT,1999,1999,67.29032
PRT,2000,2000,71.42472
PRT,2001,2001,72.91662
PRT,2003,2003,76.94562
PRT,2004,2004,77.93881
PRT,2005,2005,79.165
PRT,2006,2006,79.85189
PRT,2007,2007,79.53751
PRT,2008,2008,80.84036
PRT,2009,2009,84.24056
PRT,2010,2010,87.24031
PRT,2011,2011,90.33261
PRT,2012,2012,90.9628
PRT,2013,2013,90.11579
ISR,1999,1999,85.08816
ISR,2000,2000,84.37764
ISR,2001,2001,90.15921
ISR,2002,2002,91.58647
ISR,2003,2003,96.59574
ISR,2004,2004,89.04439
ISR,2005,2005,86.25716
ISR,2006,2006,86.39056
ISR,2007,2007,94.19645
ISR,2008,2008,93.42105
ISR,2009,2009,93.65026
ISR,2010,2010,92.55924
ISR,2011,2011,97.93258
ISR,2012,2012,97.04607
BLZ,1999,1999,24.97488
BLZ,2000,2000,25.69049
BLZ,2001,2001,23.7037
BLZ,2003,2003,23.21707
BLZ,2004,2004,23.8328
BLZ,2005,2005,26.66073
BLZ,2006,2006,28.5136
BLZ,2007,2007,29.75207
BLZ,2008,2008,34.92713
BLZ,2009,2009,36.69489
BLZ,2010,2010,39.10387
BLZ,2011,2011,41.67514
BLZ,2012,2012,43.99332
BLZ,2013,2013,46.37888
BLZ,2014,2014,47.50295
PSE,1999,1999,31.40725
PSE,2000,2000,30.40962
PSE,2001,2001,26.89836
PSE,2002,2002,25.3335
PSE,2003,2003,23.09644
PSE,2004,2004,24.08144
PSE,2005,2005,25.92085
PSE,2006,2006,28.43077
PSE,2007,2007,21.89003
PSE,2008,2008,30.82673
PSE,2009,2009,33.05362
PSE,2010,2010,32.80623
PSE,2011,2011,36.63362
PSE,2012,2012,36.27379
PSE,2013,2013,40.85888
PSE,2014,2014,44.6532
NIC,1999,1999,29.03364
NIC,2000,2000,30.44279
NIC,2001,2001,30.43286
NIC,2002,2002,32.93145
NIC,2004,2004,37.6506
NIC,2005,2005,40.90694
NIC,2006,2006,54.33126
NIC,2007,2007,56.11996
NIC,2008,2008,58.29193
NIC,2010,2010,57.44801
SMR,2009,2009,93.12268
SMR,2010,2010,83.70497
SMR,2011,2011,68.04511
SMR,2012,2012,93.07692
CHL,2007,2007,65.90541
CHL,2008,2008,64.47988
CHL,2009,2009,65.76534
CHL,2010,2010,82.34424
CHL,2011,2011,83.65499
CHL,2012,2012,86.75239
CHL,2013,2013,91.4341
TZA,2004,2004,22.81094
TZA,2005,2005,26.30437
TZA,2006,2006,26.46855
TZA,2007,2007,29.94195
TZA,2008,2008,33.32281
TZA,2009,2009,32.17937
TZA,2010,2010,32.27127
TZA,2012,2012,33.02434
TZA,2013,2013,30.66933
GBR,1998,1998,72.22015
GBR,1999,1999,73.14949
GBR,2000,2000,75.81892
GBR,2001,2001,77.39416
GBR,2002,2002,78.08632
GBR,2003,2003,72.49744
GBR,2004,2004,54.8963
GBR,2005,2005,65.61584
GBR,2006,2006,66.43578
GBR,2007,2007,67.3943
GBR,2008,2008,74.59989
GBR,2009,2009,75.2446
GBR,2010,2010,75.39673
GBR,2011,2011,79.57976
GBR,2012,2012,78.31276
GBR,2013,2013,79.85777
LUX,1999,1999,69.47764
LUX,2001,2001,77.48942
LUX,2002,2002,81.58865
LUX,2005,2005,84.53644
LUX,2006,2006,85.39722
LUX,2007,2007,83.94219
LUX,2008,2008,85.31246
LUX,2010,2010,86.83036
LUX,2011,2011,85.97749
LUX,2012,2012,87.06286
LUX,2013,2013,89.41541
GEO,1999,1999,20.69747
GEO,2000,2000,21.77322
GEO,2002,2002,22.82178
GEO,2003,2003,32.15099
GEO,2004,2004,35.70295
GEO,2005,2005,37.52522
GEO,2006,2006,42.80848
GEO,2007,2007,40.06384
SUR,2001,2001,71.10756
SUR,2002,2002,79.33583
SUR,2008,2008,85.27601
SUR,2009,2009,82.89722
SUR,2011,2011,89.45946
SUR,2013,2013,67.01399
SUR,2014,2014,77.78545
DMA,1999,1999,74.57306
DMA,2001,2001,79.20998
DMA,2010,2010,71.52174
HRV,1999,1999,43.24052
HRV,2000,2000,45.87318
HRV,2001,2001,45.49558
HRV,2002,2002,46.15578
HRV,2003,2003,45.51278
HRV,2005,2005,46.69642
HRV,2006,2006,47.74686
HRV,2007,2007,50.95828
HRV,2008,2008,55.21463
HRV,2009,2009,59.80403
HRV,2010,2010,61.8582
HRV,2011,2011,63.92003
HRV,2012,2012,63.11989
DNK,1999,1999,87.61654
DNK,2000,2000,88.0184
DNK,2001,2001,88.8405
DNK,2002,2002,89.47412
DNK,2004,2004,92.72036
DNK,2005,2005,89.63422
DNK,2006,2006,89.83005
DNK,2007,2007,90.80175
DNK,2008,2008,90.27395
DNK,2009,2009,91.34856
DNK,2010,2010,96.09258
DNK,2011,2011,96.64107
DNK,2012,2012,98.94654
DNK,2013,2013,94.93915
KAZ,2001,2001,22.32031
