iso_code,year,preprimaryenrollment
CAN,1998,1.00689
CAN,1999,0.99374
CAN,2000,0.99372
CAN,2008,1.00668
CAN,2009,1.00796
CAN,2010,1.00347
CAN,2011,1.00683
CAN,2012,1.00117
SMR,2009,92.05231
SMR,2010,81.11511
SMR,2011,75.89377
SMR,2012,94.67054
UGA,2000,12.96098
UGA,2004,14.26845
BGD,1981,67.62309
BGD,1983,64.45504
BGD,1984,63.05989
BGD,1985,61.23318
BGD,1986,60.23253
BGD,1987,59.24138
BGD,1988,69.54457
BGD,1989,69.51527
BGD,1990,72.4646
BGD,2005,91.88718
BGD,2006,92.57638
BGD,2008,89.77981
BGD,2009,90.54656
BGD,2010,89.96452
ATG,2007,91.41506
ATG,2008,91.46632
ATG,2009,90.06647
ATG,2010,85.54999
ATG,2011,85.01398
ATG,2012,83.87399
ATG,2014,83.22531
RWA,2009,14.62774
RWA,2010,9.73728
RWA,2011,11.13881
RWA,2012,12.48557
RWA,2013,12.07425
CHL,2007,91.90896
CHL,2008,90.99375
CHL,2009,88.46525
CHL,2010,89.10345
CHL,2011,88.37493
CHL,2012,86.40678
CHL,2013,88.56903
JAM,1999,79.39447
JAM,2001,77.40927
JAM,2002,81.60847
JAM,2003,79.96804
JAM,2004,89.44106
JAM,2007,85.71172
JAM,2008,83.84167
JAM,2012,72.74684
JAM,2013,93.36077
JAM,2014,95.64969
CYP,1980,68.27883
CYP,1981,70.92447
CYP,1982,67.46895
CYP,1983,68.13838
CYP,1984,68.6324
CYP,1985,69.37118
CYP,1986,74.08463
CYP,1987,78.2078
CYP,1988,79.87407
CYP,1989,79.9324
CYP,1990,78.86106
CYP,1991,79.15607
CYP,1992,77.51218
CYP,1993,97.59281
CYP,1994,97.04539
CYP,1995,96.28955
CYP,1996,96.36006
CYP,1997,96.19921
CYP,1999,95.07298
CYP,2000,95.13734
CYP,2001,94.67245
CYP,2002,95.76494
CYP,2003,95.97779
CYP,2004,96.27427
CYP,2005,99.26098
CYP,2006,99.21544
CYP,2007,99.14358
CYP,2008,98.98083
CYP,2009,99.02851
CYP,2010,98.82851
CYP,2011,98.76485
CYP,2012,97.74647
CYP,2013,96.90807
CYP,2014,96.28478
STP,2003,10.50604
STP,2004,19.9533
STP,2005,27.09984
STP,2007,23.80696
STP,2008,23.30269
STP,2009,22.2069
STP,2010,28.93061
STP,2011,36.12514
STP,2014,48.30093
STP,2015,50.07888
40500,1981,78.47097
40500,1982,79.73932
40500,1983,80.11135
40500,1984,80.87466
40500,1985,80.8626
40500,1986,81.83711
40500,1987,82.19125
40500,1988,81.74508
40500,1989,81.40988
40500,1990,81.04552
40500,1991,81.92867
40500,1992,83.75109
40500,1993,86.6415
40500,1994,88.58081
40500,1995,88.5862
40500,1996,88.20488
40500,1997,87.96314
40500,1998,87.19954
40500,1999,87.03448
40500,2000,86.727
40500,2001,87.32787
40500,2002,87.31492
40500,2003,89.01304
40500,2004,89.63519
40500,2005,90.12089
40500,2006,89.87725
40500,2007,89.66837
40500,2008,90.12514
40500,2009,89.97446
40500,2010,89.64317
40500,2011,89.55043
40500,2012,89.45126
40500,2013,90.09852
IRQ,1980,0.89259
IRQ,1981,0.92101
IRQ,1983,0.91939
IRQ,1985,0.88733
IRQ,1986,0.88975
IRQ,1987,0.88591
IRQ,1988,0.90521
IRQ,1989,0.87493
IRQ,1993,0.90007
IRQ,1996,0.89247
IRQ,1999,0.86931
IRQ,2000,0.86905
IRQ,2004,0.87563
IRQ,2007,0.88609
CHE,1999,0.99217
CHE,2000,0.99505
CHE,2001,0.99783
CHE,2002,0.99587
CHE,2003,0.99899
CHE,2004,0.99263
CHE,2005,0.98638
CHE,2006,0.98479
CHE,2007,0.97803
CHE,2008,0.98867
CHE,2009,0.99081
CHE,2010,0.99851
CHE,2011,1.00221
CHE,2012,0.98579
PSE,1999,30.75226
PSE,2000,29.42711
PSE,2001,25.85227
PSE,2002,24.36488
PSE,2003,22.35848
PSE,2004,23.49651
PSE,2005,25.28345
PSE,2006,28.18906
PSE,2007,21.87024
PSE,2008,30.46778
PSE,2009,32.73697
PSE,2010,32.50025
PSE,2011,36.22319
PSE,2012,35.84561
PSE,2013,40.60426
PSE,2014,45.35489
TUN,1999,0.9374
TUN,2000,0.97366
TUN,2001,0.96706
TUN,2002,0.96865
JPN,1982,99.86789
JPN,1983,99.43994
JPN,1984,99.5883
JPN,2010,99.9399
JPN,2011,99.95037
JPN,2012,99.944
JPN,2013,99.95001
PHL,2013,69.5489
BLZ,1999,0.98724
BLZ,2000,0.98326
BLZ,2001,0.99149
BLZ,2003,1.00578
BLZ,2004,1.00436
BLZ,2005,0.99089
BLZ,2006,1.00078
BLZ,2007,1.00687
BLZ,2008,0.98778
BLZ,2009,0.99076
BLZ,2010,0.99357
BLZ,2011,0.97677
BLZ,2012,0.99402
BLZ,2013,0.98369
BLZ,2014,0.9781
MAR,1980,42.3886
MAR,1981,44.94707
MAR,1982,45.8026
MAR,1983,48.20519
MAR,1984,50.3477
MAR,1985,49.52255
MAR,1986,48.23721
MAR,1987,46.85279
MAR,1988,45.78888
MAR,1989,44.41802
MAR,1990,45.64668
MAR,1991,45.57745
MAR,1992,46.4604
MAR,1993,48.65392
MAR,1994,51.53409
MAR,1995,54.54679
MAR,1996,57.11767
MAR,1997,58.97419
MAR,1998,59.83725
MAR,1999,65.7412
MAR,2000,71.40507
MAR,2001,76.36326
MAR,2002,81.17526
MAR,2003,82.90124
MAR,2004,82.94476
MAR,2005,83.93086
MAR,2006,85.28123
MAR,2007,86.91594
MAR,2008,88.26826
MAR,2009,89.47423
MAR,2010,93.83828
MAR,2011,96.54578
MAR,2012,97.11593
MAR,2013,98.41362
MAR,2014,98.278
ETH,1987,29.48959
ETH,1988,30.06222
ETH,1989,28.77544
ETH,1994,19.15098
ETH,1995,21.89509
ETH,1996,26.13699
ETH,1998,33.60573
ETH,1999,35.60525
ETH,2000,40.058
ETH,2001,43.78517
ETH,2002,45.88963
ETH,2003,46.64398
ETH,2004,49.50609
ETH,2005,60.41486
ETH,2006,65.17804
ETH,2007,70.2648
ETH,2008,75.98866
ETH,2009,75.58275
ETH,2010,73.60556
ETH,2011,77.5834
ETH,2012,78.92306
ETH,2014,85.84677
FRA,1982,98.55065
FRA,1983,96.02389
FRA,1985,95.59397
FRA,1986,98.67662
FRA,1992,99.57936
FRA,1993,97.99854
FRA,1994,97.84274
FRA,1995,98.8014
FRA,1996,99.74295
FRA,1997,99.45014
FRA,1999,98.90446
FRA,2000,98.80487
FRA,2001,98.8519
FRA,2002,98.78538
FRA,2003,98.65076
FRA,2004,98.21394
FRA,2005,98.47756
FRA,2006,98.42177
FRA,2007,98.46244
FRA,2008,98.35699
FRA,2009,98.4029
FRA,2010,98.40832
FRA,2011,97.96324
FRA,2012,97.77017
FRA,2013,98.42978
MNE,2011,36.17333
MNE,2012,44.79539
MNE,2015,55.22828
TGO,1999,2.5448
TGO,2000,2.10057
TGO,2001,2.29114
TGO,2002,2.58206
TGO,2003,2.66058
TGO,2007,4.21902
TGO,2008,4.71252
TGO,2009,7.19532
TGO,2010,7.32898
TGO,2011,9.18808
TGO,2012,10.72132
TGO,2013,13.74141
TGO,2014,15.04014
SVN,2013,95.24094
PAN,1999,1.00754
PAN,2000,1.00622
PAN,2001,1.02151
PAN,2002,1.00784
PAN,2004,1.01832
PAN,2005,1.00682
PAN,2006,1.00524
PAN,2007,0.98433
PAN,2008,1.00133
PAN,2009,1.00536
PAN,2010,1.00176
PAN,2011,1.01378
PAN,2012,1.00415
PAN,2013,1.00685
40387,2005,82.80284
40387,2006,83.30053
40387,2007,83.8653
40387,2008,84.05521
40387,2009,84.93466
40387,2010,86.1699
40387,2011,87.20101
40387,2012,88.62054
40387,2013,88.57968
HKG,1980,94.84411
HKG,1981,95.26099
HKG,1982,94.922
HKG,1983,95.60955
HKG,1984,96.38592
HKG,1985,96.74747
HKG,1995,92.17856
HKG,1996,92.74282
HKG,2012,94.10503
HKG,2013,93.78849
HKG,2014,94.64883
GNB,2000,2.6163
GNB,2010,4.27061
COM,1987,0.80973
COM,1994,0.82002
COM,1999,0.85364
COM,2000,0.85484
COM,2007,0.92988
COM,2013,0.94557
TLS,2008,76.57646
TLS,2009,86.26923
TLS,2010,95.68398
TLS,2011,98.31827
TLS,2013,97.12942
TLS,2014,96.64254
EGY,1999,9.31854
EGY,2000,10.2663
EGY,2001,11.93369
EGY,2002,12.17778
EGY,2003,13.25528
EGY,2005,16.43447
EGY,2006,17.56229
EGY,2007,17.09274
EGY,2009,20.84797
EGY,2011,21.76541
EGY,2012,20.94665
SAU,2009,85.61105
SAU,2010,90.20084
SAU,2011,90.26955
SAU,2012,92.17345
SAU,2013,97.18065
SAU,2014,97.87102
WSM,1994,93.37255
WSM,1998,93.3295
WSM,1999,90.45709
WSM,2000,89.34666
WSM,2001,86.45957
WSM,2007,98.37024
WSM,2009,98.27545
WSM,2010,95.36435
WSM,2011,93.84516
WSM,2012,94.7999
WSM,2014,96.05325
PRT,1993,69.62207
PRT,1994,77.12733
PRT,1995,75.55824
PRT,1999,80.74749
PRT,2000,81.73498
PRT,2001,79.36842
PRT,2002,79.14361
PRT,2003,80.41117
PRT,2005,82.1279
PRT,2006,82.71352
PRT,2013,92.73551
KGZ,1999,0.80363
KGZ,2000,0.99431
KGZ,2001,0.98978
KGZ,2002,0.99625
KGZ,2003,0.97821
KGZ,2004,0.99573
KGZ,2005,1.00641
KGZ,2006,1.00086
KGZ,2007,1.0464
KGZ,2008,1.02281
KGZ,2009,0.98729
KGZ,2010,1.02057
KGZ,2011,1.00922
KGZ,2012,1.02073
KGZ,2013,1.02525
KGZ,2014,1.00334
CMR,2007,12.86585
CMR,2008,15.58123
CMR,2009,16.49882
CMR,2010,17.87852
CMR,2011,18.47971
CMR,2012,21.04511
CMR,2014,24.63273
ZWE,1998,1.01935
ZWE,1999,1.00902
ZWE,2000,1.00214
ZWE,2001,1.00964
ZWE,2002,1.01058
ZWE,2003,1.01674
ZWE,2012,1.01715
POL,1998,46.75311
POL,1999,47.2322
POL,2000,47.69269
POL,2001,47.99686
POL,2002,48.29673
POL,2003,50.28023
POL,2004,52.54561
POL,2005,54.42866
POL,2006,56.72662
POL,2007,59.42715
POL,2008,60.11045
POL,2009,63.641
POL,2010,68.2403
POL,2011,71.28379
POL,2012,74.51614
POL,2013,75.07025
GTM,1981,55.58274
GTM,1982,53.3966
GTM,1983,56.49369
GTM,1997,68.06006
GTM,1999,77.32556
GTM,2000,80.7741
GTM,2001,81.55824
GTM,2002,84.09677
GTM,2004,88.85854
GTM,2005,90.38778
GTM,2006,91.71583
GTM,2007,92.80306
GTM,2008,93.37601
GTM,2009,96.64736
GTM,2010,96.15707
GTM,2011,94.00321
GTM,2012,91.12933
GTM,2013,88.38463
GTM,2014,86.09451
PAK,2002,69.86086
PAK,2003,70.33054
PAK,2004,76.53676
PAK,2005,77.39541
PAK,2006,73.71204
PAK,2007,77.34966
PAK,2008,77.80709
PAK,2009,78.85773
PAK,2010,80.38938
PAK,2011,76.98047
PAK,2012,76.05003
PAK,2013,74.79925
PAK,2014,78.57279
GRD,2002,1.10219
GRD,2003,1.028
GRD,2004,1.12513
GRD,2007,1.01596
GRD,2008,1.04419
GRD,2009,1.05111
GRD,2010,1.08562
GRD,2013,0.9742
ARE,1980,75.13982
ARE,1981,72.29622
ARE,1982,78.08068
ARE,1983,74.82062
ARE,1984,75.24641
ARE,1985,75.0653
ARE,1986,75.59566
ARE,1987,87.56945
ARE,1988,91.58377
ARE,1989,96.57491
ARE,1992,97.85849
ARE,1993,92.75157
ARE,1994,90.77799
ARE,1995,92.27754
ARE,1996,90.29389
ARE,1997,87.30022
ARE,1998,84.28247
ARE,1999,82.17843
ARE,2003,85.81573
ARE,2004,89.21333
ARE,2005,89.42776
ARE,2006,86.49906
ARE,2007,86.74072
ARE,2009,81.77327
ARE,2010,84.08294
ARE,2011,85.37205
ARE,2012,86.9629
ARE,2013,86.76489
ARE,2014,90.7833
DOM,1999,82.84739
DOM,2000,83.70441
DOM,2002,86.86647
DOM,2003,85.01316
DOM,2004,81.48358
DOM,2005,82.92226
DOM,2006,81.28828
DOM,2007,86.47414
DOM,2008,82.78975
DOM,2009,84.11462
DOM,2010,86.10137
DOM,2011,86.69565
DOM,2012,85.18176
DOM,2013,84.49074
DOM,2014,82.55139
DZA,1999,1.00361
DZA,2000,0.98692
DZA,2001,0.99261
DZA,2003,0.98919
DZA,2004,0.96314
DZA,2005,0.95723
DZA,2006,0.96833
DZA,2008,0.91161
DZA,2009,0.97697
DZA,2010,0.92457
DZA,2011,1.01425
BHS,1992,1.00705
BHS,1993,1.02009
BHS,1999,0.98179
BHS,2004,1.01225
BHS,2005,1.01853
BHS,2006,1.02338
BHS,2008,1.02036
BHS,2009,1.05804
TZA,1981,0.98115
TZA,1982,1.0063
TZA,1983,1.02818
TZA,1985,1.04147
TZA,1986,1.04574
TZA,1987,1.03338
TZA,1988,1.02701
TZA,1989,1.0219
TZA,1990,1.01837
TZA,1991,1.01482
TZA,1992,1.01042
TZA,1993,1.01884
TZA,1994,1.02892
TZA,1995,1.02695
TZA,1996,1.02628
TZA,1997,1.02955
TZA,1998,1.03373
TZA,1999,1.03486
TZA,2000,1.02594
TZA,2001,0.9957
TZA,2002,0.97238
TZA,2003,0.96198
TZA,2004,0.96512
TZA,2005,0.9676
TZA,2006,0.98065
TZA,2008,0.99294
TZA,2010,1.00683
TZA,2012,1.00487
TZA,2013,1.00653
LBN,2006,65.5823
LBN,2007,65.0799
LBN,2008,65.16443
LBN,2009,66.87923
LBN,2010,67.44571
LBN,2011,66.98889
KIR,1985,98.82331
KIR,1986,96.467
KIR,1987,94.13384
KIR,1989,98.50482
NZL,1980,99.47996
NZL,1981,99.32529
NZL,1982,99.21342
NZL,1983,98.84412
NZL,1984,99.50129
NZL,1985,99.56521
NZL,1986,99.73915
NZL,1987,99.84166
NZL,1988,99.90544
NZL,1989,99.82611
NZL,1990,99.52486
NZL,1991,98.8945
NZL,1992,97.44795
NZL,1994,97.03376
NZL,1995,98.38564
NZL,1996,98.84282
NZL,1997,99.75478
NZL,1998,99.27954
NZL,1999,99.17331
NZL,2000,98.73814
NZL,2001,97.06369
NZL,2002,96.6548
NZL,2003,97.8017
NZL,2004,98.0808
NZL,2005,98.90444
NZL,2006,98.96819
NZL,2007,99.53024
NZL,2008,99.45914
NZL,2009,99.29822
NZL,2010,99.31358
NZL,2011,98.94053
NZL,2012,98.33248
NZL,2013,98.26603
RUS,1994,96.84871
RUS,1995,93.44088
RUS,2006,90.24376
RUS,2007,90.41497
RUS,2008,92.40052
RUS,2009,93.94486
RUS,2011,95.46894
RUS,2012,96.38456
RUS,2013,96.27216
BRB,1981,84.58808
BRB,1982,82.89461
BRB,1983,82.89316
BRB,1984,83.93738
BRB,1985,87.78487
BRB,1989,81.8244
BRB,1990,78.88106
BRB,1999,94.89026
BRB,2000,91.89429
BRB,2001,86.52148
BRB,2002,87.65247
BRB,2003,89.50813
BRB,2004,93.06996
BRB,2005,92.20516
BRB,2006,91.74959
BRB,2007,92.13374
BRB,2008,88.23348
BRB,2009,84.39782
BRB,2010,85.18267
BRB,2011,88.81115
BRB,2014,99.42875
ESP,1988,98.6052
ESP,1989,99.14546
ESP,1990,99.29088
ESP,1992,99.45836
ESP,1999,99.8275
ESP,2000,99.66753
ESP,2001,99.61263
ESP,2002,99.72181
ESP,2003,99.83045
ESP,2004,99.67211
ESP,2005,99.76083
ESP,2006,99.86445
ESP,2007,99.8707
ESP,2008,99.71346
ESP,2009,99.45617
ESP,2010,99.34566
ESP,2011,99.46943
ESP,2012,99.46378
ESP,2013,99.24985
ISR,1999,97.49777
ISR,2000,97.77519
ISR,2001,98.24126
ISR,2002,97.89753
ISR,2003,98.02005
ISR,2004,97.60062
ISR,2005,97.47131
ISR,2006,97.00253
ISR,2007,97.23679
ISR,2008,97.20302
ISR,2009,96.90659
ISR,2010,97.04565
ISR,2011,96.70118
ISR,2012,97.31173
ISR,2013,96.87254
BDI,1980,15.4077
BDI,1981,16.96376
BDI,1982,19.07331
BDI,1983,24.36033
BDI,1984,28.77519
BDI,1985,32.96705
BDI,1986,35.83048
BDI,1987,40.98382
BDI,1988,44.29543
BDI,1993,43.93991
BDI,2000,36.65894
BDI,2001,44.29389
BDI,2002,43.29958
BDI,2003,46.95314
BDI,2004,49.92874
BDI,2005,53.1512
BDI,2006,70.42487
BDI,2007,77.35932
BDI,2008,87.3818
BDI,2009,86.46607
BDI,2010,91.36989
BDI,2013,89.90446
BDI,2014,96.23956
PSE,1999,73.20666
PSE,2000,74.64962
PSE,2001,75.40731
PSE,2002,78.08184
PSE,2003,80.86945
PSE,2004,84.52276
PSE,2005,85.61359
PSE,2006,86.68568
PSE,2007,86.50661
PSE,2008,86.36801
PSE,2009,85.08028
PSE,2010,83.17173
PSE,2011,81.02224
PSE,2012,80.92051
PSE,2013,80.35447
PSE,2014,80.12445
CAF,1981,0.59259
CAF,1982,0.5825
CAF,1983,0.54186
CAF,1986,0.65489
CAF,1987,0.63755
CAF,1988,0.6468
CAF,1989,0.65623
CAF,1990,0.65602
CAF,1991,0.66926
CAF,2005,0.72557
CAF,2006,0.71863
CAF,2007,0.71415
CAF,2008,0.73774
CAF,2009,0.73588
CAF,2010,0.74754
CAF,2011,0.75932
CAF,2012,0.7853
COD,2001,0.99026
COD,2002,1.02402
COD,2011,1.06092
COD,2013,1.07808
SRB,2007,49.09128
SRB,2008,49.19571
SRB,2009,51.03226
SRB,2010,52.58621
SRB,2011,53.00888
SRB,2012,55.76441
SRB,2013,58.36507
SRB,2014,59.13812
ALB,1999,95.92153
ALB,2000,95.19187
ALB,2001,94.16164
ALB,2003,91.46964
ALB,2004,91.43194
ALB,2008,89.92787
ALB,2009,88.69822
ALB,2010,90.41749
ALB,2011,92.37715
ALB,2012,95.35329
ALB,2013,94.82121
IND,1990,65.37334
IND,2000,72.76206
IND,2001,73.129
IND,2002,73.51483
IND,2003,82.60458
IND,2007,90.57679
IND,2008,91.62339
IND,2009,92.00271
IND,2010,92.07451
IND,2011,91.81321
IND,2012,93.23013
IND,2013,92.94704
CMR,1980,13.86708
CMR,1981,14.68599
CMR,2012,38.79874
CMR,2013,40.17092
CMR,2014,43.13556
MUS,1981,42.1666
MUS,1982,41.36544
MUS,1998,64.42642
MUS,1999,66.43395
MUS,2000,68.24067
MUS,2001,70.41519
MUS,2002,73.47958
MUS,2004,79.37135
GRC,1998,1.02817
GRC,1999,1.01656
GRC,2000,1.01904
GRC,2001,1.02324
GRC,2002,1.02585
GRC,2003,1.01409
GRC,2004,1.00732
GRC,2005,1.00407
GRC,2006,1.00082
GRC,2007,1.00063
GRC,2010,0.99927
GRC,2011,0.99866
GRC,2012,1.00095
GRC,2013,0.99302
SLE,2001,4.45163
SLE,2012,8.16144
SLE,2013,6.49195
VEN,1999,51.12597
VEN,2000,54.21105
VEN,2002,59.98348
VEN,2003,62.06197
VEN,2004,64.65919
VEN,2005,64.62442
VEN,2006,68.2648
VEN,2007,70.60999
VEN,2008,69.61984
VEN,2009,71.24133
VEN,2010,70.61392
VEN,2011,70.66251
VEN,2012,70.73849
VEN,2013,71.30865
VEN,2014,76.25467
40366,1998,51.79698
40366,1999,51.90958
40366,2000,52.52483
40366,2001,53.04834
40366,2002,53.66899
40366,2003,54.89842
40366,2004,55.82996
40366,2005,56.65113
40366,2006,57.73029
40366,2007,59.23989
40366,2008,60.65104
40366,2009,61.3684
40366,2010,62.96079
40366,2011,64.47768
40366,2012,65.5212
40366,2013,66.00396
40530,1998,79.2768
40530,1999,80.03971
40530,2000,81.36496
40530,2001,82.95931
40530,2002,82.46494
40530,2003,82.57245
40530,2004,81.29612
40530,2005,80.97059
