iso_code,region_code
REU,Europe & Central Asia
ROU,Europe & Central Asia
COD,Sub-Saharan Africa
AND,Europe & Central Asia
AFG,South Asia
ALB,Europe & Central Asia
DZA,Middle East & North Africa
ASM,East Asia & Pacific
ADO,Europe & Central Asia
AGO,Sub-Saharan Africa
ATG,Latin America & Caribbean
ARG,Latin America & Caribbean
ARM,Europe & Central Asia
ABW,Latin America & Caribbean
AUS,East Asia & Pacific
AUT,Europe & Central Asia
AZE,Europe & Central Asia
BHS,Latin America & Caribbean
BHR,Middle East & North Africa
BGD,South Asia
BRB,Latin America & Caribbean
BLR,Europe & Central Asia
BEL,Europe & Central Asia
BLZ,Latin America & Caribbean
BEN,Sub-Saharan Africa
BMU,North America
BTN,South Asia
BOL,Latin America & Caribbean
BIH,Europe & Central Asia
BWA,Sub-Saharan Africa
BRA,Latin America & Caribbean
BRN,East Asia & Pacific
BGR,Europe & Central Asia
BFA,Sub-Saharan Africa
BDI,Sub-Saharan Africa
CPV,Sub-Saharan Africa
KHM,East Asia & Pacific
CMR,Sub-Saharan Africa
CAN,North America
CYM,Latin America & Caribbean
CAF,Sub-Saharan Africa
TCD,Sub-Saharan Africa
CHI,Europe & Central Asia
CHL,Latin America & Caribbean
CHN,East Asia & Pacific
COL,Latin America & Caribbean
COM,Sub-Saharan Africa
ZAR,Sub-Saharan Africa
COG,Sub-Saharan Africa
CRI,Latin America & Caribbean
CIV,Sub-Saharan Africa
HRV,Europe & Central Asia
CUB,Latin America & Caribbean
CUW,Latin America & Caribbean
CYP,Europe & Central Asia
CZE,Europe & Central Asia
DNK,Europe & Central Asia
DJI,Middle East & North Africa
DMA,Latin America & Caribbean
DOM,Latin America & Caribbean
ECU,Latin America & Caribbean
EGY,Middle East & North Africa
SLV,Latin America & Caribbean
GNQ,Sub-Saharan Africa
ERI,Sub-Saharan Africa
EST,Europe & Central Asia
ETH,Sub-Saharan Africa
FRO,Europe & Central Asia
FJI,East Asia & Pacific
FIN,Europe & Central Asia
FRA,Europe & Central Asia
PYF,East Asia & Pacific
GAB,Sub-Saharan Africa
GMB,Sub-Saharan Africa
GEO,Europe & Central Asia
DEU,Europe & Central Asia
GHA,Sub-Saharan Africa
GRC,Europe & Central Asia
GRL,Europe & Central Asia
GRD,Latin America & Caribbean
GUM,East Asia & Pacific
GTM,Latin America & Caribbean
GIN,Sub-Saharan Africa
GNB,Sub-Saharan Africa
GUY,Latin America & Caribbean
HTI,Latin America & Caribbean
HND,Latin America & Caribbean
HKG,East Asia & Pacific
HUN,Europe & Central Asia
ISL,Europe & Central Asia
IND,South Asia
IDN,East Asia & Pacific
IRN,Middle East & North Africa
IRQ,Middle East & North Africa
IRL,Europe & Central Asia
IMY,Europe & Central Asia
ISR,Middle East & North Africa
ITA,Europe & Central Asia
JAM,Latin America & Caribbean
JPN,East Asia & Pacific
JOR,Middle East & North Africa
KAZ,Europe & Central Asia
KEN,Sub-Saharan Africa
KIR,East Asia & Pacific
PRK,East Asia & Pacific
KOR,East Asia & Pacific
KSV,Europe & Central Asia
KWT,Middle East & North Africa
KGZ,Europe & Central Asia
LAO,East Asia & Pacific
LVA,Europe & Central Asia
LBN,Middle East & North Africa
LSO,Sub-Saharan Africa
LBR,Sub-Saharan Africa
LBY,Middle East & North Africa
LIE,Europe & Central Asia
LTU,Europe & Central Asia
LUX,Europe & Central Asia
MAC,East Asia & Pacific
MKD,Europe & Central Asia
MDG,Sub-Saharan Africa
MWI,Sub-Saharan Africa
MYS,East Asia & Pacific
MDV,South Asia
MLI,Sub-Saharan Africa
MLT,Middle East & North Africa
MHL,East Asia & Pacific
MRT,Sub-Saharan Africa
MUS,Sub-Saharan Africa
MEX,Latin America & Caribbean
FSM,East Asia & Pacific
MDA,Europe & Central Asia
MCO,Europe & Central Asia
MNG,East Asia & Pacific
MNE,Europe & Central Asia
MAR,Middle East & North Africa
MOZ,Sub-Saharan Africa
MMR,East Asia & Pacific
NAM,Sub-Saharan Africa
NPL,South Asia
