region,ISO_code,country,year,vaccine,grade,agegroup,sex,target,reached,Other_intervention,InfoSource
AFR,DZA,Algeria,2008,DT enfant,1_re A Primaire,06 ans,mixte,643341,627703,,
AFR,DZA,Algeria,2008,VPO,entr_e lyc_e,16-18 ans,mixte,356169,339610,,
AFR,DZA,Algeria,2008,DT adulte,entr_e lyc_e,16-18 ans,mixte,356169,339610,,
AFR,DZA,Algeria,2008,VPO,entr_e collge,11-13 ans,mixte,755618,730681,,
AFR,DZA,Algeria,2008,DT adulte,entr_e collge,11-13 ans,mixte,755618,730681,,
AFR,DZA,Algeria,2008,VAR,1_re A Primaire,06 ans,mixte,643341,616305,,
AFR,DZA,Algeria,2008,VPO,1_re A Primaire,06 ans,mixte,643341,627703,,
AFR,DZA,Algeria,2009,dT adulte,1re ASecondaire,16A,mixte,419387,403159,,
AFR,DZA,Algeria,2009,VPO,1re A moyenne,12A,mixte,1007383,921601,,
AFR,DZA,Algeria,2009,VPO,1re Secondaire,16A,mixte,419387,403159,,
AFR,DZA,Algeria,2009,dT  adulte,1re A Moyenne,12A,mixte,1007383,921601,,
AFR,DZA,Algeria,2009,VAR,1re A Primaire,6A,mixte,664129,649994,,
AFR,DZA,Algeria,2009,VPO,1re A Primaire,6A,mixte,664129,649994,,
AFR,DZA,Algeria,2009,Dt  enfant,1re A Primaire,6A,mixte,664129,649994,,
AFR,DZA,Algeria,2010,DT adulte,1re A.S.,16-18 ans,mixte,453032,417748,Education sanitaire,
AFR,DZA,Algeria,2010,Anti Poliomy_litique,1re A.M.,11-13 ans,mixte,936979,862930,Education sanitaire,
AFR,DZA,Algeria,2010,DT adulte,1re A.M.,11-13 ans,mixte,936979,862930,Education sanitaire,
AFR,DZA,Algeria,2010,Anti Rougeoleux,1re A.P.,6 ans,mixte,656548,623293,Education sanitaire,
AFR,DZA,Algeria,2010,Anti Poliomy_litique,1re A.P.,6 ans,mixte,656548,625704,Education sanitaire,
AFR,DZA,Algeria,2010,Anti Poliomy_litique,1re A.S.,16-18 ans,mixte,453032,417748,Education sanitaire,
AFR,DZA,Algeria,2010,DT enfant,1re A.P.,6 ans,mixte,656548,625704,Education sanitaire,
AFR,DZA,Algeria,2011,VAPolio,1re A. Prim,06 ans,mixte,647469,621637,,
AFR,DZA,Algeria,2011,VAPolio,1re A. Secd,15-16 ans,mixte,456147,405993,,
AFR,DZA,Algeria,2011,DT Adulte,1re A. Secd,15-16 ans,mixte,456147,405993,,
AFR,DZA,Algeria,2011,VARougeoleux,1re A. Prim,06 ans,mixte,647469,621637,,
AFR,DZA,Algeria,2011,DT P_diatrique,1re A. Prim,06 ans,mixte,647469,621637,,
AFR,DZA,Algeria,2011,BCG (rattrapage),1re A. Prim,06 ans,mixte,76077,43761,,
AFR,DZA,Algeria,2011,DT Adulte,1re A. Moye,11-12 ans,mixte,841102,744603,,
AFR,DZA,Algeria,2011,VAPolio,1re A. Moye,11-12 ans,mixte,841102,744603,,
AFR,DZA,Algeria,2012,VARougeoleux,1er Primaire,06 ans,mixte,695684,658480,,
AFR,DZA,Algeria,2012,DT Enfant,1er Primaire,06 ans,mixte,695684,658632,,
AFR,DZA,Algeria,2012,DT Adulte,1ere Moyenne,11-12 ans,mixte,791813,415237,,
AFR,DZA,Algeria,2012,VPO,1e Secondaire,15-16 ans,mixte,496113,247362,,
AFR,DZA,Algeria,2012,VPO,1er Primaire,06 ans,mixte,695684,658632,,
AFR,DZA,Algeria,2012,VPO,1ere Moyenne,11-12 ans,mixte,791813,415237,,
AFR,DZA,Algeria,2012,DT Adulte,1e Secondaire,15-16 ans,mixte,496113,247362,,
AFR,DZA,Algeria,2013,DT Adulte,1e Secondaire,15-16 ans,mixte,687648,540739,,
AFR,DZA,Algeria,2013,DT Enfant,1er Primaire,06 ans,mixte,731852,688806,,
AFR,DZA,Algeria,2013,VPO,1er Primaire,06 ans,mixte,731852,688806,,
AFR,DZA,Algeria,2013,VARougeoleux,1er Primaire,06 ans,mixte,731852,687658,,
AFR,DZA,Algeria,2013,VPO,1ere Moyenne,11-12 ans,mixte,778570,626352,,
AFR,DZA,Algeria,2013,VPO,1e Secondaire,15-16 ans,mixte,687648,540739,,
AFR,DZA,Algeria,2013,DT Adulte,1ere Moyenne,11-12 ans,mixte,778570,626352,,
AFR,DZA,Algeria,2014,DT P_diatrique + VPO,1ere primaire,5 ans - 6 ans,mixte,787246,750133,,
AFR,DZA,Algeria,2014,DT Adulle + VPO,1ere Moyenne,11 ans - 12 ans,mixte,769347,707444,,
AFR,DZA,Algeria,2014,DT Adulte + VPO,1ere Secondaire,15 ans - 16 ans,mixte,504896,447216,,
AFR,DZA,Algeria,2014,VARougeole,1ere primaire,5 ans - 6 ans,mixte,787246,748700,,
AFR,AGO,Angola,2008,Tetanus,1 to 4,,both,,,No,
AFR,AGO,Angola,2009,Tetanus,1 to 4,,both,,,No,
AFR,AGO,Angola,2010,Tetanus Toxoid,1 to 4,,both,,,Not,
AFR,AGO,Angola,2011,Tetanus Toxoid,1 to 4,,both,,,No,
AFR,AGO,Angola,2012,TT,1_4,,both,,,No,
AFR,AGO,Angola,2013,TT,1_4,6-9 Y,female,2651503,519701,No,
AFR,AGO,Angola,2014,TT,1_4,6-9 years,both,2725745,585086,No,
AFR,BWA,Botswana,2008,DT,Class 1,,both,,,,
AFR,BWA,Botswana,2008,T.T,Class 7,,,,,,
AFR,BWA,Botswana,2008,POLIO BOOSTER,Class 1,,both,,,,
AFR,BWA,Botswana,2009,TT,Std 7,,both,,,,
AFR,BWA,Botswana,2009,Polio  Booster,Std 1,,both,,,,
AFR,BWA,Botswana,2009,DT,Std 1,,both,,,,
AFR,BWA,Botswana,2010,Polio  Booster,Std 1,,both,,,,
AFR,BWA,Botswana,2010,DT,Std 1,,both,,,,
AFR,BWA,Botswana,2010,TT Booster,Std 7,,both,,,,
AFR,BWA,Botswana,2011,DT,Std 1,,both,,,,
AFR,BWA,Botswana,2011,TT Booster,Std 7,,both,,,,
AFR,BWA,Botswana,2011,Polio Booster,Std 1,,both,,,,
AFR,BWA,Botswana,2012,Polio Booster,Std 1,,both,,,,
AFR,BWA,Botswana,2012,TT Booster,Std 7,,both,,,,
AFR,BWA,Botswana,2012,DT,Std 1,,both,,,,
AFR,BWA,Botswana,2013,DT,Std 1,,both,,,,
AFR,BWA,Botswana,2013,TT Booster,Std 7,,both,,,,
AFR,BWA,Botswana,2013,Oral Polio Vaccine Booster,Std 1,,both,,,,
AFR,BWA,Botswana,2014,DT,Grade 1,,both,,,,
AFR,BWA,Botswana,2014,Oral Polio Vaccine Booster,Grade 1,,both,,,,
AFR,BWA,Botswana,2014,TT Booster,Grade 7,,both,,,,
AFR,BWA,Botswana,2014,HPV 3,"Grade 5,6 & 7",,female,6663,6347,,
AFR,BWA,Botswana,2014,HPV 1,"Grade 5,6 & 7",,female,6663,6714,,
AFR,BWA,Botswana,2014,HPV 2,"Grade 5,6 & 7",,female,6663,6611,,
AFR,BFA,Burkina Faso,2012,,,,,,,,le Burkina Faso ne met pas en “uvre des prestations en PEV de routine pour les enfants d'Šge scolaire
AFR,BDI,Burundi,2008,Vaccin antit_tanique,5 me ann_e,12 et plus,f_minin,,,D_parasitage,
AFR,ERI,Eritrea,2008,TT,Jun. & Sec.Sch,15 - 44,female,,,,
AFR,ERI,Eritrea,2009,TT,Jun. & Sec.Sch,15 - 44,female,,,,
AFR,ERI,Eritrea,2010,TT,Jun.& Sec. School,15-18years,female,,,,
AFR,ERI,Eritrea,2011,TT,Jun.& Sec. School,15-18years,female,,,,
AFR,ERI,Eritrea,2012,Td,Jun.& Sec. School,15-18years,female,,,,Td vaccine is given for school girls above 14 years old
AFR,ERI,Eritrea,2013,TT,Jun.& Sec. School,15-18years,female,,,,
AFR,ERI,Eritrea,2014,TT,Junior & Secondary School,>15 Years,female,,,,
AFR,GIN,Guinea,2009,VAT,,,,,,,
AFR,GIN,Guinea,2010,VAT,,,,,,,
AFR,GIN,Guinea,2011,VAT,,,mixte,,,,
AFR,LSO,Lesotho,2014,HPV-Vaccine,,9-13Y,female,15681,3,,
AFR,MDG,Madagascar,2013,HPV1,7me/T5,9-13 ans,f_minin,5950,4424,,
AFR,MDG,Madagascar,2013,HPV2,7me/T5,9-13 ans,f_minin,5950,3956,,
AFR,MWI,Malawi,2013,HPV,Standard 4,9-13 years,female,6222,5712,no,
AFR,MWI,Malawi,2013,HPV,out of school,11 years,female,37,28,no,
AFR,MWI,Malawi,2014,HPV,out of school,10 years,female,35,26,no,
AFR,MWI,Malawi,2014,HPV,Standard 4,9-13 years,female,6259,5696,no,
AFR,MUS,Mauritius,2008,TETANUS TOXOID,Class 6,10- 11 years,,20012,17839,Vision & Growth Monitoring,
