year,region,code,agegroup,Display Value,Numeric,Low,High,Comments
2013,EMR,QAT,MONTHS1-59,0,0,,,
2010,AFR,TCD,MONTHS1-59,0,0.02183,,,
2002,AMR,ECU,MONTHS1-59,0,0,,,
2005,AFR,COD,MONTHS1-59,0,0.0174,,,
2003,EUR,KGZ,MONTHS1-59,0,0,,,
2013,EUR,FRA,MONTHS1-59,0,0,,,
2003,AMR,USA,MONTHS1-59,0,0,,,
2001,,,MONTHS1-59,0,0.03639,,,
2008,SEAR,BTN,MONTHS1-59,0,0,,,
2011,,,MONTHS1-59,0,0.01163,,,
2005,AMR,CUB,MONTHS1-59,0,0,,,
2004,EMR,SDN,MONTHS1-59,0,0.0103,,,
2010,AMR,ATG,MONTHS1-59,0,0,,,
2012,EUR,SMR,MONTHS1-59,0,0,,,
2009,EMR,YEM,MONTHS1-59,0,0.03272,,,
2011,SEAR,IND,MONTHS1-59,0,0.02605,,,
2000,AFR,BEN,MONTHS1-59,0,0.01168,,,
2012,WPR,PHL,MONTHS1-59,0,0.01395,,,
2002,EUR,SVK,MONTHS1-59,0,0,,,
2005,SEAR,MDV,MONTHS1-59,0,0,,,
2007,AMR,CRI,MONTHS1-59,0,0,,,
2013,EUR,ALB,MONTHS1-59,0,0,,,
2004,AMR,KNA,MONTHS1-59,0,0,,,
2003,EMR,ARE,MONTHS1-59,0,0,,,
2007,,,MONTHS1-59,0,0.00715,,,
2010,EMR,DJI,MONTHS1-59,0,0,,,
2006,SEAR,NPL,MONTHS1-59,0,0.0316,,,
2007,AFR,LBR,MONTHS1-59,0,0.02509,,,
2001,,,MONTHS1-59,0,0.0152,,,
2003,AFR,GAB,MONTHS1-59,0.1,0.0692,,,
2000,EUR,ALB,MONTHS1-59,0,0,,,
2008,WPR,AUS,MONTHS1-59,0,0,,,
2007,WPR,SGP,MONTHS1-59,0,0,,,
2008,,,MONTHS1-59,0,0.02324,,,
2012,EUR,DEU,MONTHS1-59,0,0,,,
2003,,,MONTHS1-59,0,0,,,
2011,,,MONTHS1-59,0,0.00702,,,
2001,,,MONTHS1-59,0,0.03242,,,
2001,EUR,TUR,MONTHS1-59,0,0.00207,,,
2004,AMR,SUR,MONTHS1-59,0,0,,,
2004,WPR,NRU,MONTHS1-59,0,0,,,
2011,AFR,STP,MONTHS1-59,0,0,,,
2007,AFR,SYC,MONTHS1-59,0,0,,,
2000,EUR,UKR,MONTHS1-59,0,0,,,
2003,AFR,SWZ,MONTHS1-59,0,0,,,
2013,,,MONTHS1-59,0,0.01614,,,
2009,EUR,CYP,MONTHS1-59,0,0,,,
2000,EMR,MAR,MONTHS1-59,0,0.00342,,,
2005,EUR,ARM,MONTHS1-59,0,0,,,
2007,EUR,UZB,MONTHS1-59,0,0,,,
2009,EUR,IRL,MONTHS1-59,0,0,,,
2012,EUR,GEO,MONTHS1-59,0,0,,,
2000,EUR,SMR,MONTHS1-59,0,0,,,
2002,AFR,AGO,MONTHS1-59,0,0.00927,,,
2002,,,MONTHS1-59,0,0.00053,,,
2011,EMR,PAK,MONTHS1-59,0,0.00922,,,
2003,AMR,BHS,MONTHS1-59,0,0,,,
2006,EMR,SYR,MONTHS1-59,0.1,0.09088,,,
2010,AMR,TTO,MONTHS1-59,0,0,,,
2001,AMR,ARG,MONTHS1-59,0,0,,,
2002,WPR,FJI,MONTHS1-59,0,0,,,
2008,WPR,VNM,MONTHS1-59,0,0.01219,,,
2008,,,MONTHS1-59,0,0.0132,,,
2002,WPR,JPN,MONTHS1-59,0,0,,,
2004,AFR,COM,MONTHS1-59,0,0,,,
2008,WPR,MHL,MONTHS1-59,0,0,,,
2001,EUR,ITA,MONTHS1-59,0,0,,,
2011,AFR,GNB,MONTHS1-59,0,0.01828,,,
2008,AFR,MOZ,MONTHS1-59,0,0.01293,,,
2004,AMR,BLZ,MONTHS1-59,0,0,,,
2007,EUR,CHE,MONTHS1-59,0,0,,,
