GHO,GBDCHILDCAUSES,PUBLISHSTATE,year,region,code,agegroup,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH5,PUBLISHED,2013,EMR,QAT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2010,AFR,TCD,MONTHS1-59,BTSX,,0,0.02183,,,
MORT_300,CH5,PUBLISHED,2002,AMR,ECU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,AFR,COD,MONTHS1-59,BTSX,,0,0.0174,,,
MORT_300,CH5,PUBLISHED,2003,EUR,KGZ,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2013,EUR,FRA,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2003,AMR,USA,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,,,MONTHS1-59,BTSX,MDG_SEA,0,0.03639,,,
MORT_300,CH5,PUBLISHED,2008,SEAR,BTN,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,,,MONTHS1-59,BTSX,UNICEF_ESARO,0,0.01163,,,
MORT_300,CH5,PUBLISHED,2005,AMR,CUB,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,EMR,SDN,MONTHS1-59,BTSX,,0,0.0103,,,
MORT_300,CH5,PUBLISHED,2010,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2012,EUR,SMR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,EMR,YEM,MONTHS1-59,BTSX,,0,0.03272,,,
MORT_300,CH5,PUBLISHED,2011,SEAR,IND,MONTHS1-59,BTSX,,0,0.02605,,,
MORT_300,CH5,PUBLISHED,2000,AFR,BEN,MONTHS1-59,BTSX,,0,0.01168,,,
MORT_300,CH5,PUBLISHED,2012,WPR,PHL,MONTHS1-59,BTSX,,0,0.01395,,,
MORT_300,CH5,PUBLISHED,2002,EUR,SVK,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,SEAR,MDV,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,AMR,CRI,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2013,EUR,ALB,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,AMR,KNA,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2003,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,,,MONTHS1-59,BTSX,WBDCP_LAC,0,0.00715,,,
MORT_300,CH5,PUBLISHED,2010,EMR,DJI,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,SEAR,NPL,MONTHS1-59,BTSX,,0,0.0316,,,
MORT_300,CH5,PUBLISHED,2007,AFR,LBR,MONTHS1-59,BTSX,,0,0.02509,,,
MORT_300,CH5,PUBLISHED,2001,,,MONTHS1-59,BTSX,REG6_AFR,0,0.0152,,,
MORT_300,CH5,PUBLISHED,2003,AFR,GAB,MONTHS1-59,BTSX,,0.1,0.0692,,,
MORT_300,CH5,PUBLISHED,2000,EUR,ALB,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2008,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,WPR,SGP,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2008,,,MONTHS1-59,BTSX,UNICEF_ROSA,0,0.02324,,,
MORT_300,CH5,PUBLISHED,2012,EUR,DEU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2003,,,MONTHS1-59,BTSX,MDG_DEV,0,0,,,
MORT_300,CH5,PUBLISHED,2011,,,MONTHS1-59,BTSX,MDG_LAC,0,0.00702,,,
MORT_300,CH5,PUBLISHED,2001,,,MONTHS1-59,BTSX,UNICEF_ROSA,0,0.03242,,,
MORT_300,CH5,PUBLISHED,2001,EUR,TUR,MONTHS1-59,BTSX,,0,0.00207,,,
MORT_300,CH5,PUBLISHED,2004,AMR,SUR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,WPR,NRU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,AFR,STP,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,AFR,SYC,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2000,EUR,UKR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2003,AFR,SWZ,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2013,,,MONTHS1-59,BTSX,WORLD,0,0.01614,,,
MORT_300,CH5,PUBLISHED,2009,EUR,CYP,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2000,EMR,MAR,MONTHS1-59,BTSX,,0,0.00342,,,
MORT_300,CH5,PUBLISHED,2005,EUR,ARM,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,EUR,UZB,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,EUR,IRL,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2012,EUR,GEO,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2000,EUR,SMR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2002,AFR,AGO,MONTHS1-59,BTSX,,0,0.00927,,,
MORT_300,CH5,PUBLISHED,2002,,,MONTHS1-59,BTSX,REG7_EUR,0,0.00053,,,
MORT_300,CH5,PUBLISHED,2011,EMR,PAK,MONTHS1-59,BTSX,,0,0.00922,,,
MORT_300,CH5,PUBLISHED,2003,AMR,BHS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,EMR,SYR,MONTHS1-59,BTSX,,0.1,0.09088,,,
MORT_300,CH5,PUBLISHED,2010,AMR,TTO,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
