country,code,mortality2015,mortality2014,mortality2013,mortality2012,mortality2011,mortality2010,mortality2009,mortality2008,mortality2007,mortality2006,mortality2005,mortality2004,mortality2003,mortality2002,mortality2001,mortality2000,mortality1999,mortality1998,mortality1997,mortality1996,mortality1995,mortality1994,mortality1993,mortality1992,mortality1991,mortality1990,mortality1989,mortality1988,mortality1987,mortality1986,mortality1985,mortality1984,mortality1983,mortality1982,mortality1981,mortality1980,mortality1976,mortality1975
Afghanistan,AFG,91.1,93.9,96.7,99.5,102.3,105,107.6,110.4,113.2,116.3,119.6,123.2,126.8,130.3,133.8,137,139.9,142.6,145.5,148.6,152.3,156.8,162,167.8,174.2,181,187.8,195,202.1,209.2,216,222.9,229.7,236.2,242.7,249.1,273.6,279.4
Albania,ALB,14,14.4,14.9,15.5,16,16.6,17.3,17.9,18.7,19.5,20.5,21.5,22.5,23.6,24.9,26.2,27.5,28.9,30.3,31.8,33.2,34.6,36,37.3,38.8,40.6,42.5,44.9,47.6,50.7,54.3,58.3,62.8,67.8,73,78.6,,
Algeria,DZA,25.5,25.6,25.8,26.1,26.6,27.3,28.3,29.4,30.7,32.1,33.6,35.1,36.5,37.8,38.9,39.7,40.2,40.6,41.1,41.8,42.5,43.3,44.1,44.9,45.7,46.8,48.5,51.2,55.4,61.9,71.2,83.8,99.2,115.8,132.5,148.1,195.2,205
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.9,4,4.1,4.2,4.4,4.6,4.8,5,5.3,5.7,6,6.4,6.9,7.4,7.9,8.5,,,,,,,,,,,,
Angola,AGO,156.9,162.2,167.1,172.2,177.3,182.5,187.3,192,196.4,200.5,203.9,206.7,209.2,211.7,214.1,216.7,218.9,220.8,222.6,224,224.8,225.5,225.8,226,225.9,226,226.2,226.5,226.9,227.5,228.3,229.1,230.2,231.5,232.8,234.1,,
Antigua and Barbuda,ATG,8.1,8.4,8.7,9.1,9.5,9.9,10.4,10.9,11.3,11.8,12.4,12.9,13.5,14.1,14.8,15.5,16.2,17,17.9,18.8,19.7,20.8,21.9,23.1,24.2,25.5,,,,,,,,,,,,
Argentina,ARG,12.5,12.9,13.3,13.8,14.2,14.6,15,15.4,15.8,16.4,17.1,17.9,18.6,19.2,19.7,20.2,20.8,21.4,22,22.7,23.4,24.1,24.8,25.7,26.6,27.6,28.6,29.7,30.8,31.9,33.1,34.4,35.8,37.6,40,43.1,60.2,63.8
Armenia,ARM,14.1,14.7,15.5,16.3,17.2,18,19,20,21.1,22.2,23.4,24.6,25.9,27.3,28.7,30.1,31.7,33.3,35,36.8,38.7,40.8,42.9,45.2,47.5,49.8,52.1,81.7,56.7,59.1,61.5,64,66.6,69.2,72,74.9,88.1,
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,3.8,3.9,4.1,4.3,4.5,4.8,5,5.2,5.4,5.6,5.7,5.9,6,6,6.1,6.2,6.4,6.5,6.6,6.8,7,7.3,7.7,8.1,8.6,9.2,9.7,10.2,10.6,11,11.3,11.6,11.9,12.2,12.6,13,16.2,17.3
Austria,AUT,3.5,3.7,3.9,4,4.2,4.4,4.5,4.6,4.7,4.8,4.9,5,5.2,5.3,5.4,5.5,5.6,5.8,6.1,6.4,6.8,7.4,8,8.5,9,9.5,10,10.5,11.1,11.9,12.6,13.3,14,14.7,15.5,16.3,21.1,23.1
Azerbaijan,AZE,31.7,32.9,34.2,35.7,37.3,39,41,43.3,45.8,48.6,51.7,55.2,59.3,63.8,68.8,74,79.3,84.2,88.6,92.1,94.3,95.5,95.7,95.4,95,94.7,94.9,95.8,97.2,99,101.1,103.3,105.7,108.2,,,,
"Bahamas, The",BHS,12.1,12.4,12.8,13.2,13.5,13.9,14.2,14.5,14.8,15.1,15.3,15.4,15.4,15.5,15.5,15.7,15.9,16.4,17,17.8,18.7,19.6,20.6,21.6,22.5,23.5,24.6,25.6,26.5,27.3,27.9,28.2,28.6,28.9,29.4,29.9,31.9,32.2
Bahrain,BHR,6.2,6.5,6.9,7.3,7.8,8.3,8.8,9.4,10,10.5,10.9,11.2,11.5,11.8,12.1,12.6,13.2,14.1,15.2,16.6,18.1,19.6,21,22,22.7,23,23.2,23.3,23.6,24.2,24.9,25.9,27.2,28.6,30.3,32.3,43.6,47.4
Bangladesh,BGD,37.6,39.5,41.6,44,46.7,49.6,52.6,55.9,59.4,63,66.8,70.7,74.8,79,83.5,88,92.8,97.9,103.2,108.6,114.2,119.9,125.8,131.7,137.7,143.7,149.7,155.8,161.8,167.7,173.5,179.1,184.4,189.4,194.2,198.9,214.5,217.1
Barbados,BRB,13,13.3,13.7,14.1,14.4,14.7,15.1,15.4,15.8,16.2,16.5,16.7,16.8,16.8,16.6,16.3,16,15.7,15.5,15.4,15.5,15.7,16.1,16.6,17.2,17.9,18.7,19.5,20.4,21.2,22,22.8,23.6,24.6,25.8,27.2,34.6,36.7
Belarus,BLR,4.6,4.7,5,5.3,5.6,6.1,6.6,7.2,7.9,8.7,9.4,10.2,10.9,11.9,13,14.3,15.8,17,17.8,18,17.9,17.5,17.1,16.8,16.6,16.6,17,17.5,18.1,18.7,19.4,19.9,20.6,21.3,22.3,23.3,,
Belgium,BEL,4.1,4.2,4.3,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.4,5.6,5.8,6,6.3,6.7,7.1,7.6,8.2,8.7,9.2,9.6,10,10.3,10.7,11,11.4,11.8,12.2,12.7,13.3,13.9,14.5,17.6,18.6
Belize,BLZ,16.5,17,17.5,18,18.5,19,19.5,20.1,20.6,21.2,21.7,22.2,22.8,23.5,24.2,25,25.8,26.7,27.8,28.8,30.1,31.5,33.1,35,37.2,39.6,42.2,44.9,47.7,50.6,53.5,56.2,58.9,61.4,63.9,66.4,77,79.9
Benin,BEN,99.5,102.1,104.8,107,109.3,111.6,113.9,116.3,119,122.1,125.5,129.2,133.1,137.1,141.1,144.7,147.9,150.9,153.6,156.2,159.1,162.4,166.2,170.4,175,179.5,183.9,188.1,192.2,196.1,199.7,203.3,206.8,210.2,213.7,217.4,237,242.7
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,32.9,34.4,36,37.8,39.9,42.3,45.1,48.1,51.3,54.8,58.5,62.3,66.4,70.6,75,79.6,84.4,89.4,94.5,99.8,105.3,110.8,116.4,122,127.8,133.7,139.8,145.9,152.2,158.8,165.2,172.1,178.9,185.9,193,199.8,228.4,235.5
Bolivia,BOL,38.4,39.8,41.3,43.1,44.9,47,49.3,52,54.9,58.1,61.4,64.8,68.5,72.2,76.2,80.2,84.4,88.7,93.1,97.5,101.8,106.2,110.7,115.2,119.7,124.4,129.2,134,138.9,143.8,148.5,153.2,157.8,162.3,166.8,171.6,193.9,200.1
Bosnia and Herzegovina,BIH,5.4,5.7,6.1,6.5,6.9,7.4,7.8,8.1,8.3,8.3,8.3,8.2,8.2,8.3,8.6,9.2,9.9,10.7,11.6,12.5,15.2,15.6,18.4,18.4,17,18.3,19.7,21.2,23,24.9,27,29.4,,,,,,
Botswana,BWA,43.6,44.8,46.6,49.5,51.8,53.5,57.3,61.7,62.6,63.4,69,75.8,78.1,79.8,81.6,82.9,82,79,76.5,73.5,69.9,66.1,62.4,59.1,56.4,54.2,53.1,53,53.7,55.1,57.1,59.5,62.3,65.6,69.1,72.9,91.1,96.1
Brazil,BRA,16.4,16.2,16,16,16.2,16.6,17.2,18.1,19.2,20.4,21.9,23.6,25.4,27.4,29.6,32,34.5,37.2,40.2,43.2,46.3,49.4,52.5,55.4,58.2,60.8,63.4,66,68.8,71.9,75.1,78.6,82.4,86.5,90.8,95.3,111.7,115.3
Brunei Darussalam,BRN,10.2,10.1,9.9,9.7,9.5,9.3,9.1,9,9,9,9,9.1,9.1,9.2,9.3,9.4,9.6,9.7,10,10.3,10.6,10.9,11.2,11.6,11.9,12.2,12.6,13,13.5,14.1,14.7,15.4,16.1,16.8,,,,
Bulgaria,BGR,10.4,10.9,11.5,12,12.6,13,13.3,13.7,14.2,15,15.9,17,18.1,19.2,20.1,21,22,22.8,23.1,23.1,23.1,23.1,23.1,22.9,22.6,22.1,21.5,21.3,21.7,22.5,23.6,24.7,25.7,26.6,27.6,28.7,33.5,34.3
Burkina Faso,BFA,88.6,92.4,96.6,101.4,106.9,113.5,121.4,130.4,139.9,149.4,158.3,166.3,173.1,178.3,182.4,185.7,188.5,191.3,194,197,199.4,201.1,202,202.1,201.8,202.2,203.4,205.8,209.6,214.4,219.2,223.7,227.8,231.8,236.1,241.2,277,288.5
Burundi,BDI,81.7,84.6,87.8,91.2,94.9,98.8,103.5,108.6,114.5,120.9,127.1,133,138.3,143.2,147.8,152.2,156.4,160.5,164.4,167.7,170.5,172.5,173.5,173.5,172.9,171.8,170.7,170.1,170.6,172.9,177.5,184.2,192.6,202.3,212.3,221.8,245,246.5
Cabo Verde,CPV,24.5,25.2,25.9,26.6,27.3,27.8,28.1,28.2,28.1,27.9,27.7,27.8,28.5,29.9,32.2,35.5,39.6,44.3,49,53,56.1,58.1,59.2,60,61,62.7,65.1,68.3,71.8,75.2,78.1,80.2,81.6,82.6,83.7,85.3,102.2,109.4
Cambodia,KHM,28.7,30.6,32.9,35.8,39.3,43.1,47.3,51.5,55.8,60.4,65.4,71.3,78.8,88.3,98.7,108.3,115.7,120.4,122.5,122.6,121.5,120,118.6,117.8,117.4,117.3,117.4,117.6,118.4,119.6,121.2,124.1,130.4,142,159.1,181.4,285.6,310
Cameroon,CMR,87.9,90.6,93.9,97.4,101,104.8,109,112.8,116.6,120.7,125.1,129.6,134.7,140.2,145.7,150.4,153.8,155.3,155.3,154,151.8,149,146,142.8,140,138,137.2,138.1,140.7,144.7,150.2,156.6,163.4,170.1,176.3,181.6,190.9,191.1
Canada,CAN,4.9,5,5.2,5.3,5.4,5.6,5.7,5.8,5.9,6,6.1,6.1,6.1,6.2,6.2,6.2,6.3,6.4,6.5,6.7,6.9,7.2,7.4,7.7,8,8.3,8.6,8.8,9.1,9.4,9.7,10.1,10.6,11.2,11.8,12.5,16,17
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,130.1,134,138.5,142.1,146.2,150.2,154.2,158.2,161.3,163.9,166.2,168.4,170.3,171.9,173.5,174.8,175.7,176.5,176.9,177,176.7,176.4,176.1,176,176.2,176.5,176.8,177,177.2,177.4,177.8,178.2,178.9,180,181.5,183.5,195.7,199.3
Chad,TCD,138.7,142.9,147.1,151.6,156,160.1,164,168,171.5,174.6,177,179.4,181.9,184.6,187.3,190.2,193,195.8,198.3,200.6,202.7,204.8,207,209.4,212,214.6,217.3,220.1,222.8,225.5,228.2,230.9,233.5,236,238.1,240.1,246.7,248.1
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
