iso_code,year,rateofoutofschoolMF
THA,1973,24.49396
THA,1974,24.09271
THA,2006,5.88979
THA,2007,5.4844
THA,2008,4.93145
THA,2009,3.65966
NOR,1971,2.38417
NOR,1972,1.83709
NOR,1976,0.30843
NOR,1977,0.36296
NOR,1978,1.00196
NOR,1979,1.34307
NOR,1980,0.79665
NOR,1981,1.57174
NOR,1982,1.80978
NOR,1984,2.5606
NOR,1985,3.55155
NOR,1986,3.51328
NOR,1987,2.90103
NOR,1988,2.27018
NOR,1989,1.26282
NOR,1990,0.20173
NOR,1991,0.03357
NOR,1992,0.32333
NOR,1993,1.31414
NOR,1994,1.5878
NOR,1995,1.78631
NOR,1996,1.70045
NOR,1997,0.89719
NOR,1998,0.24725
NOR,1999,0.22238
NOR,2000,0.28101
NOR,2001,0.22977
NOR,2002,0.26036
NOR,2003,0.14426
NOR,2004,0.56897
NOR,2005,1.41753
NOR,2006,1.36086
NOR,2007,0.82678
NOR,2008,0.66319
NOR,2009,0.84018
NOR,2010,0.99229
NOR,2011,0.72696
NOR,2012,0.29865
NOR,2013,0.13541
TCD,1975,75.79828
TCD,1977,75.2687
TCD,1988,66.49943
TCD,1996,62.57962
TCD,1997,57.1936
TCD,1998,52.01389
TCD,1999,50.10556
TCD,2000,48.43232
TCD,2001,47.20337
TCD,2002,43.7046
TCD,2003,42.17957
TCD,2011,36.96093
TCD,2013,15.518
JAM,1975,6.84485
JAM,1976,9.3771
JAM,1977,8.70374
JAM,1979,4.72962
JAM,1980,4.41658
JAM,1981,4.22499
JAM,1983,2.71396
JAM,1984,3.71294
JAM,1985,4.26026
JAM,1986,3.8407
JAM,1987,1.54572
JAM,1988,4.54799
JAM,1989,0.99327
JAM,1990,1.75266
JAM,1991,3.46761
JAM,1993,6.60085
JAM,1999,7.91708
JAM,2000,6.4355
JAM,2001,6.72683
JAM,2002,7.42756
JAM,2003,8.62664
JAM,2004,6.78132
EST,1995,12.96548
EST,1996,9.39048
EST,1998,0.77431
EST,1999,0.85616
EST,2000,1.04325
EST,2001,1.11061
EST,2002,1.14336
EST,2003,2.76046
EST,2004,3.71344
EST,2005,3.88525
EST,2006,4.31249
EST,2007,3.23928
EST,2008,3.72507
EST,2009,3.90741
EST,2010,0.90067
EST,2011,0.3593
