iso_code,year,rateofoutofschoolM
ALB,1999,1.35274
ALB,2000,3.44783
ALB,2001,5.51605
ALB,2003,8.0651
ALB,2004,9.1878
ALB,2008,9.41579
ALB,2009,9.95824
ALB,2010,8.39244
ALB,2011,5.98627
ALB,2012,3.14035
ALB,2013,3.47901
CUB,1972,7.83795
CUB,1973,5.96821
CUB,1974,4.957
CUB,1979,1.38961
CUB,1980,1.80033
CUB,1981,4.37147
CUB,1982,5.50979
CUB,1983,5.19044
CUB,1984,7.18841
CUB,1985,8.58146
CUB,1986,8.19994
CUB,1987,6.55755
CUB,1988,6.55651
CUB,1989,6.58775
CUB,1990,7.51635
CUB,1991,8.01261
CUB,1992,6.03882
CUB,1993,5.15164
CUB,1994,2.81118
CUB,1995,2.98387
CUB,1996,0.53904
CUB,1997,0.66418
CUB,1998,1.00062
CUB,1999,0.75193
CUB,2000,1.37739
CUB,2001,2.07975
CUB,2002,2.74226
CUB,2003,4.69311
CUB,2004,4.70514
CUB,2005,5.06393
CUB,2006,5.23427
CUB,2007,2.37511
CUB,2008,1.81676
CUB,2010,0.41077
CUB,2011,1.57651
CUB,2012,3.27981
CUB,2013,3.77087
CUB,2014,7.18184
BWA,1970,60.13329
BWA,1971,62.86579
BWA,1972,61.62944
BWA,1973,58.51089
BWA,1974,54.49227
BWA,1975,48.88684
BWA,1976,44.79976
BWA,1977,40.82577
BWA,1978,39.77763
BWA,1979,38.00964
BWA,1980,33.75469
BWA,1981,29.41566
BWA,1983,24.80333
BWA,1984,23.96727
BWA,1985,21.54666
BWA,1986,19.66953
BWA,1987,18.57428
BWA,1988,18.1328
BWA,1989,17.0836
BWA,1990,17.85433
BWA,1991,15.65404
BWA,1992,15.82483
BWA,1993,15.91391
BWA,1994,15.90855
BWA,1995,24.44
BWA,1996,23.95541
BWA,1998,21.03345
BWA,1999,21.16622
BWA,2000,19.77194
BWA,2001,17.75754
BWA,2002,16.99952
BWA,2003,16.84632
BWA,2004,14.45261
BWA,2005,16.76106
BWA,2006,15.1775
BWA,2007,15.97428
BWA,2008,16.40146
BWA,2009,15.63505
BWA,2012,10.05161
BWA,2013,9.27826
KEN,1999,37.58699
KEN,2000,34.99841
KEN,2001,33.33279
KEN,2002,37.7218
KEN,2003,24.96785
KEN,2004,25.77965
KEN,2005,24.16486
KEN,2006,24.67803
KEN,2007,12.96405
KEN,2008,17.7024
KEN,2009,16.55447
KEN,2012,15.5587
SEN,1978,63.06676
SEN,1979,60.17323
SEN,1980,59.01186
SEN,1981,57.52945
SEN,1982,55.53887
SEN,1983,53.38569
SEN,1984,52.67404
SEN,1985,52.1554
SEN,1986,46.60767
SEN,1988,46.57519
SEN,1990,48.88417
SEN,1992,49.16807
SEN,1996,44.90171
SEN,1997,41.22333
SEN,1998,39.49449
SEN,1999,40.55167
SEN,2000,38.49342
SEN,2003,32.64159
SEN,2004,36.15579
SEN,2005,35.46481
SEN,2006,33.62403
SEN,2007,31.62121
SEN,2008,31.60934
SEN,2009,31.89777
SEN,2010,31.6646
SEN,2011,31.6846
SEN,2012,29.53962
SEN,2014,30.15215
UKR,2002,3.84885
UKR,2003,10.70129
UKR,2004,10.77618
UKR,2005,10.33003
UKR,2006,11.10868
UKR,2007,11.45576
UKR,2008,11.33207
UKR,2009,9.81866
UKR,2010,5.91116
UKR,2011,2.16311
UKR,2014,4.48778
GHA,1999,36.74581
GHA,2000,33.44214
