code,year,womenlaborforce,womenparliament,gini,gdppercap,fertility,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter
USA,2005,45.76483917,15.19999981,,42534.81641,2.056999922,0.029999999,0.360000014,0.340000004,86.73999786,35.04000092,12.86999989,0.02,10.68000031,6,4.429999828,0.25999999
USA,1950,,,,1934.961914,,0.699999988,25.29999924,15.05000019,69.90000153,32.25,4,0.100000001,9.029999733,5.639999866,3.299999952,0.079999998
USA,1955,,,,2485.477295,,0.589999974,19.62999916,12.14000034,76.26999664,35.18999863,3.50999999,0.079999998,9.369999886,5.739999771,3.549999952,0.07
USA,1960,,,,2886.660889,3.654000044,0.5,17.5,10.69999981,78.09999847,38.54000092,3.900000095,0.090000004,9.579999924,5.769999981,3.730000019,0.079999998
USA,1965,,,,3674.290039,2.913000107,0.670000017,11.35999966,8.119999886,84.43000031,41.66999817,3.539999962,0.059999999,9.930000305,5.860000134,4,0.07
USA,1970,,,,4998.731934,2.480000019,0.699999988,5.409999847,4.139999866,89.48999786,46.00999832,4.400000095,0.050000001,10.34000015,5.920000076,4.329999924,0.090000004
USA,1975,,,,7519.458496,1.774000049,0.379999995,3.289999962,2.779999971,89.97000122,46.25999832,6.010000229,0.059999999,10.51000023,5.940000057,4.449999809,0.119999997
USA,1980,,,,12158.88574,1.83949995,0.300000012,0.800000012,0.600000024,93.19999695,60.40000153,5.599999905,0.059999999,11.02999973,5.96999979,4.940000057,0.109999999
USA,1985,,,,17560.55469,1.843999982,0.860000014,1.149999976,0.959999979,92.16999817,46.18999863,5.820000172,0.050000001,10.56000042,5.940000057,4.5,0.119999997
USA,1990,44.42045975,6.599999905,,23017.05664,2.08100009,1.019999981,2.549999952,2.059999943,84.36000061,41.66999817,12.06000042,0.079999998,10.67000008,5.920000076,4.5,0.239999995
USA,1995,45.20368195,,,27573.81445,1.978000045,0.159999996,0.439999998,0.360000014,85.44999695,35.54999924,13.94999981,0.059999999,10.73999977,5.989999771,4.46999979,0.280000001
USA,2000,45.5464859,,40.45999908,34605.84375,2.055999994,0.090000004,0.519999981,0.449999988,86.91999817,56.43999863,12.47999954,0.029999999,11.28999996,5.989999771,5.050000191,0.25
USA,2010,46.20524216,16.79999924,40.45999908,,1.930999994,0.189999998,6.920000076,6.690000057,74.80999756,33.41999817,18.07999992,0,10.67000008,5.980000019,4.329999924,0.360000014
