iso_code,primarywb1960,primarywb1961,primarywb1962,primarywb1963,primarywb1964,primarywb1965,primarywb1966,primarywb1967,primarywb1968,primarywb1969,primarywb1970,primarywb1971,primarywb1972,primarywb1973,primarywb1974,primarywb1975,primarywb1976,primarywb1977,primarywb1978,primarywb1979,primarywb1980,primarywb1981,primarywb1982,primarywb1983,primarywb1984,primarywb1985,primarywb1986,primarywb1987,primarywb1988,primarywb1989,primarywb1990,primarywb1991,primarywb1992,primarywb1993,primarywb1994,primarywb1995,primarywb1996,primarywb1997,primarywb1998,primarywb1999,primarywb2000,primarywb2001,primarywb2002,primarywb2003,primarywb2004,primarywb2005,primarywb2006,primarywb2007,primarywb2008,primarywb2009,primarywb2010,primarywb2011,primarywb2012,primarywb2013
AFG,,,,,,,,,,,,,,,26.7007,,,,,,,,,,,,,,,,,,,27.96087,,,,,,,,,,,,,,,,,,,,
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.08722687,93.60249329,93.49584961,,91.2493515,,,,,,,,,,
DZA,,,,,,,,,,,,,,67.67521,71.71118,74.07507,75.87475,77.31661,78.27352,78.28908,79.32523,79.50659,79.0398,78.31634,79.32465,79.68543,80.81378,82.06931,82.89334,83.47808,83.38326,84.41338,84.96576,84.23518,84.16582,84.61574,84.58559,84.43423,,86.48586273,87.72631836,90.09191132,91.51557159,92.01268768,92.44841766,92.34169006,91.84340668,93.2722702,94.02483368,95.56562805,97.29644012,97.58482361,97.30393982,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,52.52159,48.85593,,,,,,,,,,,,,,,53.56896,,,,,,,,,,85.82466125,86.22913361,85.6207428,85.66858673,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.82145691,91.98223877,90.97538757,88.33149719,87.14524078,85.27813721,
ARG,,,,,,,,,,,94.7573,,,,96.55042,96.30938,,,,,,,,,,,,94.23173,,,,96.08,,,,,,100,99.54528,99.43202209,,,,99.44451904,99.17677307,99.11795807,,,,,,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6713028,82.79212189,,80.08756256,81.41265106,84.11981964,,,,,,
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8167038,98.09809113,94.52857971,95.30738831,93.93070221,94.6348877,97.80506134,98.62754822,98.87245178,99.06929779,95.86956787,98.93222809,,,
AUS,,,,,,,,,,,,96.20109,,94.7445,94.05362,96.71617,97.66271,99.96267,99.9718,99.98426,99.9532,99.43901,98.37164,97.43295,95.68052,95.77825,96.48354,97.05439,97.73623,97.85116,97.45849,96.89392,96.69243,96.30212,95.99659,94.52698,94.85367,94.41408,94.21521,93.97773743,94.06639099,93.92050171,94.37600708,94.25447845,94.38938904,94.51106262,94.63292694,96.12532806,96.27088165,96.48526001,96.49082184,96.39565277,96.82237244,97.39669037
AUT,,,,,,,,,,,,90.95884,89.63921,88.09796,87.39175,87.55329,87.48698,,,,,,,,,,,,,93.3601,,,,,,,,,,,,,,,,,,,,,,,,
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.03496,92.42705,88.41429,81.38003,83.5742,93.25375,90.10284,88.77251,92.14109802,88.23961639,85.38303375,84.82565308,83.28453827,84.21228027,83.86862183,83.15377045,83.37480164,83.88996887,85.17391205,84.44644928,86.61260986,89.10507202,
BHS,,,,,,,,,,,,100,99.91925,96.37183,99.39304,100,98.85242,,,,97.2161,100,,,95.92695,,,,,,,,88.53851,88.8767,92.603,,,,,90.89994812,,,,,94.04586792,98.33747101,96.71668243,98.27287292,98.301651,95.92433929,97.50965118,,,
BHR,,,,,,,,,,,,76.2977,79.12362,80.18048,81.79106,85.24126,82.10429,82.11388,80.07071,80.72275,82.43895,82.04494,80.6678,83.32494,86.67977,91.1169,96.20415,95.55789,98.28639,99.04196,,99.44944,96.94887,98.02435,97.99174,99.07491,99.91974,99.71915,96.76216,96.47207642,,,,,,,,,,,,,,
BGD,,,,,,,,,,,50.40842,,,70.70289,,,77.13152,71.70455,70.57294,,,66.67268,,63.63097,62.41016,60.76955,59.87404,58.94543,69.21076,69.15021,72.03177,,,,,,,,,,,,,,,91.77674103,92.85392761,,90.75370789,91.84490204,91.54676056,,,
BRB,,,,,,,,,,,,86.5129,88.13464,88.81459,,,99.26413,98.30138,,,,97.16828,96.84756,97.33972,,,,,,99.4724,98.4889,,90.19757,,,,,,,95.29347992,94.67146301,93.93174744,92.64804077,92.18315125,91.17369843,91.38443756,93.58847809,93.4391098,95.11528778,94.15618896,96.01608276,97.08432007,,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1589,,,,,,95.157341,92.56681061,93.13066864,91.5936203,89.63751221,89.71772003,89.59020996,,91.53045654,91.0643692,90.7000885,93.99680328,92.79873657
BEL,,,,,,,,,,,,,,,,,,97.61263,,99.23481,99.69442,98.35583,98.19965,94.83116,93.94499,93.29148,94.44201,95.56829,96.57688,,,95.94739,94.43876,96.93975,96.29561,96.34139,96.8425,,,99.04260254,99.05609131,99.11144257,98.87255096,98.09416962,96.68327332,96.54528809,97.10411072,98.43850708,98.82731628,98.8452301,98.85849762,98.8319931,98.74195862,98.30413818
